Student ID,Class,Year,Session,Grader,Part2Tot,Part3Tot,Survey Q1,Survey Q2,Survey Q3,Survey Q4,Survey Q5,gpa_prev,GPTBase,GPTTutor,teacher,n_household_members,class_enjoyment,class_participation_likelihood,n_weekday_study_hours,n_weekend_study_hours,math_hw_completion,hw_help,private_tutorship,visit_training_center,chatgpt_use,Treatment arm,female,education_parent,n_household_children,Honors
110445,11V,11,4,7,0,0,Nothing at all,Below average,5-10 min,Ineffective,0-5 min,0.617949,0,0,teacher_13,5,2,1,0,2,1,1,1,1,0,control,1,5,2,0
110445,11V,11,2,2,0,0,Nothing at all,Very poorly,25-30 min,Effective,0-5 min,0.617949,0,0,teacher_13,5,2,1,0,2,1,1,1,1,0,control,1,5,2,0
110449,10M,10,3,6,0.8,0.3125,Moderately,Above average,10-15 min,Somewhat effective,15-20 min,0.5995510000000001,1,0,teacher_19,4,1,2,2,2,2,1,1,0,1,vanilla,1,2,2,0
110449,10M,10,2,3,0.4,0.06349206349206349,Quite a lot,Below average,15-20 min,Somewhat ineffective,15-20 min,0.5995510000000001,1,0,teacher_19,4,1,2,2,2,2,1,1,0,1,vanilla,1,2,2,0
110449,10M,10,4,6,0,0.15,A litttle,Average,10-15 min,Neutral,10-15 min,0.5995510000000001,1,0,teacher_19,4,1,2,2,2,2,1,1,0,1,vanilla,1,2,2,0
110449,10M,10,1,8,0.5,0.16666666666666666,Moderately,Above average,15-20 min,Somewhat ineffective,10-15 min,0.5995510000000001,1,0,teacher_19,4,1,2,2,2,2,1,1,0,1,vanilla,1,2,2,0
110450,11Ü,11,1,3,1,0.9444444444444444,Moderately,Above average,10-15 min,Ineffective,0-5 min,0.7014100000000001,0,1,teacher_15,4,2,2,1,2,2,1,1,0,0,augmented,0,8,2,0
110450,11Ü,11,3,4,0.4,0.6,Moderately,Average,5-10 min,Ineffective,5-10 min,0.7014100000000001,0,1,teacher_15,4,2,2,1,2,2,1,1,0,0,augmented,0,8,2,0
110450,11Ü,11,2,2,0.2,0.5625,Moderately,Average,10-15 min,Ineffective,10-15 min,0.7014100000000001,0,1,teacher_15,4,2,2,1,2,2,1,1,0,0,augmented,0,8,2,0
110450,11Ü,11,4,6,0.4,0,A litttle,Very poorly,5-10 min,Ineffective,5-10 min,0.7014100000000001,0,1,teacher_15,4,2,2,1,2,2,1,1,0,0,augmented,0,8,2,0
110460,11M,11,3,6,0,0.125,Nothing at all,Above average,10-15 min,Ineffective,0-5 min,0.668231,0,0,teacher_19,4,2,3,4,8,3,1,1,0,0,control,0,8,1,0
110460,11M,11,2,6,0.4,0,A litttle,Average,15-20 min,Ineffective,25-30 min,0.668231,0,0,teacher_19,4,2,3,4,8,3,1,1,0,0,control,0,8,1,0
110460,11M,11,4,6,0,0,NA,NA,NA,NA,NA,0.668231,0,0,teacher_19,4,2,3,4,8,3,1,1,0,0,control,0,8,1,0
110460,11M,11,1,9&10,0,0.03125,Moderately,Average,10-15 min,Somewhat ineffective,25-30 min,0.668231,0,0,teacher_19,4,2,3,4,8,3,1,1,0,0,control,0,8,1,0
110466,11M,11,2,6,0.2,0.09791666666666668,Nothing at all,Average,NA,Ineffective,25-30 min,0.747679,0,0,teacher_19,3,0,2,1,2,4,1,1,1,2,control,0,8,0,0
110466,11M,11,3,6,0.6,0.525,Nothing at all,Very poorly,25-30 min,Ineffective,25-30 min,0.747679,0,0,teacher_19,3,0,2,1,2,4,1,1,1,2,control,0,8,0,0
110466,11M,11,1,9&10,0.5,0.5555555555555556,A litttle,Below average,10-15 min,Neutral,NA,0.747679,0,0,teacher_19,3,0,2,1,2,4,1,1,1,2,control,0,8,0,0
110468,11Y,11,2,1,1,0,NA,NA,NA,NA,NA,0.5230899999999999,1,0,teacher_14,6,4,2,2,7,2,0,1,0,0,vanilla,0,7,2,0
110468,11Y,11,4,6,0.4,0.05,Moderately,Average,10-15 min,Somewhat ineffective,10-15 min,0.5230899999999999,1,0,teacher_14,6,4,2,2,7,2,0,1,0,0,vanilla,0,7,2,0
110468,11Y,11,1,8,1,0,Nothing at all,Below average,5-10 min,Somewhat ineffective,5-10 min,0.5230899999999999,1,0,teacher_14,6,4,2,2,7,2,0,1,0,0,vanilla,0,7,2,0
110468,11Y,11,3,6,0.8,0.25,NA,NA,NA,NA,NA,0.5230899999999999,1,0,teacher_14,6,4,2,2,7,2,0,1,0,0,vanilla,0,7,2,0
110472,11Ü,11,4,6,0.4,0.17083333333333334,Moderately,Very poorly,5-10 min,Somewhat effective,0-5 min,0.747487,0,1,teacher_15,3,1,2,1,1,3,0,0,0,1,augmented,0,7,1,0
110472,11Ü,11,3,4,0.6,0.4,Moderately,Very poorly,5-10 min,Somewhat effective,10-15 min,0.747487,0,1,teacher_15,3,1,2,1,1,3,0,0,0,1,augmented,0,7,1,0
110472,11Ü,11,1,3,0,0.0992063492063492,A litttle,Very poorly,10-15 min,Somewhat effective,0-5 min,0.747487,0,1,teacher_15,3,1,2,1,1,3,0,0,0,1,augmented,0,7,1,0
110472,11Ü,11,2,2,0.8,0.325,A litttle,Very poorly,5-10 min,Effective,5-10 min,0.747487,0,1,teacher_15,3,1,2,1,1,3,0,0,0,1,augmented,0,7,1,0
110477,11Y,11,1,8,1,0.11458333333333331,Nothing at all,Below average,15-20 min,Ineffective,0-5 min,0.727564,1,0,teacher_14,3,2,3,3,2,3,1,1,1,1,vanilla,1,4,1,0
110477,11Y,11,3,6,0.6,0.675,Nothing at all,Very poorly,20-25 min,Ineffective,20-25 min,0.727564,1,0,teacher_14,3,2,3,3,2,3,1,1,1,1,vanilla,1,4,1,0
110477,11Y,11,4,6,0.4,0,Nothing at all,Average,25-30 min,Ineffective,25-30 min,0.727564,1,0,teacher_14,3,2,3,3,2,3,1,1,1,1,vanilla,1,4,1,0
110477,11Y,11,2,1,1,0.22708333333333336,Moderately,Average,15-20 min,Neutral,15-20 min,0.727564,1,0,teacher_14,3,2,3,3,2,3,1,1,1,1,vanilla,1,4,1,0
110481,11Ü,11,1,3,0.75,0.3125,Moderately,Average,20-25 min,Somewhat ineffective,25-30 min,0.720474,0,1,teacher_15,4,1,1,1,1,4,1,1,1,2,augmented,1,8,4,0
110481,11Ü,11,4,6,0.8,0,A great deal,Excellent,25-30 min,Effective,25-30 min,0.720474,0,1,teacher_15,4,1,1,1,1,4,1,1,1,2,augmented,1,8,4,0
110481,11Ü,11,2,2,0.8,0.46875,A great deal,Excellent,25-30 min,Effective,25-30 min,0.720474,0,1,teacher_15,4,1,1,1,1,4,1,1,1,2,augmented,1,8,4,0
110481,11Ü,11,3,4,1,0.925,Quite a lot,Average,NA,NA,NA,0.720474,0,1,teacher_15,4,1,1,1,1,4,1,1,1,2,augmented,1,8,4,0
110484,11O,11,1,9&10,0.75,0.65625,A litttle,Excellent,20-25 min,Somewhat effective,25-30 min,0.8026789999999999,0,1,teacher_6,3,3,3,2,2,4,1,1,1,2,augmented,0,7,0,0
110484,11O,11,4,7,0.8,0.05,NA,NA,NA,NA,NA,0.8026789999999999,0,1,teacher_6,3,3,3,2,2,4,1,1,1,2,augmented,0,7,0,0
110484,11O,11,3,6,1,0.95,NA,NA,NA,NA,NA,0.8026789999999999,0,1,teacher_6,3,3,3,2,2,4,1,1,1,2,augmented,0,7,0,0
110484,11O,11,2,1&2,0.8,0.6395833333333334,NA,NA,NA,NA,NA,0.8026789999999999,0,1,teacher_6,3,3,3,2,2,4,1,1,1,2,augmented,0,7,0,0
110486,11S,11,4,6,0,0.1,A litttle,Below average,0-5 min,Somewhat ineffective,10-15 min,0.576462,1,0,teacher_8,2,1,1,0,0,2,1,1,1,2,vanilla,0,0,0,0
110486,11S,11,3,4,0.4,0.075,A litttle,Below average,NA,Ineffective,10-15 min,0.576462,1,0,teacher_8,2,1,1,0,0,2,1,1,1,2,vanilla,0,0,0,0
110486,11S,11,2,2,0,0,NA,NA,NA,NA,NA,0.576462,1,0,teacher_8,2,1,1,0,0,2,1,1,1,2,vanilla,0,0,0,0
110486,11S,11,1,8,0.5,0,Moderately,Above average,10-15 min,Effective,25-30 min,0.576462,1,0,teacher_8,2,1,1,0,0,2,1,1,1,2,vanilla,0,0,0,0
110492,11Ü,11,1,3,1,0.8928571428571428,Quite a lot,Above average,10-15 min,Effective,5-10 min,0.86741,0,1,teacher_15,3,3,2,2,2.5,4,1,1,1,0,augmented,0,7,0,0
110492,11Ü,11,3,4,0.8,1,Moderately,Above average,20-25 min,Ineffective,5-10 min,0.86741,0,1,teacher_15,3,3,2,2,2.5,4,1,1,1,0,augmented,0,7,0,0
110492,11Ü,11,4,6,0.4,0.325,Moderately,Below average,20-25 min,Somewhat ineffective,10-15 min,0.86741,0,1,teacher_15,3,3,2,2,2.5,4,1,1,1,0,augmented,0,7,0,0
110492,11Ü,11,2,2,0.8,0.5,Moderately,Average,25-30 min,Somewhat effective,20-25 min,0.86741,0,1,teacher_15,3,3,2,2,2.5,4,1,1,1,0,augmented,0,7,0,0
110504,11M,11,1,9&10,0.25,1,A litttle,Average,10-15 min,Neutral,10-15 min,0.7307819999999999,0,0,teacher_19,4,2,2,1,2,2,1,1,0,0,control,0,8,1,0
110504,11M,11,3,6,0.4,0.875,Moderately,Average,15-20 min,Neutral,15-20 min,0.7307819999999999,0,0,teacher_19,4,2,2,1,2,2,1,1,0,0,control,0,8,1,0
110504,11M,11,2,6,0,0.7458333333333333,A litttle,Below average,5-10 min,Somewhat ineffective,5-10 min,0.7307819999999999,0,0,teacher_19,4,2,2,1,2,2,1,1,0,0,control,0,8,1,0
110506,10E,10,3,6,0.8,0,NA,NA,NA,NA,NA,0.3845940000000001,0,1,teacher_15,3,2,1,2,2,2,1,1,1,2,augmented,0,2,1,0
110506,10E,10,2,1,0.8,0,A litttle,Below average,25-30 min,Neutral,25-30 min,0.3845940000000001,0,1,teacher_15,3,2,1,2,2,2,1,1,1,2,augmented,0,2,1,0
110507,11S,11,4,6,0,0,A litttle,Very poorly,5-10 min,Somewhat ineffective,0-5 min,0.656218,1,0,teacher_8,4,1,2,1,3,1,1,1,1,0,vanilla,1,3,3,0
110507,11S,11,2,2,0,0.025,NA,NA,NA,NA,NA,0.656218,1,0,teacher_8,4,1,2,1,3,1,1,1,1,0,vanilla,1,3,3,0
110508,10D,10,4,6,0.8,0,A litttle,Very poorly,0-5 min,Ineffective,0-5 min,0.530474,1,0,teacher_6,4,1,3,1,1,1,1,1,1,1,vanilla,0,3,1,0
110508,10D,10,1,9&10,0.5,0.04166666666666666,Moderately,Above average,15-20 min,Somewhat ineffective,15-20 min,0.530474,1,0,teacher_6,4,1,3,1,1,1,1,1,1,1,vanilla,0,3,1,0
110508,10D,10,3,7,0.2,0.03125,A litttle,Below average,20-25 min,Neutral,15-20 min,0.530474,1,0,teacher_6,4,1,3,1,1,1,1,1,1,1,vanilla,0,3,1,0
110508,10D,10,2,1,0.6,0,A great deal,Excellent,25-30 min,Effective,25-30 min,0.530474,1,0,teacher_6,4,1,3,1,1,1,1,1,1,1,vanilla,0,3,1,0
110513,10O,10,4,3,0,0,Nothing at all,Below average,25-30 min,Neutral,NA,0.539769,0,0,teacher_2,4,4,4,2,2,4,1,1,0,2,control,1,6,6,0
110513,10O,10,1,3,0,0.03125,Moderately,Average,15-20 min,Neutral,20-25 min,0.539769,0,0,teacher_2,4,4,4,2,2,4,1,1,0,2,control,1,6,6,0
110514,11Y,11,2,1,0.6,0,Moderately,Below average,10-15 min,Somewhat effective,10-15 min,0.6661279999999999,1,0,teacher_14,2,4,4,0,0,1,1,1,1,1,vanilla,0,8,2,0
110514,11Y,11,3,6,0.6,0.375,Nothing at all,Very poorly,0-5 min,Ineffective,0-5 min,0.6661279999999999,1,0,teacher_14,2,4,4,0,0,1,1,1,1,1,vanilla,0,8,2,0
110514,11Y,11,4,6,0,0,Nothing at all,Very poorly,0-5 min,Ineffective,0-5 min,0.6661279999999999,1,0,teacher_14,2,4,4,0,0,1,1,1,1,1,vanilla,0,8,2,0
110515,11Ü,11,4,6,0.8,0,Nothing at all,Very poorly,0-5 min,Ineffective,0-5 min,0.7593460000000001,0,1,teacher_15,3,1,1,0,2,2,0,0,1,0,augmented,0,8,5,0
110515,11Ü,11,3,4,0.6,0.475,A litttle,Below average,15-20 min,Neutral,NA,0.7593460000000001,0,1,teacher_15,3,1,1,0,2,2,0,0,1,0,augmented,0,8,5,0
110515,11Ü,11,2,2,0.6,0.41666666666666674,Nothing at all,Below average,10-15 min,Neutral,10-15 min,0.7593460000000001,0,1,teacher_15,3,1,1,0,2,2,0,0,1,0,augmented,0,8,5,0
110515,11Ü,11,1,3,1,0.9722222222222222,Moderately,Average,10-15 min,Somewhat ineffective,15-20 min,0.7593460000000001,0,1,teacher_15,3,1,1,0,2,2,0,0,1,0,augmented,0,8,5,0
110516,11V,11,3,5,0,0.07500000000000001,Nothing at all,Very poorly,0-5 min,Ineffective,0-5 min,0.634795,0,0,teacher_13,3,2,2,1,2,3,1,1,1,3,control,0,8,0,0
110516,11V,11,2,2,0,0.03125,Nothing at all,Below average,25-30 min,Ineffective,25-30 min,0.634795,0,0,teacher_13,3,2,2,1,2,3,1,1,1,3,control,0,8,0,0
110517,11S,11,1,8,0.5,0.5357142857142857,A litttle,Very poorly,5-10 min,Neutral,0-5 min,0.872667,1,0,teacher_8,3,2,1,2,3,3,1,1,0,0,vanilla,1,8,1,0
110517,11S,11,3,4,0.6,0,Nothing at all,Very poorly,5-10 min,Ineffective,0-5 min,0.872667,1,0,teacher_8,3,2,1,2,3,3,1,1,0,0,vanilla,1,8,1,0
110517,11S,11,4,6,0,0.2,Nothing at all,Very poorly,25-30 min,Ineffective,5-10 min,0.872667,1,0,teacher_8,3,2,1,2,3,3,1,1,0,0,vanilla,1,8,1,0
110517,11S,11,2,2,0.2,0.175,NA,NA,NA,NA,NA,0.872667,1,0,teacher_8,3,2,1,2,3,3,1,1,0,0,vanilla,1,8,1,0
110525,11O,11,1,9&10,0.25,0.13541666666666666,Quite a lot,Average,15-20 min,Somewhat effective,15-20 min,0.818718,0,1,teacher_6,4,3,4,4,2,3,1,1,1,2,augmented,1,5,5,0
110525,11O,11,3,6,1,0.9,Quite a lot,Above average,15-20 min,Neutral,20-25 min,0.818718,0,1,teacher_6,4,3,4,4,2,3,1,1,1,2,augmented,1,5,5,0
110525,11O,11,2,1&2,0.8,0.1625,Moderately,Average,20-25 min,Neutral,25-30 min,0.818718,0,1,teacher_6,4,3,4,4,2,3,1,1,1,2,augmented,1,5,5,0
110525,11O,11,4,7,0.8,0.05,Moderately,Below average,20-25 min,Neutral,25-30 min,0.818718,0,1,teacher_6,4,3,4,4,2,3,1,1,1,2,augmented,1,5,5,0
110531,11Ü,11,2,2,0.8,0.10416666666666666,Moderately,Average,25-30 min,Effective,25-30 min,0.815179,0,1,teacher_15,4,3,2,1.5,2.5,3,1,1,1,2,augmented,1,4,1,0
110531,11Ü,11,3,4,0.8,0.65,Quite a lot,Above average,20-25 min,Somewhat effective,25-30 min,0.815179,0,1,teacher_15,4,3,2,1.5,2.5,3,1,1,1,2,augmented,1,4,1,0
110531,11Ü,11,1,3,0.75,0.5277777777777778,Moderately,Average,20-25 min,Somewhat effective,25-30 min,0.815179,0,1,teacher_15,4,3,2,1.5,2.5,3,1,1,1,2,augmented,1,4,1,0
110531,11Ü,11,4,6,0.2,0,NA,NA,NA,NA,NA,0.815179,0,1,teacher_15,4,3,2,1.5,2.5,3,1,1,1,2,augmented,1,4,1,0
110539,11V,11,2,2,0,0.125,Moderately,Below average,10-15 min,Neutral,5-10 min,0.6663209999999999,0,0,teacher_13,4,2,2,2,2,2,0,0,1,2,control,1,4,2,0
110552,11N,11,1,3,0.75,0.13392857142857142,A litttle,Below average,15-20 min,Somewhat effective,5-10 min,0.692897,0,1,teacher_5,3,1,2,13,12,3,1,0,0,3,augmented,0,6,0,0
110552,11N,11,2,1,1,0.09375,Moderately,Below average,NA,Somewhat ineffective,10-15 min,0.692897,0,1,teacher_5,3,1,2,13,12,3,1,0,0,3,augmented,0,6,0,0
110552,11N,11,3,5,1,0.35,A litttle,Below average,10-15 min,Neutral,10-15 min,0.692897,0,1,teacher_5,3,1,2,13,12,3,1,0,0,3,augmented,0,6,0,0
110556,11N,11,3,5,1,0.75,Moderately,Above average,5-10 min,Somewhat effective,10-15 min,0.7975,0,1,teacher_5,3,3,4,3,6,3,0,1,1,0,augmented,0,6,3,0
110556,11N,11,1,3,1,0.9444444444444444,A litttle,Excellent,0-5 min,Somewhat ineffective,15-20 min,0.7975,0,1,teacher_5,3,3,4,3,6,3,0,1,1,0,augmented,0,6,3,0
110556,11N,11,4,6,0.8,0.3458333333333333,A litttle,Excellent,5-10 min,Somewhat effective,15-20 min,0.7975,0,1,teacher_5,3,3,4,3,6,3,0,1,1,0,augmented,0,6,3,0
110556,11N,11,2,1,1,0.6791666666666666,Quite a lot,Above average,20-25 min,Somewhat effective,20-25 min,0.7975,0,1,teacher_5,3,3,4,3,6,3,0,1,1,0,augmented,0,6,3,0
110561,11O,11,2,1&2,1,0.2,A litttle,Very poorly,25-30 min,Ineffective,15-20 min,0.703256,0,1,teacher_6,3,2,1,1,1,4,1,1,0,1,augmented,1,5,0,0
110561,11O,11,4,7,0.8,0,Nothing at all,Very poorly,10-15 min,Ineffective,20-25 min,0.703256,0,1,teacher_6,3,2,1,1,1,4,1,1,0,1,augmented,1,5,0,0
110561,11O,11,3,6,0.8,0.425,A litttle,Below average,20-25 min,Somewhat ineffective,20-25 min,0.703256,0,1,teacher_6,3,2,1,1,1,4,1,1,0,1,augmented,1,5,0,0
110561,11O,11,1,9&10,0.75,0,A litttle,Very poorly,20-25 min,Ineffective,15-20 min,0.703256,0,1,teacher_6,3,2,1,1,1,4,1,1,0,1,augmented,1,5,0,0
110562,11G,11,4,7,0.2,0.16458333333333333,Moderately,Average,15-20 min,Neutral,15-20 min,0.762756,0,0,teacher_11,4,4,2,1,1,1,1,1,1,4,control,0,6,1,0
110562,11G,11,2,1,0.8,0.46875,Moderately,Below average,10-15 min,Neutral,15-20 min,0.762756,0,0,teacher_11,4,4,2,1,1,1,1,1,1,4,control,0,6,1,0
110562,11G,11,3,4,0,0.625,Moderately,Very poorly,10-15 min,Somewhat effective,15-20 min,0.762756,0,0,teacher_11,4,4,2,1,1,1,1,1,1,4,control,0,6,1,0
110564,11Ü,11,1,3,1,0.03571428571428571,Quite a lot,Average,15-20 min,Neutral,15-20 min,0.776026,0,1,teacher_15,1,4,4,2,4,4,0,0,0,0,augmented,0,8,2,0
110564,11Ü,11,3,4,0.8,0.9,Quite a lot,Above average,10-15 min,Neutral,5-10 min,0.776026,0,1,teacher_15,1,4,4,2,4,4,0,0,0,0,augmented,0,8,2,0
110564,11Ü,11,2,2,0.8,0.35625,Moderately,Average,15-20 min,Neutral,15-20 min,0.776026,0,1,teacher_15,1,4,4,2,4,4,0,0,0,0,augmented,0,8,2,0
110566,11G,11,2,1,0.2,0.7833333333333334,Moderately,Below average,25-30 min,Neutral,25-30 min,0.870679,0,0,teacher_11,4,0,2,0,0,3,0,0,1,0,control,0,8,1,0
110566,11G,11,3,4,0.6,0.675,A litttle,Average,10-15 min,Somewhat effective,0-5 min,0.870679,0,0,teacher_11,4,0,2,0,0,3,0,0,1,0,control,0,8,1,0
110566,11G,11,1,8,0.75,0.8928571428571428,Quite a lot,Average,20-25 min,Effective,0-5 min,0.870679,0,0,teacher_11,4,0,2,0,0,3,0,0,1,0,control,0,8,1,0
110573,11N,11,3,5,1,0.625,Quite a lot,Average,10-15 min,Somewhat effective,5-10 min,0.975897,0,1,teacher_5,3,3,3,3,5,4,1,1,1,0,augmented,0,8,0,0
110573,11N,11,1,3,1,1,Quite a lot,Average,10-15 min,Effective,5-10 min,0.975897,0,1,teacher_5,3,3,3,3,5,4,1,1,1,0,augmented,0,8,0,0
110573,11N,11,4,6,0.8,0.4416666666666667,A litttle,Average,15-20 min,Somewhat effective,10-15 min,0.975897,0,1,teacher_5,3,3,3,3,5,4,1,1,1,0,augmented,0,8,0,0
110584,11S,11,3,4,0.2,0,Moderately,Average,10-15 min,Somewhat ineffective,15-20 min,0.551282,1,0,teacher_8,4,1,2,2,1,3,1,0,1,1,vanilla,0,6,4,0
110584,11S,11,1,8,1,0,Quite a lot,NA,0-5 min,Ineffective,0-5 min,0.551282,1,0,teacher_8,4,1,2,2,1,3,1,0,1,1,vanilla,0,6,4,0
110584,11S,11,2,2,0,0,NA,NA,NA,NA,NA,0.551282,1,0,teacher_8,4,1,2,2,1,3,1,0,1,1,vanilla,0,6,4,0
