NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,INDEX,VARIABLE NAME,VALUE,LABEL,SOURCE,SHOWN/USE ON SITE,NOTES,
,school,,,,,2,"Mid-Size City (a central city of a CMSA or MSA, with the city having a population less than 250,000)",,,,
,school,,,,,3,Urban Fringe of a Large City (any territory within a CMSA or MSA of a Large City and defined as urban by the Census Bureau),,,,
,school,,,,,4,Urban Fringe of a Mid-Size City (any territory within a CMSA or MSA of a Mid-Size City and defined as urban by the Census Bureau),,,,
,school,,,,,5,"Large Town (an incorporated place or Census-designated place with a population greater than or equal to 25,000 and located outside a CMSA or MSA)",,,,
,school,,,,,6,"Small Town (an incorporated place or Census-designated place with a population less than 25,000 and greater than or equal to 2,500 and located outside a CMSA or MSA)",,,,
,school,,,,,7,"Rural, Outside MSA (any territory designated as rural by the Census Bureau that is outside a CMSA or MSA of a Large or Mid-Size City)",,,,
,school,,,,,8,"Rural, Inside MSA (any territory designated as rural by the Census Bureau that is within a CMSA or MSA of a Large or Mid-Size City)",,,,
Latitude,root,location.lat,float,,LATITUDE,,,IPEDS,,,
Longitude,root,location.lon,float,,LONGITUDE,,,IPEDS,,,
Carnegie Classification -- basic,school,carnegie_basic,integer,integer,CCBASIC,-2,Not applicable,IPEDS,,,
,school,,,,,0,(Not classified),,,,
,school,,,,,1,Associate's Colleges: High Transfer-High Traditional,,,,
,school,,,,,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,,,,
,school,,,,,3,Associate's Colleges: High Transfer-High Nontraditional,,,,
,school,,,,,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,,,,
,school,,,,,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,,,,
,school,,,,,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,,,,
,school,,,,,7,Associate's Colleges: High Career & Technical-High Traditional,,,,
,school,,,,,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,
,school,,,,,9,Associate's Colleges: High Career & Technical-High Nontraditional,,,,
,school,,,,,10,Special Focus Two-Year: Health Professions,,,,
,school,,,,,11,Special Focus Two-Year: Technical Professions,,,,
,school,,,,,12,Special Focus Two-Year: Arts & Design,,,,
,school,,,,,13,Special Focus Two-Year: Other Fields,,,,
,school,,,,,14,Baccalaureate/Associate's Colleges: Associate's Dominant,,,,
,school,,,,,15,Doctoral Universities: Very High Research Activity,,,,
,school,,,,,16,Doctoral Universities: High Research Activity,,,,
,school,,,,,17,Doctoral/Professional Universities,,,,
,school,,,,,18,Master's Colleges & Universities: Larger Programs,,,,
,school,,,,,19,Master's Colleges & Universities: Medium Programs,,,,
,school,,,,,20,Master's Colleges & Universities: Small Programs,,,,
,school,,,,,21,Baccalaureate Colleges: Arts & Sciences Focus,,,,
,school,,,,,22,Baccalaureate Colleges: Diverse Fields,,,,
,school,,,,,23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,,,,
,school,,,,,24,Special Focus Four-Year: Faith-Related Institutions,,,,
,school,,,,,25,Special Focus Four-Year: Medical Schools & Centers,,,,
,school,,,,,26,Special Focus Four-Year: Other Health Professions Schools,,,,
,school,,,,,27,Special Focus Four-Year: Engineering Schools,,,,
,school,,,,,28,Special Focus Four-Year: Other Technology-Related Schools,,,,
,school,,,,,29,Special Focus Four-Year: Business & Management Schools,,,,
,school,,,,,30,"Special Focus Four-Year: Arts, Music & Design Schools",,,,
,school,,,,,31,Special Focus Four-Year: Law Schools,,,,
,school,,,,,32,Special Focus Four-Year: Other Special Focus Institutions,,,,
,school,,,,,33,Tribal Colleges,,,,
Carnegie Classification -- undergraduate profile,school,carnegie_undergrad,integer,,CCUGPROF,-2,Not applicable,IPEDS,,,
,,,,,,0,Not classified (Exclusively Graduate),,,,
,,,,,,1,"Two-year, higher part-time",,,,
,,,,,,2,"Two-year, mixed part/full-time",,,,
,,,,,,3,"Two-year, medium full-time",,,,
,,,,,,4,"Two-year, higher full-time",,,,
,,,,,,5,"Four-year, higher part-time",,,,
,,,,,,6,"Four-year, medium full-time, inclusive, lower transfer-in",,,,
,,,,,,7,"Four-year, medium full-time, inclusive, higher transfer-in",,,,
,,,,,,8,"Four-year, medium full-time, selective, lower transfer-in",,,,
,,,,,,9,"Four-year, medium full-time , selective, higher transfer-in",,,,
,,,,,,10,"Four-year, full-time, inclusive, lower transfer-in",,,,
,,,,,,11,"Four-year, full-time, inclusive, higher transfer-in",,,,
,,,,,,12,"Four-year, full-time, selective, lower transfer-in",,,,
,,,,,,13,"Four-year, full-time, selective, higher transfer-in",,,,
,,,,,,14,"Four-year, full-time, more selective, lower transfer-in",,,,
,,,,,,15,"Four-year, full-time, more selective, higher transfer-in",,,,
Carnegie Classification -- size and setting,school,carnegie_size_setting,integer,,CCSIZSET,-2,Not applicable,IPEDS,,,
,,,,,,0,(Not classified),,,,
,,,,,,1,"Two-year, very small",,,,
,,,,,,2,"Two-year, small",,,,
,,,,,,3,"Two-year, medium",,,,
,,,,,,4,"Two-year, large",,,,
,,,,,,5,"Two-year, very large",,,,
,,,,,,6,"Four-year, very small, primarily nonresidential",,,,
,,,,,,7,"Four-year, very small, primarily residential",,,,
,,,,,,8,"Four-year, very small, highly residential",,,,
,,,,,,9,"Four-year, small, primarily nonresidential",,,,
,,,,,,10,"Four-year, small, primarily residential",,,,
,,,,,,11,"Four-year, small, highly residential",,,,
,,,,,,12,"Four-year, medium, primarily nonresidential",,,,
,,,,,,13,"Four-year, medium, primarily residential",,,,
,,,,,,14,"Four-year, medium, highly residential",,,,
,,,,,,15,"Four-year, large, primarily nonresidential",,,,
,,,,,,16,"Four-year, large, primarily residential",,,,
,,,,,,17,"Four-year, large, highly residential",,,,
,,,,,,18,Exclusively graduate/professional,,,,
Flag for Historically Black College and University,school,minority_serving.historically_black,integer,tinyint,HBCU,0,No,IPEDS,Yes,,
,,,,,,1,Yes,,,,
Flag for predominantly black institution,school,minority_serving.predominantly_black,integer,tinyint,PBI,0,No,OPE,Yes,,
,,,,,,1,Yes,,,,
Flag for Alaska Native Native Hawaiian serving institution,school,minority_serving.annh,integer,tinyint,ANNHI,0,No,OPE,Yes,,
,,,,,,1,Yes,,,,
Flag for tribal college and university,school,minority_serving.tribal,integer,tinyint,TRIBAL,0,No,OPE,Yes,,
,,,,,,1,Yes,,,,
Flag for Asian American Native American Pacific Islander-serving institution,school,minority_serving.aanipi,integer,tinyint,AANAPII,0,No,OPE,Yes,,
,,,,,,1,Yes,,,,
Flag for Hispanic-serving institution,school,minority_serving.hispanic,integer,tinyint,HSI,0,No,OPE,Yes,,
,,,,,,1,Yes,,,,
Flag for Native American non-tribal institution,school,minority_serving.nant,integer,tinyint,NANTI,0,No,OPE,Yes,,
,,,,,,1,Yes,,,,
Flag for men-only college,school,men_only,integer,tinyint,MENONLY,0,No,IPEDS,Yes,,
,,,,,,1,Yes,,,,
Flag for women-only college,school,women_only,integer,tinyint,WOMENONLY,0,No,IPEDS,Yes,,
,,,,,,1,Yes,,,,
Religous affiliation of the institution,school,religious_affiliation,integer,tinyint,RELAFFIL,-1,Not reported,IPEDS,Yes,,
,,,,,,-2,Not applicable,,,,
,,,,,,22,American Evangelical Lutheran Church,,,,
,,,,,,24,African Methodist Episcopal Zion Church,,,,
,,,,,,27,Assemblies of God Church,,,,
,,,,,,28,Brethren Church,,,,
,,,,,,30,Roman Catholic,,,,
,,,,,,33,Wisconsin Evangelical Lutheran Synod,,,,
,,,,,,34,Christ and Missionary Alliance Church,,,,
,,,,,,35,Christian Reformed Church,,,,
,,,,,,36,Evangelical Congregational Church,,,,
,,,,,,37,Evangelical Covenant Church of America,,,,
,,,,,,38,Evangelical Free Church of America,,,,
,,,,,,39,Evangelical Lutheran Church,,,,
,,,,,,40,International United Pentecostal Church,,,,
,,,,,,41,Free Will Baptist Church,,,,
,,,,,,42,Interdenominational,,,,
,,,,,,43,Mennonite Brethren Church,,,,
,,,,,,44,Moravian Church,,,,
,,,,,,45,North American Baptist,,,,
,,,,,,47,Pentecostal Holiness Church,,,,
,,,,,,48,Christian Churches and Churches of Christ,,,,
,,,,,,49,Reformed Church in America,,,,
,,,,,,50,"Episcopal Church, Reformed",,,,
,,,,,,51,African Methodist Episcopal,,,,
,,,,,,52,American Baptist,,,,
,,,,,,53,American Lutheran,,,,
,,,,,,54,Baptist,,,,
,,,,,,55,Christian Methodist Episcopal,,,,
,,,,,,57,Church of God,,,,
,,,,,,58,Church of Brethren,,,,
,,,,,,59,Church of the Nazarene,,,,
,,,,,,60,Cumberland Presbyterian,,,,
,,,,,,61,Christian Church (Disciples of Christ),,,,
,,,,,,64,Free Methodist,,,,
,,,,,,65,Friends,,,,
,,,,,,66,Presbyterian Church (USA),,,,
,,,,,,67,Lutheran Church in America,,,,
,,,,,,68,Lutheran Church - Missouri Synod,,,,
,,,,,,69,Mennonite Church,,,,
,,,,,,71,United Methodist,,,,
,,,,,,73,Protestant Episcopal,,,,
,,,,,,74,Churches of Christ,,,,
,,,,,,75,Southern Baptist,,,,
,,,,,,76,United Church of Christ,,,,
,,,,,,77,"Protestant, not specified",,,,
,,,,,,78,Multiple Protestant Denomination,,,,
,,,,,,79,Other Protestant,,,,
,,,,,,80,Jewish,,,,
,,,,,,81,Reformed Presbyterian Church,,,,
,,,,,,84,United Brethren Church,,,,
,,,,,,87,Missionary Church Inc,,,,
,,,,,,88,Undenominational,,,,
,,,,,,89,Wesleyan,,,,
,,,,,,91,Greek Orthodox,,,,
,,,,,,92,Russian Orthodox,,,,
,,,,,,93,Unitarian Universalist,,,,
,,,,,,94,Latter Day Saints (Mormon Church),,,,
,,,,,,95,Seventh Day Adventists,,,,
,,,,,,97,The Presbyterian Church in America,,,,
,,,,,,99,Other (none of the above),,,,
,,,,,,100,Original Free Will Baptist,,,,
,,,,,,101,Ecumenical Christian,,,,
,,,,,,102,Evangelical Christian,,,,
,,,,,,103,Presbyterian,,,,
,,,,,,105,General Baptist,,,,
,,,,,,106,Muslim,,,,
,,,,,,107,Plymouth Brethren,,,,
Admission rate,admissions,admission_rate.overall,float,float,ADM_RATE,,,IPEDS,,,
Admission rate for all campuses rolled up to the 6-digit OPE ID,admissions,admission_rate.by_ope_id,float,,ADM_RATE_ALL,,,IPEDS,,,
25th percentile of SAT scores at the institution (critical reading),admissions,sat_scores.25th_percentile.critical_reading,float,float,SATVR25,,,IPEDS,Yes,,
75th percentile of SAT scores at the institution (critical reading),admissions,sat_scores.75th_percentile.critical_reading,float,float,SATVR75,,,IPEDS,Yes,,
25th percentile of SAT scores at the institution (math),admissions,sat_scores.25th_percentile.math,float,float,SATMT25,,,IPEDS,Yes,,
75th percentile of SAT scores at the institution (math),admissions,sat_scores.75th_percentile.math,float,float,SATMT75,,,IPEDS,Yes,,
25th percentile of SAT scores at the institution (writing),admissions,sat_scores.25th_percentile.writing,float,float,SATWR25,,,IPEDS,,Discontinued,
75th percentile of SAT scores at the institution (writing),admissions,sat_scores.75th_percentile.writing,float,float,SATWR75,,,IPEDS,,Discontinued,
Midpoint of SAT scores at the institution (critical reading),admissions,sat_scores.midpoint.critical_reading,float,float,SATVRMID,,,IPEDS,,,
Midpoint of SAT scores at the institution (math),admissions,sat_scores.midpoint.math,float,float,SATMTMID,,,IPEDS,,,
Midpoint of SAT scores at the institution (writing),admissions,sat_scores.midpoint.writing,float,float,SATWRMID,,,IPEDS,,Discontinued,
25th percentile of the ACT cumulative score,admissions,act_scores.25th_percentile.cumulative,float,,ACTCM25,,,IPEDS,Yes,,
75th percentile of the ACT cumulative score,admissions,act_scores.75th_percentile.cumulative,float,,ACTCM75,,,IPEDS,Yes,,
25th percentile of the ACT English score,admissions,act_scores.25th_percentile.english,float,,ACTEN25,,,IPEDS,,,
75th percentile of the ACT English score,admissions,act_scores.75th_percentile.english,float,,ACTEN75,,,IPEDS,,,
25th percentile of the ACT math score,admissions,act_scores.25th_percentile.math,float,,ACTMT25,,,IPEDS,,,
75th percentile of the ACT math score,admissions,act_scores.75th_percentile.math,float,,ACTMT75,,,IPEDS,,,
25th percentile of the ACT writing score,admissions,act_scores.25th_percentile.writing,float,,ACTWR25,,,IPEDS,,Discontinued,
75th percentile of the ACT writing score,admissions,act_scores.75th_percentile.writing,float,,ACTWR75,,,IPEDS,,Discontinued,
Midpoint of the ACT cumulative score,admissions,act_scores.midpoint.cumulative,float,float,ACTCMMID,,,IPEDS,,,
Midpoint of the ACT English score,admissions,act_scores.midpoint.english,float,,ACTENMID,,,IPEDS,,,
Midpoint of the ACT math score,admissions,act_scores.midpoint.math,float,,ACTMTMID,,,IPEDS,,,
Midpoint of the ACT writing score,admissions,act_scores.midpoint.writing,float,,ACTWRMID,,,IPEDS,,Discontinued,
Average SAT equivalent score of students admitted,admissions,sat_scores.average.overall,float,float,SAT_AVG,,,IPEDS,,,
Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,admissions,sat_scores.average.by_ope_id,float,,SAT_AVG_ALL,,,IPEDS,,,
"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",academics,program_percentage.agriculture,float,,PCIP01,,"Agriculture, Agriculture Operations, and Related Sciences",IPEDS,,,
Percentage of degrees awarded in Natural Resources And Conservation.,academics,program_percentage.resources,float,,PCIP03,,Natural Resources and Conservation,IPEDS,,,
Percentage of degrees awarded in Architecture And Related Services.,academics,program_percentage.architecture,float,,PCIP04,,Architecture and Related Services,IPEDS,,,
"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",academics,program_percentage.ethnic_cultural_gender,float,,PCIP05,,"Area, Ethnic, Cultural, Gender, and Group Studies",IPEDS,,,
"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",academics,program_percentage.communication,float,,PCIP09,,"Communication, Journalism, and Related Programs",IPEDS,,,
Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,academics,program_percentage.communications_technology,float,,PCIP10,,Communications Technologies/Technicians and Support Services,IPEDS,,,
Percentage of degrees awarded in Computer And Information Sciences And Support Services.,academics,program_percentage.computer,float,,PCIP11,,Computer and Information Sciences and Support Services,IPEDS,,,
Percentage of degrees awarded in Personal And Culinary Services.,academics,program_percentage.personal_culinary,float,,PCIP12,,Personal and Culinary Services,IPEDS,,,
Percentage of degrees awarded in Education.,academics,program_percentage.education,float,,PCIP13,,Education,IPEDS,,,
Percentage of degrees awarded in Engineering.,academics,program_percentage.engineering,float,,PCIP14,,Engineering,IPEDS,,,
Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,academics,program_percentage.engineering_technology,float,,PCIP15,,Engineering Technologies and Engineering-Related Fields,IPEDS,,,
"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",academics,program_percentage.language,float,,PCIP16,,"Foreign Languages, Literatures, and Linguistics",IPEDS,,,
Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,academics,program_percentage.family_consumer_science,float,,PCIP19,,Family and Consumer Sciences/Human Sciences,IPEDS,,,
Percentage of degrees awarded in Legal Professions And Studies.,academics,program_percentage.legal,float,,PCIP22,,Legal Professions and Studies,IPEDS,,,
Percentage of degrees awarded in English Language And Literature/Letters.,academics,program_percentage.english,float,,PCIP23,,English Language and Literature/Letters,IPEDS,,,
"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",academics,program_percentage.humanities,float,,PCIP24,,"Liberal Arts and Sciences, General Studies and Humanities",IPEDS,,,
Percentage of degrees awarded in Library Science.,academics,program_percentage.library,float,,PCIP25,,Library Science,IPEDS,,,
Percentage of degrees awarded in Biological And Biomedical Sciences.,academics,program_percentage.biological,float,,PCIP26,,Biological and Biomedical Sciences,IPEDS,,,
Percentage of degrees awarded in Mathematics And Statistics.,academics,program_percentage.mathematics,float,,PCIP27,,Mathematics and Statistics,IPEDS,,,
Percentage of degrees awarded in Military Technologies And Applied Sciences.,academics,program_percentage.military,float,,PCIP29,,Military Technologies and Applied Sciences,IPEDS,,,
Percentage of degrees awarded in Multi/Interdisciplinary Studies.,academics,program_percentage.multidiscipline,float,,PCIP30,,Multi/Interdisciplinary Studies,IPEDS,,,
"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",academics,program_percentage.parks_recreation_fitness,float,,PCIP31,,"Parks, Recreation, Leisure, and Fitness Studies",IPEDS,,,
Percentage of degrees awarded in Philosophy And Religious Studies.,academics,program_percentage.philosophy_religious,float,,PCIP38,,Philosophy and Religious Studies,IPEDS,,,
Percentage of degrees awarded in Theology And Religious Vocations.,academics,program_percentage.theology_religious_vocation,float,,PCIP39,,Theology and Religious Vocations,IPEDS,,,
Percentage of degrees awarded in Physical Sciences.,academics,program_percentage.physical_science,float,,PCIP40,,Physical Sciences,IPEDS,,,
Percentage of degrees awarded in Science Technologies/Technicians.,academics,program_percentage.science_technology,float,,PCIP41,,Science Technologies/Technicians,IPEDS,,,
Percentage of degrees awarded in Psychology.,academics,program_percentage.psychology,float,,PCIP42,,Psychology,IPEDS,,,
"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",academics,program_percentage.security_law_enforcement,float,,PCIP43,,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",IPEDS,,,
Percentage of degrees awarded in Public Administration And Social Service Professions.,academics,program_percentage.public_administration_social_service,float,,PCIP44,,Public Administration and Social Service Professions,IPEDS,,,
Percentage of degrees awarded in Social Sciences.,academics,program_percentage.social_science,float,,PCIP45,,Social Sciences,IPEDS,,,
Percentage of degrees awarded in Construction Trades.,academics,program_percentage.construction,float,,PCIP46,,Construction Trades,IPEDS,,,
Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,academics,program_percentage.mechanic_repair_technology,float,,PCIP47,,Mechanic and Repair Technologies/Technicians,IPEDS,,,
Percentage of degrees awarded in Precision Production.,academics,program_percentage.precision_production,float,,PCIP48,,Precision Production,IPEDS,,,
Percentage of degrees awarded in Transportation And Materials Moving.,academics,program_percentage.transportation,float,,PCIP49,,Transportation and Materials Moving,IPEDS,,,
Percentage of degrees awarded in Visual And Performing Arts.,academics,program_percentage.visual_performing,float,,PCIP50,,Visual and Performing Arts,IPEDS,,,
Percentage of degrees awarded in Health Professions And Related Programs.,academics,program_percentage.health,float,,PCIP51,,Health Professions and Related Programs,IPEDS,,,
"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",academics,program_percentage.business_marketing,float,,PCIP52,,"Business, Management, Marketing, and Related Support Services",IPEDS,,,
Percentage of degrees awarded in History.,academics,program_percentage.history,float,,PCIP54,,History,IPEDS,,,
"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences.",academics,program.certificate_lt_1_yr.agriculture,integer,,CIP01CERT1,0,Program not offered,IPEDS,,"Program designations at the 2-digit CIP level are aggregations of individual 6-digit CIP code offerings. If at least one 6-digit CIP code in the 2-digit group is offered (or is offered through an exclusively distance education modality), then the full 2-digit group is designated as offered (or offered through distance education). ",
"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences.",academics,program.certificate_lt_2_yr.agriculture,integer,,CIP01CERT2,1,Program offered,IPEDS,,ibid,
"Associate degree in Agriculture, Agriculture Operations, And Related Sciences.",academics,program.assoc.agriculture,integer,,CIP01ASSOC,2,Program offered through an exclusively distance-education program,IPEDS,,ibid,
"Award of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences.",academics,program.certificate_lt_4_yr.agriculture,integer,,CIP01CERT4,,,IPEDS,,ibid,
"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences.",academics,program.bachelors.agriculture,integer,,CIP01BACHL,,,IPEDS,,ibid,
Certificate of less than one academic year in Natural Resources And Conservation.,academics,program.certificate_lt_1_yr.resources,integer,,CIP03CERT1,,,IPEDS,,ibid,
Certificate of at least one but less than two academic years in Natural Resources And Conservation.,academics,program.certificate_lt_2_yr.resources,integer,,CIP03CERT2,,,IPEDS,,ibid,
Associate degree in Natural Resources And Conservation.,academics,program.assoc.resources,integer,,CIP03ASSOC,,,IPEDS,,ibid,
Award of at least two but less than four academic years in Natural Resources And Conservation.,academics,program.certificate_lt_4_yr.resources,integer,,CIP03CERT4,,,IPEDS,,ibid,
Bachelor's degree in Natural Resources And Conservation.,academics,program.bachelors.resources,integer,,CIP03BACHL,,,IPEDS,,ibid,
Certificate of less than one academic year in Architecture And Related Services.,academics,program.certificate_lt_1_yr.architecture,integer,,CIP04CERT1,,,IPEDS,,ibid,
Certificate of at least one but less than two academic years in Architecture And Related Services.,academics,program.certificate_lt_2_yr.architecture,integer,,CIP04CERT2,,,IPEDS,,ibid,
Associate degree in Architecture And Related Services.,academics,program.assoc.architecture,integer,,CIP04ASSOC,,,IPEDS,,ibid,
