Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,,Judged Score,
Artesanos Bonito del Norte (Albacore) Loins in Tomato Sauce,23,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos,Yes,Yes,Tomato,NA,NA,NA,138,4.87,No,No,No,Yes,Yes,Yes,No,No,No,None,1,280,,,,
Artesanos Bonito del Norte (Albacore) Loins with Onion and Green Peppers,23,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Artesanos,Yes,No,"Pepper, Onion",NA,NA,NA,138,4.87,No,No,No,No,No,No,No,No,No,None,1,280,,,,
AS do MAR Ventresca of Yellowfin,25,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,AS do MAR,Yes,No,None,NA,NA,NA,125,4.4,No,No,No,No,No,No,No,No,No,None,1,310,14,,,
AS do MAR Yellowfin Loin,12.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Italy,AS do MAR,Yes,No,None,NA,NA,NA,200,7.05,No,No,No,No,No,No,No,No,No,None,1,670,29,,,
Ati Manel Garfish in Olive Oil,8,Olive Oil,Garfish,Belone belone,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,120,4.2,No,No,No,No,No,No,No,No,No,None,1,85,10,,,
Ati Manel Garfish in Spiced Olive Oil,8,Olive Oil,Garfish,Belone belone,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,120,4.2,No,No,No,No,Yes,No,No,No,No,None,1,85,10,,,
Ati Manel Mackerel Fillets in Olive Oil,9,Olive Oil,Mackerel,Scomber japonicus,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,125,4.4,No,No,No,No,No,No,No,No,No,None,1,85,14,,,
Ati Manel Mussels in Escabeche,10,"Sunflower Oil, Wine Vinegar",Mussels,Mytilus galloprovincialis,Spain,Ati Manel,Yes,No,Escabeche,NA,NA,NA,110,3.9,No,No,No,Yes,No,No,No,No,No,None,1,110,10,,,
Ati Manel Octopus in Garlic Sauce,14.5,Sunflower Oil,Octopus,Elodone cirrhiosa,Spain,Ati Manel,Yes,No,Garlic,NA,NA,NA,110,3.9,No,No,No,Yes,No,No,No,No,No,None,1,100,10,,,
Ati Manel Razor Clams in Brine,18,Brine,Razor Clams,Ensis siliqua,Spain,Ati Manel,Yes,No,None,NA,NA,NA,110,3.9,No,No,No,No,No,No,No,No,No,None,1,100,19,,,
Ati Manel Sardines in Olive Oil,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,125,4.4,No,No,No,No,No,No,No,No,No,None,1,80,15,,,
Ati Manel Sardines in Olive Oil with Lemon,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,No,Lemon,NA,NA,NA,125,4.4,No,No,Yes,No,No,No,No,No,No,None,1,68,16,,,
Ati Manel Sardines in Spicy Olive Oil,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,No,Spicy oil,No,No,Unstated,120,4.2,No,No,No,No,Yes,No,No,No,No,None,1,560,,,,
Ati Manel Sardines in Tomato Sauce,8,Olive Oil,Sardines,Sardina pilchardus,Portugal,Ati Manel,Yes,Yes,Tomato,NA,NA,NA,120,4.2,No,No,No,No,No,Yes,No,No,No,None,1,110,14,,,
Ati Manel Scallops in “Caldeirada” Sauce,12,Olive Oil,Scallops,Chlamys sp,Spain,Ati Manel,Yes,Yes,Caldeirada,NA,NA,NA,120,4.2,No,No,No,No,No,Yes,No,No,No,None,1,100,10,,,
Ati Manel Spiced Mussels in Escabeche,10,"Sunflower Oil, Wine Vinegar",Mussels,Mytilus galloprovincialis,Spain,Ati Manel,Yes,No,Escabeche,NA,NA,NA,110,3.9,No,No,No,Yes,Yes,No,No,No,No,None,1,100,10,,,
Ati Manel Spiced Tuna Fillets in Olive Oil,13.5,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Ati Manel,Yes,No,Spicy oil,NA,NA,NA,120,4.2,No,No,No,No,Yes,No,No,No,No,None,1,130,24,,,
Ati Manel Squid Pieces in Ink,8,Sunflower Oil,Squid,Loligo vulgaris,Spain,Ati Manel,Yes,No,"Tomato, onion, squid ink",NA,NA,NA,110,3.9,No,No,No,No,Yes,Yes,No,No,No,None,1,118,21,,,
Ati Manel Tuna Fillets in Olive Oil,13.5,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Ati Manel,Yes,No,None,NA,NA,NA,110,3.9,No,No,No,No,No,No,No,No,No,None,1,55,11,,,
Belveder Cod Liver,4.5,None,Cod,?,?,Belveder,Yes,No,None,NA,NA,Unstated,120,4.2,No,No,No,No,No,No,No,No,No,None,2,278,11,,,
"Belveder Riga Smoked Sprats in Oil, 160g",3.5,Rapeseed Oil,Sprats,Sprattus sprattus,Latvia,Belveder,Yes,No,None,No,No,Unstated,160,5.6,Yes,No,No,No,No,No,No,No,No,None,3,220,10,,,
"Belveder Riga Smoked Sprats in Oil, 240g",4.5,Rapeseed Oil,Sprats,Sprattus sprattus,Latvia,Belveder,Yes,No,None,No,No,Unstated,240,8.5,Yes,No,No,No,No,No,No,No,No,None,3,220,10,,,
Bogar Cockles in Brine 45/55,18,Water,Cockles,?,Spain,Bogar,Yes,No,None,NA,NA,45/55,111,4,No,No,No,No,No,No,No,No,No,None,2,370,16,,,
Bogar Mussels in Escabeche 12/16,9,Sunflower Oil,Mussels,?,Spain,Bogar,Yes,No,Escabeche,NA,NA,12/16,111,4,No,No,No,No,No,No,No,No,No,None,2,510,22,,,
Bogar Sardines in Spicy Oil 3/5,8,Sunflower Oil,Sardines,?,Spain,Bogar,yes,No,Spiced/Spicy,No,No,3/5,115,4,No,No,No,No,Yes,No,NO,No,No,None,2,240,11,,,
Bogar Squid Pieces in Ink,6.5,Sunflower Oil,Squid,?,Spain,Bogar,Yes,No,Ink,NA,NA,Unstated,111,4,No,No,No,No,No,Yes,No,No,No,None,2,260,11,,,
Bon Appetit Sardines in Hot Olive Oil,3.5,Olive Oil,Sardines,?,Portugal,Bon Appetit,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.23,No,No,No,No,Yes,No,No,No,No,None,1,170,7,,,
Bon Appetit Sardines in Hot Sunflower Oil,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.23,No,No,No,No,Yes,No,No,No,No,None,1,300,13,,,
Bon Appetit Sardines in Hot Tomato Sauce,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,Spiced/Spicy Tomato,No,No,Unstated,120,4.23,No,No,No,No,Yes,Yes,No,No,No,None,1,160,7,,,
Bon Appetit Sardines in Olive Oil,3.5,Olive Oil,Sardines,?,Portugal,Bon Appetit,Yes,No,None,No,No,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,None,1,190,8,,,
Bon Appetit Sardines in Sunflower Oil,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,None,No,No,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,None,1,170,8,,,
Bon Appetit Sardines in Tomato Sauce,3.5,Sunflower,Sardines,?,Portugal,Bon Appetit,Yes,No,Tomato,No,No,Unstated,120,4.23,No,No,No,No,No,Yes,No,No,No,None,1,280,12,,,
Briosa Gourmet Boneless Skinless Sardines in Olive Oil,10,Olive Oil,Sardines,Sardina pilchardus,Portugal,Briosa,Yes,No,None,Yes,Yes,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,None,1,340,15,,,
Briosa Gourmet Mackerel Fillets in Olive Oil,8,Olive Oil,Mackerel,?,Portugal,Briosa,Yes,No,None,Yes,Yes,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,None,1,340,15,,,
Briosa Gourmet Sardines in Olive Oil,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Briosa,Yes,No,None,No,No,Unstated,120,4.23,No,No,No,No,No,No,No,No,No,None,1,340,15,,,
Briosa Gourmet Spiced Mackerel Fillets in Olive Oil,8.75,Olive Oil,Mackerel,?,Portugal,Briosa,Yes,No,Spiced/Spicy,Yes,Yes,Unstated,120,4.23,No,No,No,No,Yes,No,No,No,No,None,1,340,14,,,
Briosa Gourmet Spiced Sardines in Olive Oil,7,Olive Oil,Sardines,Sardina pilchardus,Portugal,Briosa,Yes,No,Spiced/Spicy,No,No,Unstated,120,4.23,No,No,No,Yes,Yes,No,No,No,No,None,1,340,15,,,
Briosa Gourmet Tuna Fillets in Olive Oil with Chickpeas,8,Olive Oil,"Tuna, Skipjack",?,Portugal,Briosa,Yes,No,"Chickpeas, onion",NA,NA,NA,120,4.23,No,No,No,No,No,No,No,No,No,None,1,620,26,,,
Callol Serrats L’Escala Anchovy Fillets,13,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Callol Serrats,Yes,No,None,Yes,Yes,Unstated,50,1.76,No,No,No,No,No,No,No,No,No,None,2,880,37,,,
"Callol Serrats L’Escala Anchovy Fillets, 100g glass jar",19,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Callol Serrats,Yes,No,None,Yes,Yes,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,None,4,880,37,,,
"Chatka King Crab 100% Legs, 121g",77,Water,King Crab,?,Spain,Chatka,Yes,No,None,Yes,Yes,Unstated,121,4.3,No,No,No,No,No,No,No,No,No,None,1,,,,,
"Chatka King Crab 100% Legs, 185g",105,Water,King Crab,?,Spain,Chatka,Yes,No,None,Yes,Yes,Unstated,185,6.5,No,No,No,No,No,No,No,No,No,None,2,,,,,
"Chatka King Crab 15% Legs, 121g",43,Water,King Crab,?,Spain,Chatka,Yes,No,None,Yes,Yes,Unstated,121,4.3,No,No,No,No,No,No,No,No,No,None,1,836,,,,
"Chatka King Crab 15% Legs, 185g",50,Water,King Crab,?,Spain,Chatka,Yes,No,None,Yes,Yes,Unstated,185,6.5,No,No,No,No,No,No,No,No,No,None,2,,,,,
"Chatka King Crab 60% Legs, 121g",53,Water,King Crab,?,Spain,Chatka,Yes,No,None,Yes,Yes,Unstated,121,4.3,No,No,No,No,No,No,No,No,No,None,1,,,,,
"Chatka King Crab 60% Legs, 185g",68,Water,King Crab,?,Spain,Chatka,Yes,No,None,Yes,Yes,Unstated,185,6.5,No,No,No,No,No,No,No,No,No,None,2,,,,,
Codesa Serie Limitada (Limited Series) Anchovy Fillet in Olive Oil,20,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Codesa,Yes,No,None,Yes,Yes,7/10,55,1.94,No,No,No,No,No,No,No,No,No,None,3,733,31,,,
Codesa Serie Oro (Gold Series) Anchovy Fillet in Olive Oil,15.5,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Codesa,Yes,No,None,Yes,Yes,8/10,55,1.94,No,No,No,No,No,No,No,No,No,None,3,733,31,,,
Cole's Select Snow Crab,16,Water,Crab,Paralomis granulosa,Chile,Cole's,Yes,No,None,NA,NA,NA,150,5.3,No,No,No,No,No,No,No,No,No,None,2,250,11,,,
Cole's Smoked Mussels in Olive Oil,8.5,Olive Oil,Mussels,Mytilus edulis,Chile,Cole's,Yes,No,None,NA,NA,Unstated,114,4,Yes,No,No,No,No,No,No,No,No,None,1,207,9,,,
Cole's Smoked Rainbow Trout in Olive Oil,8.5,Olive Oil,Trout,Oncorhynchus mykiss,Chile,Cole's,Yes,No,None,Yes,No,Unstated,91,3.2,Yes,No,No,No,No,No,No,No,No,None,1,300,13,,,
Cole's Smoked Salmon in Olive Oil,9.5,Olive Oil,Salmon,Salmo salar,Chile,Cole's,Yes,No,None,Yes,Yes,Unstated,91,3.2,Yes,No,No,No,No,No,No,No,No,None,1,300,12.5,,,
Cole's Smoked Trout with Lemon & Cracked Pepper,8.5,Olive Oil,Trout,Oncorhynchus mykiss,Chile,Cole's,Yes,No,"Lemon, Pepper",Yes,No,Unstated,91,3.2,Yes,No,Yes,No,No,No,No,No,No,None,1,374,16,,,
"Cole's Stuffed Calamari with Rice, Tomato, Onion, and Spices",9,"Sunflower Oil, Soybean Oil",Squid,Loligo spp,Portugal,Cole's,Yes,No,Tomato,NA,NA,Unstated,115,4.1,No,No,No,No,No,Yes,No,No,No,None,1,820,36,,,
Cole's Tuna Fillets in Olive Oil,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,No,None,NA,NA,NA,190,6.7,No,No,No,No,No,No,No,No,No,None,2,280,12,,,
Cole's Tuna Fillets in Olive Oil & Fennel,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,No,Fennel Seeds,NA,NA,NA,190,6.7,No,No,No,No,No,No,No,No,No,None,1.5,170,7,,,
Cole's Tuna Fillets in Olive Oil with Oregano,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,No,Oregano,NA,NA,NA,190,6.7,No,No,No,No,No,No,No,No,No,None,2,280,12,,,
Cole's Tuna Fillets in Olive Oil with Sweet Red Pepper,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Cape Verde,Cole's,Yes,Yes,Red Bell Pepper,NA,NA,NA,190,6.7,No,No,No,No,No,No,No,No,No,None,1.5,250,11,,,
Cole's Wild Atlantic Chub Mackerel in Olive Oil,6,Olive Oil,Mackerel,Scomber colias,Cape Verde,Cole's,Yes,No,None,Yes,Yes,Unstated,125,4.4,No,No,No,No,No,No,No,No,No,None,1,340,15,,,
Conservas de Cambados Baby Eels in Olive Oil,49,Olive Oil,Eel,Anguilla bicolor bicolor and  Anguilla Mossambica,Spain,Conservas de Cambados,Yes,No,None,NA,NA,Unstated,111,4,No,No,No,No,Yes,No,No,No,No,None,1,620,27,,,
Conservas de Cambados Barnacles (Percebes) in Brine,33.5,Water,Barnacles,Pollicipes pollicipes,Spain,Conservas de Cambados,Yes,No,None,NA,NA,Unstated,111,4,No,No,No,No,No,No,No,No,No,None,1,1240,54,,,
Conservas de Cambados Cockles in Brine 20/25,54,Water,Cockles,Cerastoderma edule,Spain,Conservas de Cambados,Yes,No,None,NA,NA,20/25,111,4,No,No,No,No,No,No,No,No,No,None,2,370,19,,,
Conservas de Cambados Cockles in Brine 30/40,31.5,Water,Cockles,Cerastoderma edule,Spain,Conservas de Cambados,Yes,No,None,NA,NA,30/40,111,4,No,No,No,No,No,No,No,No,No,None,1,750,33,,,
Conservas de Cambados Fried Mussels in Escabeche 4/6,23,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,NA,NA,4/6,11,4,No,No,No,No,No,No,No,No,No,None,1,620,27,,,
Conservas de Cambados Fried Mussels in Escabeche 6/8 (King Size),19,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,NA,NA,6/8,111,4,No,No,No,No,No,No,No,No,No,None,1,620,27,,,
Conservas de Cambados Fried Mussels in Escabeche 8/12,14.5,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,NA,NA,8/12,111,4,No,No,No,No,No,No,No,No,No,None,1,620,27,,,
Conservas de Cambados Garfish (Agujas) in Olive Oil,6.5,Olive Oil,Garfish,Scomberesox saurus and Belone belone,Spain,Conservas de Cambados,Yes,No,None,No,No,4/6,115,4,No,No,No,No,No,No,No,No,No,None,1,460,20,,,
Conservas de Cambados Large Fried Mussels in Escabeche 16/20 (Large Format Tin),30,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,NA,NA,16/20,266,9,No,No,No,No,No,No,No,No,No,None,3,476,21,,,
Conservas de Cambados Mackerel Fillet in Olive Oil,10,Olive Oil,Mackerel,Scomber scombrus and Scomber colias ,Spain,Conservas de Cambados,Yes,No,None,Yes,Yes,Unstated,115,4,No,No,No,No,No,No,No,No,No,None,1,260,11,,,
Conservas de Cambados Octopus in Galician Sauce,12,Sunflower Oil,Octopus,Octopus vulgaris,Spain,Conservas de Cambados,Yes,No,Galician,NA,NA,Unstated,111,4,No,No,No,No,No,No,No,No,No,None,1,200,9,,,
Conservas de Cambados Octopus in Olive Oil,13,Olive Oil,Octopus,Octopus vulgaris,Spain,Conservas de Cambados,Yes,No,None,NA,NA,Unstated,111,4,No,No,No,No,No,No,No,No,No,None,1,360,15,,,
Conservas de Cambados Razorshells (Razor Clams) in Brine,19,Water,"Clam, Razor",Ensis siliqua,Spain,Conservas de Cambados,Yes,No,None,NA,NA,4/6,111,4,No,No,No,No,No,No,No,No,No,None,1,800,35,,,
Conservas de Cambados Sea Urchin Roes in Brine,30,Water,Urchin Roe,Paracentrotus lividus,Spain,Conservas de Cambados,Yes,No,None,NA,NA,NA,80,3,No,No,No,No,No,No,No,No,No,None,1,420,18,,,
Conservas de Cambados Small Sardines in Olive Oil 16/22,10.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Conservas de Cambados,Yes,No,None,No,No,16/22,115,4,No,No,No,No,No,No,No,No,No,None,1,740,32,,,
Conservas de Cambados Small Sardines in Olive Oil 20/25,12,Olive Oil,Sardines,Sardina pilchardus,Spain,Conservas de Cambados,Yes,No,None,No,No,20/25,115,4,No,No,No,No,No,No,No,No,No,None,1,740,32,,,
Conservas de Cambados Small Scallops in Galician Sauce,10,Sunflower Oil,Scallop,Aequipecten opercularis,Spain,Conservas de Cambados,Yes,No,Galician,NA,NA,Unstated,111,4,No,No,No,No,No,Yes,No,No,No,None,1,310,14,,,
"Conservas de Cambados Squid Ink (Tina de Calamar), 4-pack of 4g packets",6,Water,Cuttlefish Ink,?,Spain,Conservas de Cambados,Yes,No,Cuttlefish Ink,NA,NA,NA,4,0.14,No,No,No,No,No,No,No,No,No,None,4,310,14,,,
Conservas de Cambados Stuffed Squids in Ink 6/8,17,Sunflower Oil,Squid,Loligo gahi,Spain,Conservas de Cambados,Yes,No,Ink,NA,NA,6/8,111,4,No,No,No,No,No,Yes,No,No,No,None,1,390,17,,,
Conservas de Cambados Stuffed Squids in Olive Oil 6/8,21,Olive Oil,Squid,Loligo gahi,Spain,Conservas de Cambados,Yes,No,None,NA,NA,6/8,111,4,No,No,No,No,No,No,No,No,No,None,1,220,10,,,
Conservas de Cambados Very Small Sardines in Olive Oil 25/30,15,Olive Oil,Sardines,Sardina pilchardus,Spain,Conservas de Cambados,Yes,No,None,No,No,25/30,115,4,No,No,No,No,No,No,No,No,No,None,1,740,32,,,
