"id","time","cohort","frequency_black","frequency_hispanic","frequency_asian","frequency_gay","frequency_trans","respect","centrality","yearsworked","rank","race_white","race_black","gender_d","education_ba","attendance","facilduo_gender","facilduo_race","facilduo_le","facilduo_relatedle","facilduo_relatedle_nole","knowledge","theories","strategy","biasworry","strat_know","strat_efficacy","strat_mot","strat","race","education","substitution","perspective","exposure","individuation","mindful","knowledge_bias","knowledge_race","knowledge_culture","theories1","theories2","biasworry_black","biasworry_asian","biasworry_hispanic","biasworry_lgb","biasworry_trans","biasworry_white","centrality1","centrality2","centrality3","respect1","respect2","respect3","respect4"
"s4421",2,2,5,5,2,3,1,7,4.33333333333333,29,1,1,0,1,1,55,"ff","bw",0,0,0,3,3,0.2,2,5,3,2,3.33333333333333,1,5,0,0,0,0,1,4,3,2,3,3,2,2,2,2,2,1,5,5,3,7,7,7,7
"s4421",3,2,5,5,2,3,1,7,4.33333333333333,29,1,1,0,1,1,55,"ff","bw",0,0,0,3,4,0,1,5,2,2,3,1,5,0,0,0,0,0,2,2,5,4,4,1,1,1,1,1,NA,5,5,3,7,7,7,7
"s4422",1,2,4,3,1,1,1,7,5.33333333333333,27,1,1,0,1,1,29,"mf","bw",0,0,0,5,3,2.4,1,NA,NA,NA,NA,1,6,2,4,2,2,2,4,7,4,3,3,1,1,1,1,1,1,4,7,5,7,7,7,7
"s4422",2,2,4,3,1,1,1,7,5.33333333333333,27,1,1,0,1,1,29,"mf","bw",0,0,0,1.66666666666667,3.5,0.4,1,3,3,4,3.33333333333333,1,6,0,0,0,0,2,3,1,1,2,5,1,1,1,1,1,1,4,7,5,7,7,7,7
"s4422",3,2,4,3,1,1,1,7,5.33333333333333,27,1,1,0,1,1,29,"mf","bw",0,0,0,4,4,0,4,3,3,3,3,1,6,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,NA,4,7,5,7,7,7,7
"s4451",1,2,4,4,2,3,2,2.75,6.33333333333333,26,0,0,0,1,0,39,"mf","bw",1,1,0,2,5,1.6,1,NA,NA,NA,NA,3,3,2,0,0,0,6,1,1,4,5,5,1,1,1,1,1,1,6,7,6,1,4,4,2
"s4451",2,2,4,4,2,3,2,2.75,6.33333333333333,26,0,0,0,1,0,39,"mf","bw",1,1,0,4,6,4.4,1,5,4,5,4.66666666666667,3,3,4,6,2,4,6,5,2,5,6,6,1,1,1,1,1,2,6,7,6,1,4,4,2
"s4451",3,2,4,4,2,3,2,2.75,6.33333333333333,26,0,0,0,1,0,39,"mf","bw",1,1,0,6.66666666666667,6.5,2.6,2,5,5,5,5,3,3,3,3,2,1,4,7,6,7,7,6,2,2,2,2,2,NA,6,7,6,1,4,4,2
"s4484",1,2,5,4,1,1,1,5,3,26,1,1,0,1,1,32,"mf","bw",0,1,1,1,6,0,1,NA,NA,NA,NA,1,5,0,0,0,0,0,1,1,1,6,6,1,1,1,1,1,1,2,5,2,2,7,7,4
"s4484",2,2,5,4,1,1,1,5,3,26,1,1,0,1,1,32,"mf","bw",0,1,1,2,5,0,1,5,3,2,3.33333333333333,1,5,0,0,0,0,0,2,2,2,5,5,1,1,1,1,1,1,2,5,2,2,7,7,4
"s4484",3,2,5,4,1,1,1,5,3,26,1,1,0,1,1,32,"mf","bw",0,1,1,2,5,0,1,5,2,3,3.33333333333333,1,5,0,0,0,0,0,2,2,2,5,5,1,1,1,1,1,NA,2,5,2,2,7,7,4
"s4516",1,2,4,4,3,2,1,5,1,15,0,0,1,0,1,56,"mf","bw",0,1,1,5,7,1.8,1,NA,NA,NA,NA,2,6,0,0,5,0,4,5,5,5,7,7,1,1,1,1,1,1,1,1,1,5,5,7,3
"s4516",2,2,4,4,3,2,1,5,1,15,0,0,1,0,1,56,"mf","bw",0,1,1,6,7,1.4,1,3,2,3,2.66666666666667,2,6,0,1,0,0,6,6,6,6,7,7,1,1,1,1,1,1,1,1,1,5,5,7,3
"s4516",3,2,4,4,3,2,1,5,1,15,0,0,1,0,1,56,"mf","bw",0,1,1,5,4,0.8,1,4,3,3,3.33333333333333,2,6,0,2,0,2,0,5,5,5,4,4,1,1,1,1,1,NA,1,1,1,5,5,7,3
"s4564",1,2,3,3,3,3,3,4,4,26,NA,NA,NA,NA,NA,43,"mm","bw",0,1,1,4,4,6,4,NA,NA,NA,NA,NA,NA,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"s4564",2,2,3,3,3,3,3,4,4,26,NA,NA,NA,NA,NA,43,"mm","bw",0,1,1,4,4,6,4,3,3,3,3,NA,NA,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"s4564",3,2,3,3,3,3,3,4,4,26,NA,NA,NA,NA,NA,43,"mm","bw",0,1,1,4,4,6,4,3,3,3,3,NA,NA,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4
"s4568",1,2,2,4,2,0,0,4.75,3.66666666666667,14,0,0,0,1,1,39,"mf","bw",1,1,0,2.66666666666667,3,1.2,2,NA,NA,NA,NA,3,5,0,1,1,1,3,1,1,6,3,3,2,2,2,2,2,2,4,3,4,4,5,5,5
"s4568",2,2,2,4,2,0,0,4.75,3.66666666666667,14,0,0,0,1,1,39,"mf","bw",1,1,0,3.66666666666667,3,1.6,4,4,3,4,3.66666666666667,3,5,1,1,1,1,4,4,2,5,3,3,4,4,4,4,4,4,4,3,4,4,5,5,5
"s4568",3,2,2,4,2,0,0,4.75,3.66666666666667,14,0,0,0,1,1,39,"mf","bw",1,1,0,4,3,0.8,2,3,4,4,3.66666666666667,3,5,1,1,0,1,1,4,3,5,3,3,2,2,2,2,2,NA,4,3,4,4,5,5,5
"s4578",1,2,5,5,4,5,0,5.5,4,24,0,0,1,0,0,56,"mf","bw",0,1,1,2.66666666666667,6,0,2,NA,NA,NA,NA,2,4,0,0,0,0,0,4,2,2,6,6,2,2,2,2,2,2,4,4,4,6,6,5,5
"s4578",2,2,5,5,4,5,0,5.5,4,24,0,0,1,0,0,56,"mf","bw",0,1,1,4.66666666666667,5,6,2,5,5,5,5,2,4,6,6,6,6,6,6,3,5,5,5,2,2,2,2,2,2,4,4,4,6,6,5,5
"s4578",3,2,5,5,4,5,0,5.5,4,24,0,0,1,0,0,56,"mf","bw",0,1,1,3,5,1.2,3,5,4,3,4,2,4,0,0,0,0,6,3,3,3,5,5,3,3,3,3,3,NA,4,4,4,6,6,5,5
"s4658",1,2,4,4,3,4,3,7,5,22,1,1,0,1,1,49,"mm","bw",0,1,1,2.66666666666667,5.5,0,1,NA,NA,NA,NA,1,6,0,0,0,0,0,3,1,4,5,6,1,1,1,1,1,1,5,5,5,7,7,7,7
"s4658",2,2,4,4,3,4,3,7,5,22,1,1,0,1,1,49,"mm","bw",0,1,1,3.66666666666667,6,2,2,4,4,4,4,1,6,2,2,2,2,2,4,2,5,6,6,2,2,2,2,2,2,5,5,5,7,7,7,7
"s4658",3,2,4,4,3,4,3,7,5,22,1,1,0,1,1,49,"mm","bw",0,1,1,2,4,0,1,3,3,3,3,1,6,0,0,0,0,0,1,1,4,4,4,1,1,1,1,1,NA,5,5,5,7,7,7,7
"s4784",1,2,5,4,1,1,1,5.5,5,2,0,1,0,1,0,43,"mm","bw",0,1,1,1,7,3.6,1,NA,NA,NA,NA,1,4,3,4,4,3,4,1,1,1,7,7,1,1,1,1,1,1,6,5,4,5,6,5,6
"s4784",2,2,5,4,1,1,1,5.5,5,2,0,1,0,1,0,43,"mm","bw",0,1,1,3,3,2.4,2,4,4,3,3.66666666666667,1,4,0,3,2,3,4,4,2,3,2,4,2,2,2,2,2,2,6,5,4,5,6,5,6
"s4784",3,2,5,4,1,1,1,5.5,5,2,0,1,0,1,0,43,"mm","bw",0,1,1,3.33333333333333,3.5,1,3.4,5,4,3,4,1,4,0,2,2,1,0,3,4,3,3,4,3,4,4,3,3,NA,6,5,4,5,6,5,6
"s4858",1,2,4,4,3,3,2,3.5,2.33333333333333,10,0,0,1,0,1,52,"mf","bw",1,1,0,6.33333333333333,6,0.8,2.8,NA,NA,NA,NA,2,6,0,0,2,0,2,6,6,7,6,6,5,2,5,1,1,2,4,2,1,3,4,5,2
"s4858",2,2,4,4,3,3,2,3.5,2.33333333333333,10,0,0,1,0,1,52,"mf","bw",1,1,0,6,4,6,3,3,3,4,3.33333333333333,2,6,6,6,6,6,6,6,6,6,2,6,3,3,3,3,3,3,4,2,1,3,4,5,2
"s4858",3,2,4,4,3,3,2,3.5,2.33333333333333,10,0,0,1,0,1,52,"mf","bw",1,1,0,6,6,1.2,3,3,3,3,3,2,6,0,2,0,2,2,6,6,6,6,6,3,3,3,3,3,NA,4,2,1,3,4,5,2
"s5007",1,2,4,4,4,4,3,6,6,26,0,1,0,1,0,50,"ff","bw",0,1,1,2,5,0.6,2,NA,NA,NA,NA,1,3,0,1,0,1,1,2,2,2,5,5,2,2,2,2,2,2,6,6,6,6,6,6,6
"s5007",2,2,4,4,4,4,3,6,6,26,0,1,0,1,0,50,"ff","bw",0,1,1,5,3,1,4,4,4,4,4,1,3,1,1,1,1,1,5,5,5,3,3,4,4,4,4,4,4,6,6,6,6,6,6,6
"s5007",3,2,4,4,4,4,3,6,6,26,0,1,0,1,0,50,"ff","bw",0,1,1,3,2,1.6,3,4,3,4,3.66666666666667,1,3,1,2,2,1,2,3,3,3,2,2,3,3,3,3,3,NA,6,6,6,6,6,6,6
"s5020",1,2,5,4,0,2,1,1.75,2,2,0,0,0,1,1,52,"mf","bw",1,1,0,5.33333333333333,3.5,3.8,1.2,NA,NA,NA,NA,3,5,3,6,2,2,6,4,5,7,3,4,2,1,1,1,1,1,1,4,1,2,3,1,1
"s5020",2,2,5,4,0,2,1,1.75,2,2,0,0,0,1,1,52,"mf","bw",1,1,0,5,3,4.8,4.6,4,4,4,4,3,5,3,6,6,3,6,5,4,6,2,4,5,4,5,4,5,5,1,4,1,2,3,1,1
"s5020",3,2,5,4,0,2,1,1.75,2,2,0,0,0,1,1,52,"mf","bw",1,1,0,5,3.5,3.2,4,4,4,3,3.66666666666667,3,5,0,6,2,2,6,4,5,6,3,4,4,4,4,4,4,NA,1,4,1,2,3,1,1
"s5161",1,2,5,5,4,4,3,4.5,7,30,0,NA,NA,NA,1,53,"mm","bw",0,1,1,5.66666666666667,5.5,1.6,5.4,NA,NA,NA,NA,NA,6,0,2,1,2,3,5,5,7,6,5,5,5,5,6,6,1,7,7,7,5,5,3,5
"s5161",2,2,5,5,4,4,3,4.5,7,30,0,NA,NA,NA,1,53,"mm","bw",0,1,1,1.33333333333333,7,2.8,2.2,4,4,5,4.33333333333333,NA,6,2,3,3,3,3,2,1,1,7,7,4,1,2,3,1,1,7,7,7,5,5,3,5
"s5161",3,2,5,5,4,4,3,4.5,7,30,0,NA,NA,NA,1,53,"mm","bw",0,1,1,6,7,1.2,2.8,5,3,3,3.66666666666667,NA,6,0,3,1,0,2,6,6,6,7,7,2,3,3,3,3,NA,7,7,7,5,5,3,5
"s5177",1,2,5,5,3,4,3,5.25,4.66666666666667,20,1,0,1,0,1,49,"ff","bw",1,1,0,2.33333333333333,4.5,3.6,1,NA,NA,NA,NA,2,6,2,4,5,2,5,2,2,3,3,6,1,1,1,1,1,1,4,5,5,6,5,5,5
"s5177",2,2,5,5,3,4,3,5.25,4.66666666666667,20,1,0,1,0,1,49,"ff","bw",1,1,0,5.33333333333333,2,6,2,4,5,4,4.33333333333333,2,6,6,6,6,6,6,5,5,6,1,3,2,2,2,2,2,2,4,5,5,6,5,5,5
"s5177",3,2,5,5,3,4,3,5.25,4.66666666666667,20,1,0,1,0,1,49,"ff","bw",1,1,0,3,4.5,1.8,1,5,4,4,4.33333333333333,2,6,2,3,0,1,3,4,2,3,3,6,1,1,1,1,1,NA,4,5,5,6,5,5,5
"s5247",1,2,3,3,3,3,3,1,1,19,NA,1,0,1,NA,53,"mm","bw",0,1,1,1,7,0,1,NA,NA,NA,NA,1,NA,0,0,0,0,0,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1
"s5247",2,2,3,3,3,3,3,1,1,19,NA,1,0,1,NA,53,"mm","bw",0,1,1,3,4,6,4,5,5,5,5,1,NA,6,6,6,6,6,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1
"s5247",3,2,3,3,3,3,3,1,1,19,NA,1,0,1,NA,53,"mm","bw",0,1,1,4,4,0,4,3,3,3,3,1,NA,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,NA,1,1,1,1,1,1,1
"s5422",1,2,3,3,2,2,1,5,1,21,1,0,1,0,1,47,"mf","bw",0,1,1,4.33333333333333,3.5,1.8,2.8,NA,NA,NA,NA,2,6,0,6,0,0,3,5,5,3,2,5,4,1,5,2,2,1,1,1,1,6,6,4,4
"s5422",2,2,3,3,2,2,1,5,1,21,1,0,1,0,1,47,"mf","bw",0,1,1,3.66666666666667,4.5,6,1.4,4,3,4,3.66666666666667,2,6,6,6,6,6,6,5,2,4,3,6,1,1,1,1,3,1,1,1,1,6,6,4,4
"s5422",3,2,3,3,2,2,1,5,1,21,1,0,1,0,1,47,"mf","bw",0,1,1,2,4.5,2.4,1,4,3,4,3.66666666666667,2,6,0,6,0,0,6,2,2,2,3,6,1,1,1,1,1,NA,1,1,1,6,6,4,4
"s5701",1,2,5,3,0,3,0,4,4,13,0,1,0,1,1,50,"mf","bw",0,1,1,1,7,0,1,NA,NA,NA,NA,1,5,0,0,0,0,0,1,1,1,7,7,1,1,1,1,1,1,1,7,4,4,4,4,4
"s5701",2,2,5,3,0,3,0,4,4,13,0,1,0,1,1,50,"mf","bw",0,1,1,4,4,6,4,1,1,1,1,1,5,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,1,7,4,4,4,4,4
"s5701",3,2,5,3,0,3,0,4,4,13,0,1,0,1,1,50,"mf","bw",0,1,1,1,7,0,1,1,1,1,1,1,5,0,0,0,0,0,1,1,1,7,7,1,1,1,1,1,NA,1,7,4,4,4,4,4
"s5942",1,2,5,3,3,3,3,5.25,6,2,0,1,0,0,1,23,"ff","bw",0,1,1,2.33333333333333,7,1.8,1,NA,NA,NA,NA,1,5,1,5,2,1,0,5,1,1,7,7,1,1,1,1,1,1,6,6,6,6,5,5,5
"s5942",2,2,5,3,3,3,3,5.25,6,2,0,1,0,0,1,23,"ff","bw",0,1,1,3,6,3,1,4,3,3,3.33333333333333,1,5,3,3,3,3,3,6,1,2,6,6,1,1,1,1,1,1,6,6,6,6,5,5,5
"s5942",3,2,5,3,3,3,3,5.25,6,2,0,1,0,0,1,23,"ff","bw",0,1,1,3,6,0.6,2,3,4,3,3.33333333333333,1,5,0,1,1,0,1,5,2,2,6,6,2,2,2,2,2,NA,6,6,6,6,5,5,5
"s5966",1,2,5,5,3,3,3,5,3,18,0,0,1,0,1,13,"mf","bw",0,1,1,2,4.5,0.4,2.8,NA,NA,NA,NA,2,6,0,1,0,0,1,4,1,1,4,5,2,3,3,3,3,3,4,3,2,5,6,5,4
"s5966",2,2,5,5,3,3,3,5,3,18,0,0,1,0,1,13,"mf","bw",0,1,1,2,3.5,2,2,4,3,3,3.33333333333333,2,6,2,2,2,2,2,3,1,2,3,4,2,2,2,2,2,3,4,3,2,5,6,5,4
"s5966",3,2,5,5,3,3,3,5,3,18,0,0,1,0,1,13,"mf","bw",0,1,1,3,3,1,1,4,4,4,4,2,6,0,2,0,1,2,5,2,2,3,3,1,1,1,1,1,NA,4,3,2,5,6,5,4
"s6084",1,2,5,4,4,3,2,3,3,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,4,5,0.8,1,NA,NA,NA,NA,3,4,1,0,0,0,3,3,3,6,5,5,1,1,1,1,1,1,3,3,3,3,3,3,3
"s6084",2,2,5,4,4,3,2,3,3,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,6.66666666666667,2.5,2.4,3,4,4,4,4,3,4,3,3,1,2,3,6,7,7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"s6084",3,2,5,4,4,3,2,3,3,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,7,3,1.6,3,4,3,5,4,3,4,2,2,2,0,2,7,7,7,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3
"s6212",1,2,4,4,0,3,2,4,4.66666666666667,3,0,NA,NA,NA,1,49,"mf","bw",0,1,1,1,5.5,4.2,1,NA,NA,NA,NA,NA,5,0,6,3,6,6,1,1,1,4,7,1,1,1,1,1,1,4,6,4,4,4,4,4
"s6212",2,2,4,4,0,3,2,4,4.66666666666667,3,0,NA,NA,NA,1,49,"mf","bw",0,1,1,1,7,4.8,1,5,5,5,5,NA,5,0,6,6,6,6,1,1,1,7,7,1,1,1,1,1,1,4,6,4,4,4,4,4
"s6212",3,2,4,4,0,3,2,4,4.66666666666667,3,0,NA,NA,NA,1,49,"mf","bw",0,1,1,3,4,5.2,1,5,4,4,4.33333333333333,NA,5,5,6,4,5,6,4,1,4,4,4,1,1,1,1,1,NA,4,6,4,4,4,4,4
"s6318",1,2,5,4,3,2,1,5,1,19,0,0,0,1,1,9,"mf","ww",0,0,0,2.33333333333333,6.5,4.2,6,NA,NA,NA,NA,5,5,0,6,3,6,6,1,1,5,7,6,6,6,6,6,6,6,1,1,1,1,7,6,6
"s6318",2,2,5,4,3,2,1,5,1,19,0,0,0,1,1,9,"mf","ww",0,0,0,3,4,6,1,5,4,4,4.33333333333333,5,5,6,6,6,6,6,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,7,6,6
"s6318",3,2,5,4,3,2,1,5,1,19,0,0,0,1,1,9,"mf","ww",0,0,0,7,4,5.6,7,5,3,2,3.33333333333333,5,5,6,6,6,4,6,7,7,7,7,1,7,7,7,7,7,NA,1,1,1,1,7,6,6
"s6441",1,2,4,3,2,1,1,4.25,5.66666666666667,2,0,1,0,1,1,38,"mf","bw",0,0,0,4.33333333333333,4.5,2.8,3.6,NA,NA,NA,NA,1,6,1,6,0,1,6,5,3,5,3,6,6,3,3,3,3,6,5,6,6,5,4,3,5
"s6441",2,2,4,3,2,1,1,4.25,5.66666666666667,2,0,1,0,1,1,38,"mf","bw",0,0,0,3.66666666666667,4,2,5.4,3,3,3,3,1,6,2,2,2,2,2,3,3,5,3,5,5,5,5,6,6,1,5,6,6,5,4,3,5
"s6441",3,2,4,3,2,1,1,4.25,5.66666666666667,2,0,1,0,1,1,38,"mf","bw",0,0,0,5.33333333333333,5,2.4,4,3,3,4,3.33333333333333,1,6,2,4,1,3,2,6,5,5,5,5,4,4,4,4,4,NA,5,6,6,5,4,3,5
"s6454",1,2,5,5,2,3,3,5.25,5,8,0,1,0,1,0,55,"mf","bw",0,0,0,1,6,1.2,1,NA,NA,NA,NA,1,3,0,2,1,0,3,1,1,1,6,6,1,1,1,1,1,1,5,5,5,5,7,4,5
"s6454",2,2,5,5,2,3,3,5.25,5,8,0,1,0,1,0,55,"mf","bw",0,0,0,1,6,0,1,2,1,1,1.33333333333333,1,3,0,0,0,0,0,1,1,1,6,6,1,1,1,1,1,1,5,5,5,5,7,4,5
"s6454",3,2,5,5,2,3,3,5.25,5,8,0,1,0,1,0,55,"mf","bw",0,0,0,1,6,0,1,1,1,1,1,1,3,0,0,0,0,0,1,1,1,6,6,1,1,1,1,1,NA,5,5,5,5,7,4,5
"s6509",1,2,4,4,3,2,1,2.25,3,16,1,1,0,1,1,56,"mf","bw",0,1,1,3.66666666666667,6,3,4,NA,NA,NA,NA,1,5,2,6,3,0,4,5,2,4,6,6,4,4,4,4,4,4,3,3,3,3,2,2,2
"s6509",2,2,4,4,3,2,1,2.25,3,16,1,1,0,1,1,56,"mf","bw",0,1,1,4.66666666666667,4,2,5,4,3,3,3.33333333333333,1,5,2,2,2,2,2,5,4,5,3,5,5,5,5,5,5,5,3,3,3,3,2,2,2
"s6509",3,2,4,4,3,2,1,2.25,3,16,1,1,0,1,1,56,"mf","bw",0,1,1,3.66666666666667,6,0,2,5,2,1,2.66666666666667,1,5,0,0,0,0,0,4,2,5,6,6,2,2,2,2,2,NA,3,3,3,3,2,2,2
"s6511",1,2,5,5,2,3,2,5.75,5.33333333333333,24,1,NA,NA,NA,0,34,"mf","bw",0,1,1,3.66666666666667,4,2.8,4,NA,NA,NA,NA,NA,3,2,2,2,4,4,4,3,4,3,5,4,4,4,4,4,4,4,6,6,5,6,6,6
"s6511",2,2,5,5,2,3,2,5.75,5.33333333333333,24,1,NA,NA,NA,0,34,"mf","bw",0,1,1,2.66666666666667,6,3,1,4,4,3,3.66666666666667,NA,3,3,3,3,3,3,4,2,2,6,6,1,1,1,1,1,1,4,6,6,5,6,6,6
"s6511",3,2,5,5,2,3,2,5.75,5.33333333333333,24,1,NA,NA,NA,0,34,"mf","bw",0,1,1,4,5.5,0,1,5,3,3,3.66666666666667,NA,3,0,0,0,0,0,4,4,4,6,5,1,1,1,1,1,NA,4,6,6,5,6,6,6
"s4790",1,2,4,4,4,3,3,5,4.33333333333333,25,0,1,0,1,1,52,"mf","bw",0,0,0,4,5,1.2,3,NA,NA,NA,NA,1,5,0,2,0,0,4,4,4,4,5,5,3,3,3,3,3,3,4,5,4,5,5,5,5
"s4790",2,2,4,4,4,3,3,5,4.33333333333333,25,0,1,0,1,1,52,"mf","bw",0,0,0,4.66666666666667,3.5,2.8,4.4,5,5,3,4.33333333333333,1,5,2,4,0,2,6,5,5,4,3,4,4,4,4,5,5,3,4,5,4,5,5,5,5
"s4790",3,2,4,4,4,3,3,5,4.33333333333333,25,0,1,0,1,1,52,"mf","bw",0,0,0,4,5.5,0.6,1,4,4,4,4,1,5,0,2,0,0,1,4,4,4,5,6,1,1,1,1,1,NA,4,5,4,5,5,5,5
