column,Definition,wave,level_of_analysis,section
Cmomhome4,=1 if child's mom at home,4,person,mother basic info
Cmomwhynot0,why doesn't mother live in HH?,0,person,mother basic info
Cmomwhynot1,why doesn't mother live in HH?,1,person,mother basic info
Cmomwhynot2,why doesn't mother live in HH?,2,person,mother basic info
Cmomwhynot3,why doesn't mother live in HH?,3,person,mother basic info
Cmomwhynot4,why doesn't mother live in HH?,4,person,mother basic info
Cmomdead0,=1 if mom died,0,person,mother basic info
Cmomdead1,=1 if mom died,1,person,mother basic info
Cmomdead2,=1 if mom died,2,person,mother basic info
Cmomdead3,=1 if mom died,3,person,mother basic info
Cmomdead4,=1 if mom died,4,person,mother basic info
Cmommig0,=1 if mom migrated,0,person,mother basic info
Cmommig1,=1 if mom migrated,1,person,mother basic info
Cmommig2,=1 if mom migrated,2,person,mother basic info
Cmommig3,=1 if mom migrated,3,person,mother basic info
Cmommig4,=1 if mom migrated,4,person,mother basic info
Cmomyrleft0,year mother stop living in HH-either left or died,0,person,mother basic info
Cmomyrleft1,year mother stop living in HH-either left or died,1,person,mother basic info
Cmomyrleft2,year mother stop living in HH-either left or died,2,person,mother basic info
Cmomyrleft3,year mother stop living in HH-either left or died,3,person,mother basic info
Cmomyrleft4,year mother stop living in HH-either left or died,4,person,mother basic info
Medyrs0,mother’s education in years,0,person,mother basic info
Medyrs1,mother’s education in years,1,person,mother basic info
Medyrs2,mother’s education in years,2,person,mother basic info
Medyrs3,mother’s education in years,3,person,mother basic info
Medyrs4,mother’s education in years,4,person,mother basic info
Medcat0,mother’s education category,0,person,mother basic info
Medcat1,mother’s education category,1,person,mother basic info
Medcat2,mother’s education category,2,person,mother basic info
Mage0,mother's age,0,person,mother basic info
Mage1,mother's age,1,person,mother basic info
Mage2,mother's age,2,person,mother basic info
Mage3,mother's age,3,person,mother basic info
Mage4,mother's age,4,person,mother basic info
Mmrd0,mother's marital status,0,person,mother basic info
Mmrd1,mother's marital status,1,person,mother basic info
Mmrd2,mother's marital status,2,person,mother basic info
Mmrd3,mother's marital status,3,person,mother basic info
Mmrd4,mother's marital status,4,person,mother basic info
Mdisable0,=1 if mother has a disability,0,person,mother basic info
Mlanguage3,what language or languages does mother speak,3,person,mother basic info
Mlanguage4,what language or languages does mother speak,4,person,mother basic info
Mlit0,mother’s literacy,0,person,mother basic info
Mrace1,mother’s race,1,person,mother basic info
Mrace2,mother’s race,2,person,mother basic info
Mrace3,mother’s race,3,person,mother basic info
Mrace4,mother’s race,4,person,mother basic info
Mworkpay1,=1 if mother earned money working at a job in last week,1,person,mother basic info
Mworkpay2,=1 if mother earned money working at a job in last week,2,person,mother basic info
Mworkpay3,=1 if mother earned money working at a job in last week,3,person,mother basic info
Mworkpay4,=1 if mother earned money working at a job in last week,4,person,mother basic info
Mpayhrs1,hours mother worked at paying job in last week,1,person,mother basic info
Mpayhrs2,hours mother worked at paying job in last week,2,person,mother basic info
Mpayhrs3,hours mother worked at paying job in last week,3,person,mother basic info
Mpayhrs4,hours mother worked at paying job in last week,4,person,mother basic info
Mworknopay1,=1 if mother worked/volunteered at non-paying job/activity in last week,1,person,mother basic info
Mworknopay2,=1 if mother worked/volunteered at non-paying job/activity in last week,2,person,mother basic info
Mnopayhrs1,hours mother worked at non-paying job/activity in last week,1,person,mother basic info
Mnopayhrs2,hours mother worked at non-paying job/activity in last week,2,person,mother basic info
Cdadhome0,=1 if child's father at home,0,person,father basic info
Cdadhome1,=1 if child's father at home,1,person,father basic info
Cdadhome2,=1 if child's father at home,2,person,father basic info
Cdadhome3,=1 if child's father at home,3,person,father basic info
Cdadwhynot0,why doesn't father live in HH?,0,person,father basic info
Cdadwhynot1,why doesn't father live in HH?,1,person,father basic info
Cdadwhynot2,why doesn't father live in HH?,2,person,father basic info
Cdaddead0,=1 if father died,0,person,father basic info
Cdaddead1,=1 if father died,1,person,father basic info
Cdaddead2,=1 if father died,2,person,father basic info
Cdadmig0,=1 if father migrated,0,person,father basic info
Cdadmig1,=1 if father migrated,1,person,father basic info
Cdadmig2,=1 if father migrated,2,person,father basic info
Cdadyrleft0,In which year did father stop living in HH-either left or died,0,person,father basic info
Cdadyrleft1,In which year did father stop living in HH-either left or died,1,person,father basic info
Cdadyrleft2,In which year did father stop living in HH-either left or died,2,person,father basic info
Cdadedyrs0,father's education in years,0,person,father basic info
Cdadedyrs1,father's education in years,1,person,father basic info
Cdadedyrs2,father's education in years,2,person,father basic info
Cdadedcat0,father's education category,0,person,father basic info
Cdadedcat1,father's education category,1,person,father basic info
Cdadedcat2,father's education category,2,person,father basic info
F0t50,females ages 0-5,0,household,household composition
F0t51,females ages 0-5,1,household,household composition
F0t52,females ages 0-5,2,household,household composition
F6t140,females ages 6-14,0,household,household composition
F6t141,females ages 6-14,1,household,household composition
F6t142,females ages 6-14,2,household,household composition
F15t440,females ages 15-44,0,household,household composition
F15t441,females ages 15-44,1,household,household composition
F15t442,females ages 15-44,2,household,household composition
F45t640,females ages 45-64,0,household,household composition
F45t641,females ages 45-64,1,household,household composition
F45t642,females ages 45-64,2,household,household composition
F65p0,females ages 65+,0,household,household composition
F65p1,females ages 65+,1,household,household composition
F65p2,females ages 65+,2,household,household composition
M0t50,males ages 0-5,0,household,household composition
M0t51,males ages 0-5,1,household,household composition
M0t52,males ages 0-5,2,household,household composition
M6t140,males ages 6-14,0,household,household composition
M6t141,males ages 6-14,1,household,household composition
M6t142,males ages 6-14,2,household,household composition
M15t440,males ages 15-44,0,household,household composition
M15t441,males ages 15-44,1,household,household composition
M15t442,males ages 15-44,2,household,household composition
M45t640,males ages 45-64,0,household,household composition
M45t641,males ages 45-64,1,household,household composition
M45t642,males ages 45-64,2,household,household composition
M65p0,males ages 65+,0,household,household composition
M65p1,males ages 65+,1,household,household composition
M65p2,males ages 65+,2,household,household composition
Hmaxed0,maximum education in household,0,household,household composition
Hmaxed1,maximum education in household,1,household,household composition
Hmaxed2,maximum education in household,2,household,household composition
Hmaxed3,maximum education in household,3,household,household composition
Hmaxed4,maximum education in household,4,household,household composition
Child ,,0,,
Health and vaccinations,,0,,
Chstat0,child's health status,0,person,child health and vaccinations
Chstat1,child's health status,1,person,child health and vaccinations
Chstat2,child's health status,2,person,child health and vaccinations
Cbedday0,=1 if child was in bed last month,0,person,child health and vaccinations
Cbedday1,=1 if child was in bed last month,1,person,child health and vaccinations
Cbedday2,=1 if child was in bed last month,2,person,child health and vaccinations
Cnbeddays0,number of bed days last month,0,person,child health and vaccinations
Cnbeddays1,number of bed days last month,1,person,child health and vaccinations
Cnbeddays2,number of bed days last month,2,person,child health and vaccinations
Chlthcard0,=1 if child has health card,0,person,child health and vaccinations
Chlthcard1,=1 if child has health card,1,person,child health and vaccinations
Canyvac0,=1 if child has received any vaccinations (no hlth card),0,person,child health and vaccinations
Canyvac1,=1 if child has received any vaccinations (no hlth card),1,person,child health and vaccinations
Cnumvac0,number of vaccinations (no hlth card),0,person,child health and vaccinations
Cnumvac1,number of vaccinations (no hlth card),1,person,child health and vaccinations
Cothvac0,=1 if child has vaccines not listed on card,0,person,child health and vaccinations
Cothvac1,=1 if child has vaccines not listed on card,1,person,child health and vaccinations
Cwherevac0,MSP code of where child got most vaccinations,0,person,child health and vaccinations
Cwherevac1,MSP code of where child got most vaccinations,1,person,child health and vaccinations
Chlthins0,child's health insurance,0,person,child health and vaccinations
Chlthins1,child's health insurance,1,person,child health and vaccinations
Chlthins2,child's health insurance,2,person,child health and vaccinations
Chmintravel0,time to get to health center in mins,0,person,child health and vaccinations
Chmintravel1,time to get to health center in mins,1,person,child health and vaccinations
Chmintravel2,time to get to health center in mins,2,person,child health and vaccinations
Chlthvisits0,health visits in last month,0,person,child health and vaccinations
Chlthwhy0,reason for health visit,0,person,child health and vaccinations
Cadjhemo0,child's adjusted hemoglobin level,0,person,child health and vaccinations
Cadjhemo1,child's adjusted hemoglobin level,1,person,child health and vaccinations
Cadjhemo2,child's adjusted hemoglobin level,2,person,child health and vaccinations
Health Booklet ("carnet de salud"),,0,,
Cvac010,date of vaccination for BCG,0,person,child health booklet
Cvac020,date of vaccination for DTP 1a ,0,person,child health booklet
Cvac030,date of vaccination for DTP 2a,0,person,child health booklet
Cvac040,date of vaccination for DTP 3a,0,person,child health booklet
Cvac050,date of vaccination for DTP R ,0,person,child health booklet
Cvac060,date of vaccination for OPV 1a,0,person,child health booklet
Cvac070,date of vaccination for OPV 2a,0,person,child health booklet
Cvac080,date of vaccination for OPV 3a ,0,person,child health booklet
Cvac090,date of vaccination for OPV R/A,0,person,child health booklet
Cvac100,date of vaccination for Antihepatitis B 1a,0,person,child health booklet
Cvac110,date of vaccination for Antihepatitis B 2a ,0,person,child health booklet
Cvac120,date of vaccination for Antihepatitis B 3a,0,person,child health booklet
Cvac130,date of vaccination for SR Dupla viral,0,person,child health booklet
Cvac140,date of vaccination for SRP Triple viral,0,person,child health booklet
Cvac150,date of vaccination for Antiamar,0,person,child health booklet
Cvac160,date of vaccination for Pentavalente 1a,0,person,child health booklet
Cvac170,date of vaccination for Pentavalente 2a ,0,person,child health booklet
Cvac180,date of vaccination for Pentavalente 3a ,0,person,child health booklet
Cvac190,date of vaccination for Sarampionosa,0,person,child health booklet
Cvac200,date of vaccination for other vaccins,0,person,child health booklet
Cvacbcg0,=1 if has BCG vaccine- on health card,0,person,child health booklet
Cvacbcg1,=1 if has BCG vaccine- on health card,1,person,child health booklet
Cvacdpt0,=1 if has DPT/Triple vaccine- on health card,0,person,child health booklet
Cvacdpt1,=1 if has DPT/Triple vaccine- on health card,1,person,child health booklet
Cvachepb0,=1 if has Hepatitis-B vaccine- on health card,0,person,child health booklet
Cvachepb1,=1 if has Hepatitis-B vaccine- on health card,1,person,child health booklet
Cvacmal0,=1 if has anti-malaria on health card,0,person,child health booklet
Cvacmal1,=1 if has anti-malaria on health card,1,person,child health booklet
Cvacsar0,=1 if has SR vaccine- on health card,0,person,child health booklet
Cvacsar1,=1 if has SR vaccine- on health card,1,person,child health booklet
Cvacpolio0,=1 if has Polio/OPV vaccine- on health card,0,person,child health booklet
Cvacpolio1,=1 if has Polio/OPV vaccine- on health card,1,person,child health booklet
Cage01gc0,growth check 1- age in months,0,person,child health booklet
Ckg01gc0,growth check 1- weight in kg,0,person,child health booklet
Health check "Niño Sano",,0,,
Cgrthcont0,=1 if growth check in last 6 months,0,person,child health check
Cgrthcont0,=1 if growth check in last 6 months,0,person,child health check
Cgrthcont0,=1 if growth check in last 6 months,0,person,child health check
Cngrthcont0,number of growth checks in last 6 months,0,person,child health check
Cngrthcont1,number of growth checks in last 6 months,1,person,child health check
Cngrthcont2,number of growth checks in last 6 months,2,person,child health check
Cwheregcont0,where did child received last growth check?,0,person,child health check
Cwheregcont1,where did child received last growth check?,1,person,child health check
Cwheregcont2,where did child received last growth check?,2,person,child health check
Cwhogcont0,who did the growth and development  check?,0,person,child health check
Cgotiron0,=1 if child got iron last 6 months,0,person,child health check
Cgotiron1,=1 if child got iron last 6 months,1,person,child health check
Cgotiron2,=1 if child got iron last 6 months,2,person,child health check
Cnumiron0,number of times child got iron last 6 months,0,person,child health check
Cnumiron1,number of times child got iron last 6 months,1,person,child health check
Cnumiron2,number of times child got iron last 6 months,2,person,child health check
CgotvitA0,=1 if child got Vitamin A last 6 months,0,person,child health check
CgotvitA1,=1 if child got Vitamin A last 6 months,1,person,child health check
CgotvitA2,=1 if child got Vitamin A last 6 months,2,person,child health check
CnumvitA0,number of times child got Vitamin A last 6 months,0,person,child health check
CnumvitA1,number of times child got Vitamin A last 6 months,1,person,child health check
CnumvitA2,number of times child got Vitamin A last 6 months,2,person,child health check
Cfood_bread0,=1 if child ate bread last week,0,person,child nutrition
Cfood_bread1,=1 if child ate bread last week,1,person,child nutrition
Cfood_carrot0,=1 if child ate carrot/squash last week,0,person,child nutrition
Cfood_carrot1,=1 if child ate carrot/squash last week,1,person,child nutrition
Cfood_chard0,=1 if child ate chard/spinach last week,0,person,child nutrition
Cfood_chard1,=1 if child ate chard/spinach last week,1,person,child nutrition
Cfood_citrus0,=1 if child ate citrus last week,0,person,child nutrition
Cfood_citrus1,=1 if child ate citrus last week,1,person,child nutrition
Cfood_cowv0,=1 if child ate cow viscera last week,0,person,child nutrition
Cfood_cowv1,=1 if child ate cow viscera last week,1,person,child nutrition
Cfood_fruit0,=1 if child ate other fruit last week,0,person,child nutrition
Cfood_fruit1,=1 if child ate other fruit last week,1,person,child nutrition
Cfood_liver0,=1 if child ate liver last week,0,person,child nutrition
Cfood_liver1,=1 if child ate liver last week,1,person,child nutrition
Cnfood_fruit0,number of times ate other fruit last week,0,person,child nutrition
Cnfood_fruit1,number of times ate other fruit last week,1,person,child nutrition
Cnfood_liver0,number of times ate liver last week,0,person,child nutrition
Cnfood_liver1,number of times ate liver last week,1,person,child nutrition
Cnfood_bread0,number of times ate bread last week,0,person,child nutrition
Cnfood_bread1,number of times ate bread last week,1,person,child nutrition
Cnfood_carrot0,number of times ate carrot/squash last week,0,person,child nutrition
Cnfood_carrot1,number of times ate carrot/squash last week,1,person,child nutrition
Cnfood_chard0,number of times ate chard/spinach last week,0,person,child nutrition
Cnfood_chard1,number of times ate chard/spinach last week,1,person,child nutrition
Cnfood_citrus0,number of times ate citrus last week,0,person,child nutrition
Cnfood_citrus1,number of times ate citrus last week,1,person,child nutrition
Cnfood_cowv0,number of times ate cow viscera last week,0,person,child nutrition
Cnfood_cowv1,number of times ate cow viscera last week,1,person,child nutrition
Cfood_candy1,=1 if child ate candy last week?,1,person,child nutrition
Cfood_cookie1,=1 if child ate cookie/biscuit/pastry last week?,1,person,child nutrition
Cfood_fried1,=1 if child ate fried foods (eg, french fries) last week?,1,person,child nutrition
Cfood_soda1,=1 if child ate soda/ice cream last week?,1,person,child nutrition
Cnfood_candy1,number of times ate candy last week,1,person,child nutrition
Cnfood_cookie1,number of times ate cookie/biscuit/pastry last week,1,person,child nutrition
Cnfood_fried1,number of times ate fried foods (eg, french fries) last,1,person,child nutrition
Cnfood_soda1,number of times ate soda/ice cream last week,1,person,child nutrition
Cbfed0,=1 if child was breastfed,0,person,child breastfeeding
Cbfed1,=1 if child was breastfed,1,person,child breastfeeding
CbfedWN0,why was child not breast fed?,0,person,child breastfeeding
Cbfedcurr0,=1 if child is currently breastfed,0,person,child breastfeeding
Cbfedcurr1,=1 if child is currently breastfed,1,person,child breastfeeding
Cbfedmonths0,number of months child was breastfed,0,person,child breastfeeding
Cbfedmonths1,number of months child was breastfed,1,person,child breastfeeding
Cbfedlstnite0,number of times child was breastfed last night,0,person,child breastfeeding
Cbfedsugar0,=1 if sugar was used in bottle (if bfed),0,person,child breastfeeding
Cbfedsolids0,=1 if child was fed solids (if bfed),0,person,child breastfeeding
Respiratory Track Infections,,0,,
Cresp0,=1 if child had fever/cough last 2 weeks,0,person,child respiratory track infections
Cresp1,=1 if child had fever/cough last 2 weeks,1,person,child respiratory track infections
Cresp2,=1 if child had fever/cough last 2 weeks,2,person,child respiratory track infections
Cnresp0,number of days with fever/cough last 2 weeks,0,person,child respiratory track infections
Cnresp1,number of days with fever/cough last 2 weeks,1,person,child respiratory track infections
Cnresp2,number of days with fever/cough last 2 weeks,2,person,child respiratory track infections
Cresptreat0,=1 if child’s fever/cough was treated,0,person,child respiratory track infections
Cresptreat1,=1 if child’s fever/cough was treated,1,person,child respiratory track infections
CrespWN0,why was there no treatment for fever/cough?,0,person,child respiratory track infections
CrespWN1,why was there no treatment for fever/cough?,1,person,child respiratory track infections
Crespwhere0,where got treatment/advice, fever cough?,0,person,child respiratory track infections
Crespwhere1,where got treatment/advice, fever cough?,1,person,child respiratory track infections
Acute diarrheal diseases,,0,,
Cdiar0,=1 if child got diarrhea in last 2 weeks,0,person,child acute diarrheal diseases
Cdiar1,=1 if child got diarrhea in last 2 weeks,1,person,child acute diarrheal diseases
Cdiar2,=1 if child got diarrhea in last 2 weeks,2,person,child acute diarrheal diseases
Cndiar0,number of days child had diarrhea in last 2 weeks,0,person,child acute diarrheal diseases
Cndiar1,number of days child had diarrhea in last 2 weeks,1,person,child acute diarrheal diseases
Cndiar2,number of days child had diarrhea in last 2 weeks,2,person,child acute diarrheal diseases
Cdiartreat0,=1 if diarrhea was treated,0,person,child acute diarrheal diseases
Cdiartreat1,=1 if diarrhea was treated,1,person,child acute diarrheal diseases
Cdiarwhere0,where did child get treatment/advice for diarrhea?,0,person,child acute diarrheal diseases
Cdiarwhere1,where did child get treatment/advice for diarrhea?,1,person,child acute diarrheal diseases
CdiarWN0,why didn’t child get treated for diarrhea?,0,person,child acute diarrheal diseases
Cdiar_IVfluids0,=1 if child got IV fluids during diarrhea,0,person,child acute diarrheal diseases
Cdiar_ORT0,=1 if child got oral rehydration treatment during diarrhea,0,person,child acute diarrheal diseases
Cdiar_antib0,=1 if child got antibiotics during diarrhea,0,person,child acute diarrheal diseases
Cdiar_dryskin0,=1 if child got dry skin while had diarrhea,0,person,child acute diarrheal diseases
Cdiar_homemade0,=1 if child got homemade ORT treatment during diarrhea,0,person,child acute diarrheal diseases
Cdiar_liquids0,=1 if child got liquids during diarrhea,0,person,child acute diarrheal diseases
Cdiar_liquids1,=1 if child got liquids during diarrhea,1,person,child acute diarrheal diseases
Cdiar_pedialyte0,=1 if child got pedialyte during diarrhea,0,person,child acute diarrheal diseases
Cdiar_solids0,=1 if child got food during diarrhea,0,person,child acute diarrheal diseases
Cdiar_syrup0,=1 if child got syrup or pills during diarrhea,0,person,child acute diarrheal diseases
Cdiar_teajuice0,=1 if child got herbal tea or juice during diarrhea,0,person,child acute diarrheal diseases
Hospitalization,,0,,child hospitalization
Chosp0,was hospitalized last year?,0,person,child hospitalization
Chosp1,was hospitalized last year?,1,person,child hospitalization
Cnhosp0,number of days hospitalized,0,person,child hospitalization
Cnhosp1,number of days hospitalized,1,person,child hospitalization
Ccond_asthma0,=1 if child has asthma,0,person,child hospitalization
Ccond_asthma1,=1 if child has asthma,1,person,child hospitalization
Ccond_bronc0,=1 if child has bronchitis,0,person,child hospitalization
Ccond_bronc1,=1 if child has bronchitis,1,person,child hospitalization
Ccond_bronc2,=1 if child has bronchitis,2,person,child hospitalization
Ccond_diab0,=1 if child has diabetes,0,person,child hospitalization
Ccond_diab1,=1 if child has diabetes,1,person,child hospitalization
Ccond_headach2,=1 if child has diabetes,2,person,child hospitalization
Ccond_epilep0,=1 if child has epilepsy,0,person,child hospitalization
Ccond_epilep1,=1 if child has epilepsy,1,person,child hospitalization
Ccond_headach0,=1 if child has headaches,0,person,child hospitalization
Ccond_headach1,=1 if child has headaches,1,person,child hospitalization
Ccond_hearing0,=1 if child has hearings problems,0,person,child hospitalization
Ccond_hearing1,=1 if child has hearings problems,1,person,child hospitalization
Ccond_hearing2,=1 if child has hearings problems,2,person,child hospitalization
Ccond_heart0,=1 if child has heart problems,0,person,child hospitalization
Ccond_heart1,=1 if child has heart problems,1,person,child hospitalization
Ccond_retard0,=1 if child has intellectual disability,0,person,child hospitalization
Ccond_retard1,=1 if child has intellectual disability,1,person,child hospitalization
Ccond_sight0,=1 if child has sight problems,0,person,child hospitalization
Ccond_sight1,=1 if child has sight problems,1,person,child hospitalization
Ccond_sight2,=1 if child has sight problems,2,person,child hospitalization
Ccond_sight3,=1 if child has sight problems,3,person,child hospitalization
Ccond_sinus0,=1 if child has sinusitis,0,person,child hospitalization
CMP0,=1 receive food supplement last 3 months?,0,person,child social programs
