anio,edad,pais,departamento,region,ciudad,genero,estadocivil,hogar,hijos,educacion,actividad,q10,q11,q12,q13,q14,q15r1,q15r2,q15r3,q15r4,q16r1,q16r2,q16r3,q17,tratamiento,q18,q19,q20,q21,q22r1,q22r2,q22r3,q23r1,q23r2,q23r3,q23r4,q23r5,q23r6,q23r7,q23r8,q24r1,q24r2,q24r3,q24r4,q24r5,q25a1,q25a2,q25a3,q25a4,q25a5,q25a6,q25a7,q25a8,q25a9,q25a1d
1958,50 a 64 años,México,Tamaulipas,Norte,Reynosa,Masculino,Casado(a) / Unión Civil,3,Sí,Terciaria/Universitaria completa o más,Jubilado(a) / pensionado(a),2,Sí,No,8,Entre 11.300 y 16.400,,,,,De acuerdo,Algo de acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Emotivo,Entre 5 y 10,Menos de 5 personas,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,,,,,,
1970,50 a 64 años,México,Baja California,Pacífico,Tijuana,Femenino,Casado(a) / Unión Civil,4,Sí,Media completa,Desempleado(a) y buscando trabajo,2,No,No,3,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Entre 10 y 20,Entre 10 y 20,Algo de acuerdo,Una organización que protege el medio ambiente.,Depende,Depende,Depende,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,
1940,Más de 65 años,México,Distrito Federal,Centro,"Zapopan, Jal.",Femenino,Soltero(a),1,Sí,Básica completa,Jubilado(a) / pensionado(a),3,No,Sí,7,Entre 16.400 y 25.100,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Informativo,Entre 5 y 10,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Bueno,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,No sabe / Prefiere no contestar,En desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
2001,18 a 29 años,México,Sinaloa,Pacífico,Culiacán,Femenino,Soltero(a),5,Sí,Básica incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,No,No sabe / Prefiere no contestar,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Placebo,Más de 30,Entre 5 y 10,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Los veo trabajando en las calles"
1962,50 a 64 años,México,Oaxaca,Sur,soledad etla,Masculino,Casado(a) / Unión Civil,5,Sí,Terciaria/Universitaria incompleta,"Negocio propio, independiente o por cuenta propia",3,No,No,2,Entre 0 y 7.300,,,,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Falta de esfuerzo por su parte,Emotivo,Más de 30,Más de 30,De acuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Bueno,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi",,,"Si, como mis vecinos",,,,
1967,50 a 64 años,México,México,Centro,Mexico,Masculino,Casado(a) / Unión Civil,3,Sí,Básica completa,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,10 - Derecha,Entre 0 y 7.300,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Emotivo,Entre 5 y 10,No sabe / Prefiere no contestar,De acuerdo,No donaría a nadie.,No sabe / Prefiere no contestar,Depende,Malo,No sabe / Prefiere no contestar,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1962,50 a 64 años,México,Baja California,Pacífico,Mexicali,Femenino,Separado(a) / Divorciado(a) / Viudo(a),2,Sí,Terciaria/Universitaria completa o más,A cargo de las tareas del hogar/ crianza de los hijos,3,No,No,8,Entre 7.300 y 11.300,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Emotivo,Entre 5 y 10,Entre 10 y 20,No sabe / Prefiere no contestar,Una organización que ayuda a las personas pobres.,Depende,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1965,50 a 64 años,México,Oaxaca,Sur,Oaxaca de Juárez,Masculino,Casado(a) / Unión Civil,6,Sí,Media completa,"Negocio propio, independiente o por cuenta propia",3,No,No,10 - Derecha,Entre 16.400 y 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Informativo,Entre 5 y 10,Más de 30,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1991,30 a 49 años,México,México,Centro,Ecatepec de Morelos,Masculino,Soltero(a),3,No,Media completa,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,Placebo,Entre 10 y 20,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas migrantes.,Bueno,Bueno,Depende,De acuerdo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1972,30 a 49 años,México,Guanajuato,Norte,Celaya,Femenino,Soltero(a),2,No,Terciaria/Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Falta de esfuerzo por su parte,Placebo,Entre 10 y 20,Menos de 5 personas,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,,Prefiere no contestar,
1987,30 a 49 años,México,Jalisco,Pacífico,Jalisco,Masculino,Soltero(a),3,No,Media completa,Desempleado(a) y buscando trabajo,2,No,No,No sabe / Prefiere no contestar,No sabe / No contesta,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Entre 10 y 20,Más de 30,De acuerdo,Una organización que ayuda a las personas migrantes.,Depende,Bueno,Depende,No sabe / Prefiere no contestar,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No sabe / Prefiere no contestar,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,,Prefiere no contestar,
1952,Más de 65 años,México,Distrito Federal,Centro,Ciudad de México.,Femenino,Separado(a) / Divorciado(a) / Viudo(a),1,Sí,Media completa,Jubilado(a) / pensionado(a),3,Sí,Sí,No sabe / Prefiere no contestar,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Placebo,No sabe / Prefiere no contestar,Entre 20 y 30,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,,,,,,,,Ninguna relación,,
1973,30 a 49 años,México,Yucatán,Sur,Mérida,Masculino,Casado(a) / Unión Civil,3,Sí,Terciaria/Universitaria completa o más,Desempleado(a) y buscando trabajo,3,No,No,9,Entre 16.400 y 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,De acuerdo,Circunstancias fuera de su control,Informativo,Menos de 5,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,No sabe / Prefiere no contestar,Depende,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,
1965,50 a 64 años,México,México,Centro,Escapisalco. .arenal,Femenino,Separado(a) / Divorciado(a) / Viudo(a),4,Sí,Ninguno,Empleado(a) de tiempo completo (8 horas por día o más),3,Sí,Sí,No sabe / Prefiere no contestar,Entre 0 y 7.300,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,En desacuerdo,Falta de esfuerzo por su parte,Informativo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Una organización que ayuda a las personas pobres.,Depende,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,En desacuerdo,En desacuerdo,De acuerdo,No sabe / Prefiere no contestar,De acuerdo,En desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,,,,,,,,Ninguna relación,,
1943,Más de 65 años,México,Guerrero,Pacífico,ACAPULCO DE JUÁREZ,Masculino,Casado(a) / Unión Civil,2,Sí,Terciaria/Universitaria completa o más,Jubilado(a) / pensionado(a),2,Sí,Sí,7,Entre 0 y 7.300,No los tendría como vecinos,No los tendría como vecinos,No los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Placebo,Entre 5 y 10,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Depende,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1980,30 a 49 años,México,Jalisco,Pacífico,Guadalajara,Femenino,Soltero(a),7,No,Básica completa,Desempleado(a) y buscando trabajo,3,No,No,3,Entre 0 y 7.300,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Más de 30,Entre 10 y 20,De acuerdo,Una organización que ayuda a las personas pobres.,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,Algo en desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,
1981,30 a 49 años,México,Distrito Federal,Centro,Ciudad de México,Masculino,Soltero(a),1,No,Terciaria/Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),3,No,No,5,Entre 7.300 y 11.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Falta de esfuerzo por su parte,Placebo,Menos de 5,Entre 5 y 10,Algo de acuerdo,Una organización que protege el medio ambiente.,Bueno,Bueno,Depende,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,
1960,50 a 64 años,México,Guanajuato,Norte,León,Masculino,Casado(a) / Unión Civil,2,Sí,Media completa,"Negocio propio, independiente o por cuenta propia",3,No,No,7,Entre 11.300 y 16.400,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Placebo,Entre 5 y 10,Entre 5 y 10,De acuerdo,No sabe / Prefiere no contestar,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,"Si, otro",,,"[Si, otro ]Los veo por mi ciudad"
1957,50 a 64 años,México,Nuevo León,Norte,Monterrey,Masculino,Casado(a) / Unión Civil,3,Sí,Terciaria/Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",3,No,No,8,Más de 25.100,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Placebo,Entre 10 y 20,Entre 20 y 30,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Depende,No sabe / Prefiere no contestar,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,
1955,Más de 65 años,México,Nayarit,Pacífico,Tepic,Femenino,Casado(a) / Unión Civil,3,Sí,Media completa,Jubilado(a) / pensionado(a),3,No,No,8,Entre 7.300 y 11.300,Los tendría como vecinos,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Circunstancias fuera de su control,Emotivo,Menos de 5,Menos de 5 personas,De acuerdo,Una organización que defiende los derechos de las mujeres.,Malo,Depende,Depende,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,En desacuerdo,Algo en desacuerdo,,,,,,,,,Prefiere no contestar,
1954,Más de 65 años,México,Veracruz,Sur,Tierra Blanca,Masculino,Casado(a) / Unión Civil,2,Sí,Terciaria/Universitaria incompleta,Jubilado(a) / pensionado(a),3,No,No,4,Entre 16.400 y 25.100,,,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Informativo,Entre 5 y 10,Entre 5 y 10,De acuerdo,No sabe / Prefiere no contestar,Bueno,Depende,Bueno,De acuerdo,De acuerdo,En desacuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,,,,,,,,Ninguna relación,,
1970,50 a 64 años,México,Tamaulipas,Norte,Matamoros Tamaulipas,Masculino,Casado(a) / Unión Civil,6,Sí,Media completa,Desempleado(a) y buscando trabajo,2,Sí,No,4,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Emotivo,Menos de 5,Entre 10 y 20,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
1948,Más de 65 años,México,Jalisco,Pacífico,Guadalajara,Masculino,Casado(a) / Unión Civil,2,Sí,Terciaria/Universitaria incompleta,Desempleado(a) y buscando trabajo,2,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,7,Entre 0 y 7.300,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Emotivo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Una organización que protege el medio ambiente.,Depende,Depende,Depende,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,No sabe / Prefiere no contestar,En desacuerdo,No sabe / Prefiere no contestar,De acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,
