Rank	Time	Wind	Name	Country	Birthdate	City	Date
79	10.79	-0.2	Marie-Jos&eacute;e Ta Lou	CIV	18.11.88	Tokyo	31.07.2021
79	10.79	-0.2	Shericka Jackson	JAM	16.07.94	Tokyo	31.07.2021
90	10.80	+1.6	Merlene Ottey	JAM	10.05.60	Salamanca	13.07.1992
90	10.80	-0.8	Marion Jones	USA	12.10.75	Bruxelles	28.08.1998
90	10.80	+1.1	Marion Jones	USA	12.10.75	Lausanne	02.07.1999
90	10.80	+1.4	Marion Jones	USA	12.10.75	London	07.08.1999
90	10.80	+0.7	Kerron Stewart	JAM	16.04.84	Kingston	28.06.2008
90	10.80	+0.8	Tori Bowie	USA	27.08.90	Monaco	18.07.2014
90	10.80	+0.2	Blessing Okagbare	NGR	09.10.88	Saint-Denis	04.07.2015
90	10.80	+0.7	Tori Bowie	USA	27.08.90	Ad-Dawhah	06.05.2016
90	10.80	-0.2	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Ad-Dawhah	28.09.2019
99	10.81	+1.7	Marlies G&ouml;hr	GDR	21.03.58	Berlin	08.06.1983
99	10.81	+1.2	Evelyn Ashford	USA	15.04.57	Indianapolis	17.07.1988
99	10.81	+0.8	Marion Jones	USA	12.10.75	Berlin	26.08.1997
99	10.81	+1.3	Christine Arron	FRA	13.09.73	Budapest	19.08.1998
99	10.81	+0.2	Marion Jones	USA	12.10.75	Berlin	01.09.1998
99	10.81	+0.1	Inger Miller	USA	12.06.72	Sevilla	22.08.1999
99	10.81	+1.0	Carmelita Jeter	USA	24.11.79	Kingston	05.05.2012
99	10.81	+1.5	Veronica Campbell-Brown	JAM	16.05.82	London	04.08.2012
99	10.81	+0.7	Carmelita Jeter	USA	24.11.79	Birmingham	26.08.2012
99	10.81	+1.7	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Eugene	30.05.2015
99	10.81	+1.7	Murielle Ahour&eacute;	CIV	23.08.87	Eugene	30.05.2015
99	10.81	+1.2	Tori Bowie	USA	27.08.90	Eugene	26.06.2015
99	10.81	-0.3	Dafne Schippers	NED	15.06.92	Beijing	24.08.2015
99	10.81	+1.5	English Gardner	USA	22.04.92	Eugene	28.05.2016
99	10.81	-0.4	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Ad-Dawhah	29.09.2019
114	10.82	+1.4	Merlene Ottey	JAM	10.05.60	Berlin	17.08.1990
114	10.82	+2.0	Irina Privalova	RUS	12.11.68	Moskva	22.06.1992
114	10.82	-1.0	Gail Devers	USA	19.11.66	Barcelona	01.08.1992
114	10.82	+1.5	Gail Devers	USA	19.11.66	Lausanne	07.07.1993
114	10.82	-0.3	Gail Devers	USA	19.11.66	Stuttgart	16.08.1993
114	10.82	-0.3	Merlene Ottey	JAM	10.05.60	Stuttgart	16.08.1993
114	10.82	+0.4	Gwen Torrence	USA	12.06.65	Paris	03.09.1994
114	10.82	+1.1	Gwen Torrence	USA	12.06.65	Atlanta	15.06.1996
114	10.82	-0.5	Marion Jones	USA	12.10.75	Oslo	09.07.1998
114	10.82	-0.3	Zhanna Block	UKR	06.07.72	Edmonton	06.08.2001
114	10.82	-0.7	Sherone Simpson	JAM	12.08.84	Kingston	24.06.2006
114	10.82	+0.4	Carmelita Jeter	USA	24.11.79	Monaco	22.07.2010
114	10.82	+0.6	Veronica Campbell-Brown	JAM	16.05.82	Kingston	29.06.2012
114	10.82	+1.7	Tori Bowie	USA	27.08.90	Eugene	30.05.2015
114	10.82	+0.5	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Beijing	24.08.2015
114	10.82	+0.9	Michelle-Lee Ahye	TTO	10.04.92	Port of Spain	24.06.2017
114	10.82	+1.1	Elaine Thompson-Herah	JAM	28.06.92	Kingston	25.06.2021
114	10.82	+1.0	Shericka Jackson	JAM	16.07.94	Kingston	25.06.2021
114	10.82	+0.6	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Sz&eacute;kesfeh&eacute;rv&aacute;r	06.07.2021
114	10.82	+0.1	Elaine Thompson-Herah	JAM	28.06.92	Tokyo	30.07.2021
134	10.83	+1.7	Marita Koch	GDR	18.02.57	Berlin	08.06.1983
134	10.83	0.0	Sheila Echols	USA	02.10.64	Indianapolis	16.07.1988
134	10.83	-1.0	Juliet Cuthbert	JAM	09.04.64	Barcelona	01.08.1992
134	10.83	0.0	Gwen Torrence	USA	12.06.65	Bruxelles	19.08.1994
134	10.83	+1.3	Gail Devers	USA	19.11.66	Milano	07.09.1996
134	10.83	+0.4	Marion Jones	USA	12.10.75	Ath&iacute;nai	03.08.1997
134	10.83	+0.9	Merlene Ottey	JAM	10.05.60	Bruxelles	22.08.1997
134	10.83	-0.4	Merlene Ottey	JAM	10.05.60	Tokyo	06.09.1997
134	10.83	+2.0	Irina Privalova	RUS	12.11.68	Budapest	19.08.1998
134	10.83	+0.4	Marion Jones	USA	12.10.75	Moskva	05.09.1998
134	10.83	-0.1	Marion Jones	USA	12.10.75	Sevilla	22.08.1999
134	10.83	+0.1	Ekater&iacute;ni Th&aacute;nou	GRE	01.02.75	Sevilla	22.08.1999
134	10.83	-1.3	Marion Jones	USA	12.10.75	Bruxelles	25.08.2000
134	10.83	+0.4	Zhanna Block	UKR	06.07.72	Heusden-Zolder	20.07.2002
134	10.83	-0.1	Carmelita Jeter	USA	24.11.79	Berlin	17.08.2009
134	10.83	-0.4	Carmelita Jeter	USA	24.11.79	Daegu	25.09.2009
134	10.83	+0.8	Carmelita Jeter	USA	24.11.79	Eugene	03.07.2010
134	10.83	+1.5	Carmelita Jeter	USA	24.11.79	London	03.08.2012
134	10.83	0.0	Carmelita Jeter	USA	24.11.79	London	04.08.2012
134	10.83	-0.4	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Z&uuml;rich	30.08.2012
134	10.83	+1.6	Kelly-Ann Baptiste	TTO	14.10.86	Port of Spain	22.06.2013
134	10.83	-0.2	Dafne Schippers	NED	15.06.92	Beijing	24.08.2015
134	10.83	+0.7	Dafne Schippers	NED	15.06.92	Ad-Dawhah	06.05.2016
134	10.83	+1.6	Veronica Campbell-Brown	JAM	16.05.82	Montverde	11.06.2016
134	10.83	+0.5	Tori Bowie	USA	27.08.90	Rio de Janeiro	13.08.2016
134	10.83	+1.1	Murielle Ahour&eacute;	CIV	23.08.87	Montverde	10.06.2017
134	10.83	+0.1	Dina Asher-Smith	GBR	04.12.95	Ad-Dawhah	29.09.2019
134	10.83	+0.9	Teahna Daniels	USA	25.03.97	Eugene	21.08.2021
162	10.84	+1.7	Marlies G&ouml;hr	GDR	21.03.58	Z&uuml;rich	22.08.1984
162	10.84	0.0	Merlene Ottey	JAM	10.05.60	Lausanne	10.07.1991
162	10.84	+0.2	Merlene Ottey	JAM	10.05.60	Berlin	10.09.1991
162	10.84	+1.3	Chioma Ajunwa	NGR	25.12.70	Lagos	11.04.1992
162	10.84	-1.0	Irina Privalova	RUS	12.11.68	Barcelona	01.08.1992
162	10.84	+1.4	Gwen Torrence	USA	12.06.65	G&ouml;teborg	07.08.1995
162	10.84	-0.5	Gail Devers	USA	19.11.66	Bruxelles	23.08.1996
162	10.84	+0.3	Marion Jones	USA	12.10.75	Linz	05.07.1998
162	10.84	-0.1	Ekater&iacute;ni Th&aacute;nou	GRE	01.02.75	Sevilla	22.08.1999
162	10.84	-0.7	Marion Jones	USA	12.10.75	Osaka	13.05.2000
162	10.84	+0.6	Zhanna Block	UKR	06.07.72	R&eacute;thymno	07.07.2002
162	10.84	+1.9	Chandra Sturrup	BAH	12.09.71	Lausanne	05.07.2005
162	10.84	-0.1	Kerron Stewart	JAM	16.04.84	Berlin	17.08.2009
162	10.84	+1.8	Kelly-Ann Baptiste	TTO	14.10.86	Clermont	05.06.2010
162	10.84	+0.3	Veronica Campbell-Brown	JAM	16.05.82	Kingston	24.06.2011
162	10.84	+1.5	English Gardner	USA	22.04.92	Eugene	30.05.2015
162	10.84	+1.5	Elaine Thompson-Herah	JAM	28.06.92	Eugene	30.05.2015
162	10.84	+1.4	Kelly-Ann Baptiste	TTO	14.10.86	Port of Spain	27.06.2015
162	10.84	+1.1	Veronica Campbell-Brown	JAM	16.05.82	Montverde	10.06.2017
162	10.84	-0.2	Elaine Thompson-Herah	JAM	28.06.92	London	06.08.2017
162	10.84	+1.1	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Ad-Dawhah	28.05.2021
162	10.84	+1.1	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	25.06.2021
162	10.84	+1.0	Elaine Thompson-Herah	JAM	28.06.92	Kingston	25.06.2021
162	10.84	+1.3	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Tokyo	30.07.2021
186	10.85	+1.6	Evelyn Ashford	USA	15.04.57	Indianapolis	17.07.1988
186	10.85	+2.0	Anelia Nuneva	BUL	30.06.62	Sofia	02.09.1988
186	10.85	+1.5	Merlene Ottey	JAM	10.05.60	Rieti	09.09.1990
186	10.85	+0.9	Gwen Torrence	USA	12.06.65	Lausanne	06.07.1994
186	10.85	+0.9	Gwen Torrence	USA	12.06.65	G&ouml;teborg	07.08.1995
186	10.85	+1.4	Merlene Ottey	JAM	10.05.60	G&ouml;teborg	07.08.1995
186	10.85	+1.6	Gwen Torrence	USA	12.06.65	Atlanta	18.05.1996
186	10.85	+0.4	Zhanna Block	UKR	06.07.72	Ath&iacute;nai	03.08.1997
186	10.85	+0.8	Merlene Ottey	JAM	10.05.60	Berlin	26.08.1997
186	10.85	+1.5	Christine Arron	FRA	13.09.73	Montauban	05.08.1998
186	10.85	+0.4	Veronica Campbell-Brown	JAM	16.05.82	Z&uuml;rich	19.08.2005
186	10.85	+1.0	Muna Lee	USA	30.10.81	Eugene	28.06.2008
186	10.85	+0.7	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	28.06.2008
186	10.85	+0.4	Veronica Campbell-Brown	JAM	16.05.82	Bruxelles	16.09.2011
186	10.85	+1.2	Shelly-Ann Fraser-Pryce	JAM	27.12.86	London	04.08.2012
186	10.85	+1.5	Tianna Bartoletta	USA	30.08.85	London	04.08.2012
186	10.85	+2.0	Barbara Pierre	USA	28.04.87	Des Moines	21.06.2013
186	10.85	+1.8	English Gardner	USA	22.04.92	Des Moines	21.06.2013
186	10.85	+1.1	Barbara Pierre	USA	28.04.87	London	27.07.2013
186	10.85	+1.6	Michelle-Lee Ahye	TTO	10.04.92	Port of Spain	21.06.2014
186	10.85	+0.3	Blessing Okagbare	NGR	09.10.88	Glasgow	28.07.2014
186	10.85	+0.2	Elaine Thompson-Herah	JAM	28.06.92	Kingston	01.07.2016
186	10.85	+2.0	Aleia Hobbs	USA	24.02.96	Baton Rouge	28.04.2017
186	10.85	+0.1	Tori Bowie	USA	27.08.90	London	06.08.2017
186	10.85	+1.5	Marie-Jos&eacute;e Ta Lou	CIV	18.11.88	Ad-Dawhah	04.05.2018
186	10.85	0.0	Dina Asher-Smith	GBR	04.12.95	Berlin	07.08.2018
186	10.85	-0.3	Marie-Jos&eacute;e Ta Lou	CIV	18.11.88	Ad-Dawhah	28.09.2019
186	10.85	+0.2	Elaine Thompson-Herah	JAM	28.06.92	Roma	17.09.2020
214	10.86	+0.4	Marlies G&ouml;hr	GDR	21.03.58	Potsdam	05.05.1984
214	10.86	+2.0	Marlies G&ouml;hr	GDR	21.03.58	Berlin	22.09.1985
214	10.86	+0.8	Anelia Nuneva	BUL	30.06.62	Beograd	17.06.1987
214	10.86	+0.6	Silke M&ouml;ller	GER	20.06.64	Potsdam	20.08.1987
214	10.86	0.0	Diane Williams	USA	14.12.60	Indianapolis	16.07.1988
214	10.86	-1.0	Gwen Torrence	USA	12.06.65	Barcelona	01.08.1992
214	10.86	+0.9	Gwen Torrence	USA	12.06.65	Bruxelles	03.09.1993
214	10.86	-0.2	Marion Jones	USA	12.10.75	Helsinki	13.06.1998
214	10.86	-0.3	Ekater&iacute;ni Th&aacute;nou	GRE	01.02.75	Sevilla	21.08.1999
214	10.86	+0.7	Inger Miller	USA	12.06.72	Sevilla	21.08.1999
214	10.86	+0.1	Chandra Sturrup	BAH	12.09.71	Nassau	21.07.2000
214	10.86	+1.2	Chryste Gaines	USA	14.09.70	Monaco	14.09.2003
214	10.86	+0.7	Carmelita Jeter	USA	24.11.79	Z&uuml;rich	28.08.2009
214	10.86	+1.9	Carmelita Jeter	USA	24.11.79	Kingston	07.05.2011
214	10.86	+2.0	Marshevet Hooker	USA	25.09.84	Eugene	04.06.2011
214	10.86	+1.0	Kelly-Ann Baptiste	TTO	14.10.86	Kingston	05.05.2012
214	10.86	-0.1	Carmelita Jeter	USA	24.11.79	Lausanne	23.08.2012
214	10.86	-0.1	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Lausanne	23.08.2012
214	10.86	+0.1	Blessing Okagbare	NGR	09.10.88	London	27.07.2013
214	10.86	+2.0	Veronica Campbell-Brown	JAM	16.05.82	Montverde	07.06.2014
214	10.86	+1.2	English Gardner	USA	22.04.92	Eugene	26.06.2015
214	10.86	-0.3	Tori Bowie	USA	27.08.90	Beijing	24.08.2015
214	10.86	+0.5	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Rio de Janeiro	13.08.2016
214	10.86	+0.5	Marie-Jos&eacute;e Ta Lou	CIV	18.11.88	Rio de Janeiro	13.08.2016
214	10.86	+0.1	Marie-Jos&eacute;e Ta Lou	CIV	18.11.88	London	06.08.2017
214	10.86	+0.9	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	22.08.2020
214	10.86	+0.6	Marie-Jos&eacute;e Ta Lou	CIV	18.11.88	Sz&eacute;kesfeh&eacute;rv&aacute;r	06.07.2021
241	10.87	+1.9	Marlies G&ouml;hr	GDR	21.03.58	Dresden	26.07.1984
241	10.87	+1.1	Merlene Ottey	JAM	10.05.60	Walnut	31.05.1987
241	10.87	+0.2	Anelia Nuneva	BUL	30.06.62	Sofia	02.09.1988
241	10.87	+0.2	Merlene Ottey	JAM	10.05.60	Roma	17.07.1991
241	10.87	-1.0	Merlene Ottey	JAM	10.05.60	Z&uuml;rich	07.08.1991
241	10.87	-0.2	Merlene Ottey	JAM	10.05.60	Barcelona	20.09.1991
241	10.87	-0.3	Merlene Ottey	JAM	10.05.60	Stuttgart	16.08.1993
241	10.87	-0.3	Gwen Torrence	USA	12.06.65	Stuttgart	16.08.1993
241	10.87	0.0	Gwen Torrence	USA	12.06.65	Monaco	02.08.1994
241	10.87	0.0	Gwen Torrence	USA	12.06.65	Durham	13.08.1994
241	10.87	-0.3	Marion Jones	USA	12.10.75	Malm&ouml;	03.08.1998
241	10.87	+2.0	Ekater&iacute;ni Th&aacute;nou	GRE	01.02.75	Budapest	19.08.1998
241	10.87	+0.3	Sherone Simpson	JAM	12.08.84	Roma	14.07.2006
241	10.87	+0.7	Sherone Simpson	JAM	12.08.84	Kingston	28.06.2008
241	10.87	0.0	Veronica Campbell-Brown	JAM	16.05.82	London	26.07.2008
241	10.87	+2.0	Kerron Stewart	JAM	16.04.84	Eugene	04.06.2011
241	10.87	+1.6	Marshevet Hooker	USA	25.09.84	Eugene	23.06.2011
241	10.87	+1.7	English Gardner	USA	22.04.92	Des Moines	21.06.2013
241	10.87	+1.8	Octavious Freeman	USA	20.04.92	Des Moines	21.06.2013
241	10.87	-0.1	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Moskva	12.08.2013
241	10.87	+1.7	Blessing Okagbare	NGR	09.10.88	Eugene	30.05.2015
241	10.87	+0.9	Tori Bowie	USA	27.08.90	Beijing	24.08.2015
241	10.87	+0.8	Elaine Thompson-Herah	JAM	28.06.92	Roma	02.06.2016
241	10.87	+0.3	Elaine Thompson-Herah	JAM	28.06.92	Rabat	16.07.2017
241	10.87	+0.8	Marie-Jos&eacute;e Ta Lou	CIV	18.11.88	London	06.08.2017
241	10.87	+0.8	Marie-Jos&eacute;e Ta Lou	CIV	18.11.88	Ad-Dawhah	29.09.2019
241	10.87	+0.5	Dina Asher-Smith	GBR	04.12.95	Ad-Dawhah	29.09.2019
241	10.87	+1.4	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	08.08.2020
241	10.87	0.0	Elaine Thompson-Herah	JAM	28.06.92	Ad-Dawhah	25.09.2020
241	10.87	+1.3	Natasha Morrison	JAM	17.11.92	Miami	24.04.2021
241	10.87	+1.2	Elaine Thompson-Herah	JAM	28.06.92	Miramar	05.06.2021
272	10.88	+2.0	Marlies G&ouml;hr	GDR	21.03.58	Dresden	01.07.1977
272	10.88	+1.9	Marlies G&ouml;hr	GDR	21.03.58	Karl-Marx-Stadt	09.07.1982
272	10.88	+1.9	Evelyn Ashford	USA	15.04.57	Rieti	07.09.1986
272	10.88	+1.6	Evelyn Ashford	USA	15.04.57	Seoul	24.09.1988
272	10.88	+1.0	Florence Griffith-Joyner	USA	21.12.59	Seoul	24.09.1988
272	10.88	+0.2	Merlene Ottey	JAM	10.05.60	Oslo	06.07.1991
272	10.88	-1.0	Merlene Ottey	JAM	10.05.60	Barcelona	01.08.1992
272	10.88	+0.8	Gail Devers	USA	19.11.66	Berlin	26.08.1997
272	10.88	0.0	Marion Jones	USA	12.10.75	Paris	29.07.1998
272	10.88	-1.0	Marion Jones	USA	12.10.75	Sacramento	15.07.2000
272	10.88	-0.1	Chryste Gaines	USA	14.09.70	Bruxelles	05.09.2003
272	10.88	+0.4	Lauryn Williams	USA	11.09.83	Z&uuml;rich	19.08.2005
272	10.88	+1.2	Veronica Campbell-Brown	JAM	16.05.82	Clermont	14.06.2008
272	10.88	+0.7	Veronica Campbell-Brown	JAM	16.05.82	Kingston	28.06.2008
272	10.88	-1.5	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	27.06.2009
272	10.88	+0.5	Carmelita Jeter	USA	24.11.79	Bruxelles	04.09.2009
272	10.88	+1.7	Carmelita Jeter	USA	24.11.79	Eugene	23.06.2011
272	10.88	+1.2	Michelle-Lee Ahye	TTO	10.04.92	Port of Spain	21.06.2014
272	10.88	+0.5	Tori Bowie	USA	27.08.90	Beijing	23.08.2015
272	10.88	+0.3	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Rio de Janeiro	13.08.2016
272	10.88	+0.6	Elaine Thompson-Herah	JAM	28.06.92	Rio de Janeiro	13.08.2016
272	10.88	+0.9	Kelly-Ann Baptiste	TTO	14.10.86	Port of Spain	24.06.2017
272	10.88	+1.9	Marie-Jos&eacute;e Ta Lou	CIV	18.11.88	Eugene	26.05.2018
272	10.88	-0.5	Shelly-Ann Fraser-Pryce	JAM	27.12.86	Kingston	08.06.2019
272	10.88	-0.3	Dina Asher-Smith	GBR	04.12.95	Bruxelles	06.09.2019
272	10.88	+0.3	Elaine Thompson-Herah	JAM	28.06.92	Kingston	08.08.2020
298	10.89	+0.7	Marlies G&ouml;hr	GDR	21.03.58	Erfurt	01.06.1984
298	10.89	-0.1	Florence Griffith-Joyner	USA	21.12.59	San Diego	25.06.1988
298	10.89	+2.0	Marlies G&ouml;hr	GDR	21.03.58	Neubrandenburg	09.07.1988
298	10.89	+1.8	Katrin Krabbe	GER	22.11.69	Berlin	20.07.1988
298	10.89	+1.8	Katrin Krabbe	GER	22.11.69	Split	28.08.1990
298	10.89	-0.1	Merlene Ottey	JAM	10.05.60	Tokyo	26.08.1991
298	10.89	+1.6	Juliet Cuthbert	JAM	09.04.64	Salamanca	13.07.1992
298	10.89	+1.9	Irina Privalova	RUS	12.11.68	Moskva	18.07.1992
298	10.89	+0.6	Merlene Ottey	JAM	10.05.60	Bruxelles	28.08.1992
298	10.89	-0.3	Gwen Torrence	USA	12.06.65	Stuttgart	16.08.1993
298	10.89	+0.4	Gwen Torrence	USA	12.06.65	Linz	04.07.1994
298	10.89	-0.1	Gail Devers	USA	19.11.66	Berlin	30.08.1996
298	10.89	+0.5	Gail Devers	USA	19.11.66	Lausanne	02.07.1997
