provider_number,legal_name,business_name,capacity_per_peu,address,address_2,city,county,zip_code,phone_number,latitude,longitude,source_access_date
1639887706,"PINOLE OPERATIONS, LP",WESTMONT OF PINOLE,100,2850 ESTATES AVE,,PINOLE,Contra Costa,94564,510-758-1122,37.994531243106,-122.283328437378,2026-07-18
1922463439,VIVIAN ROSE PRICE,BALTIC SEA MANOR 1,6,311 BALTIC SEA CT,,PITTSBURG,Contra Costa,94565,925-783-0988,38.022002092573,-121.920393203348,2026-07-18
1467101964,FAM CARE HOMES LLC,FAM CARE HOMES LLC,6,1502 PEPPERTREE PLACE,,PITTSBURG,Contra Costa,94565,925-318-4903,38.000660970807,-121.866849522044,2026-07-18
1184400459,REVITALIZE CARE HOME LLC,REVITALIZE CARE HOME LLC,6,1913 CARDIFF DR,,PITTSBURG,Contra Costa,94565,925-267-9822,38.018023328864,-121.878455021362,2026-07-18
1922463439,VIVIAN ROSE PRICE                  ,"BALTIC SEA MANOR, LLC              ",6,2237 LYNBROOK DR,,PITTSBURG           ,Contra Costa,94565,5597654916,38.007227144207,-121.877597049753,2026-07-18
1235910746,PLEASANT HILL VILLA HOME CARE,PLEASANT HILL VILLA HOME CARE,6,3021 PUTNAM BLVD,,PLEASANT HILL,Contra Costa,94523,408-933-8663,37.930203195629,-122.073553121683,2026-07-18
1669253241,PLEASANT HILL VILLA HOME CARE,PLEASANT HILL VILLA HOME CARE 3,6,1900 HOOVER AVE,,PLEASANT HILL,Contra Costa,94523,925-949-8959,37.929684230094,-122.073783875477,2026-07-18
1699312033,RAZEL & RUZTIN LLC,WALNUT CREEK WILLOWS,72,2015 MT DIABLO BLVD,,WALNUT CREEK,Contra Costa,94596,9252568708,37.897212821011,-122.067594845811,2026-07-18
1750999702,APRICOT MORNINGS INC,APRICOT MORNINGS III,6,248 W VERMONT AVE,,CLOVIS,Fresno,93619,559-940-7483,36.860807131445,-119.716400429474,2026-07-18
1750999702,APRICOT MORNINGS INC,APRICOT MORNINGS IV,6,783 QUINCY AVE,,CLOVIS,Fresno,93619,559-430-5743,36.856941397701,-119.704054640468,2026-07-18
1750999702,APRICOT MORNINGS INC,APRICOT MORNINGS RESIDENTIAL LIVING,6,305 W LESTER AVE,,CLOVIS,Fresno,93619,559-297-5224,36.864395214647,-119.718074211719,2026-07-18
1750999702,APRICOT MORNINGS INC,APRICOT MORNINGS RESIDENTIAL LIVING II,6,993 N KAREN AVE,,CLOVIS,Fresno,93611,559-325-5673,36.848559243068,-119.720792462919,2026-07-18
1184288227,BELLA CARE HOME LLC,BELLA CARE HOME LLC,6,491 PIERCE DRIVE,,CLOVIS,Fresno,93613,559-259-6228,36.824492116843,-119.72757149475,2026-07-18
1871078295,COPPER RIVER RETIREMENT GROUP LLC,COPPER RIVER RETIREMENT GROUP - BUCHANAN,6,232 OMAHA AVE,,CLOVIS,Fresno,93619,559-977-4232,36.855386093657,-119.708961825682,2026-07-18
1871078295,COPPER RIVER RETIREMENT GROUP LLC,COPPER RIVER RETIREMENT GROUP - LOYOLA,6,419 W LOYOLA AVE,,CLOVIS,Fresno,93619,5599369302,36.862205526262,-119.721124134828,2026-07-18
1316627607,CREST POINTE ASSISTED LIVING INC,CREST POINTE ASSISTED LIVING-POWERS,6,2978 POWERS AVE,,CLOVIS,Fresno,93619,559-765-4998,36.863249534212,-119.658160032545,2026-07-18
1316627607,CREST POINTE ASSISTED LIVING INC,CREST POINTE ASSISTED LIVING-PRESCOTT,6,2855 PRESCOTT AVE,,CLOVIS,Fresno,93619,559-765-4321,36.864117647924,-119.660874847165,2026-07-18
1154954527,YUEPING YANG,GRACE HOME KARE,6,3232 EVERGLADE AVE,,CLOVIS,Fresno,93619,559-856-1268,36.864914515458,-119.651365578012,2026-07-18
1164153664,THE BRICE GROUP INC,MRS. SCOTT'S WHERE THE HEART IS  HOMES - SAN FRANCISCO,6,149 OAK AVE,,CLOVIS,Fresno,93611,559-970-5619,36.844277683107,-119.709121081843,2026-07-18
1285320168,"COVENANT LIVING, INC.",STANFORD COTTAGE ASSISTED LIVING,6,2202 STANFORD AVENUE,,CLOVIS,Fresno,93611,559-375-1863,36.806595831554,-119.686541575793,2026-07-18
1417437047,HERGIE & ASSOCIATES INC            ,GARDEN TERRACE ASSISTED            ,6,2145 BEDFORD AVE,,CLOVIS              ,Fresno,93611,5594392980,36.846042199454,-119.676278857364,2026-07-18
1134620651,INNOVATIVE DEVELOPMENT AND         ,MAGNOLIA CROSSING                  ,60,32 W SIERRA AVE,,CLOVIS              ,Fresno,93612,5597654916,36.830268756873,-119.710999214887,2026-07-18
1689251522,SERENITY SENIOR LIVING INC,THE HARVEST AT FOWLER,36,1400 E SUMNER AVE,,FOWLER,Fresno,93625,5598345692,36.627252146894,-119.672399964031,2026-07-18
1538933239,5 STAR RETIREMENT GROUP CORP,5 STAR RETIREMENT GROUP CORP,6,1577 E QUINCY AVE,,FRESNO,Fresno,93720,818-261-4887,36.857187867564,-119.754911837985,2026-07-18
1013627405,BLOSSOM CREEKS ASSISTED LIVING 2 INC,BLOSSOM CREEKS ASSISTED LIVING 2 INC,6,2770 N BURGAN AVE,,FRESNO,Fresno,93727,559-598-9515,36.775792211655,-119.677147557809,2026-07-18
1487654646,CALIFORNIA HOME FOR THE AGED INC,CALIFORNIA ARMENIAN HOME,392,6720 E KINGS CANYON RD,,FRESNO,Fresno,93727,559-251-8414,36.743980584081,-119.669212326254,2026-07-18
1194493015,CLEAR VIEW RETIREMENT GROUP LLC,CLEAR VIEW RETIREMENT GROUP,6,2846 E JON DRIVE,,FRESNO,Fresno,93720,5593227368,36.869411029326,-119.732589488725,2026-07-18
1194493015,CLEAR VIEW RETIREMENT GROUP LLC,CLEAR VIEW RETIREMENT GROUP,6,2657 SKYVIEW,,FRESNO,Fresno,93720,5592970475,36.868151019732,-119.736028918874,2026-07-18
1194493015,CLEAR VIEW RETIREMENT GROUP LLC,CLEAR VIEW RETIREMENT GROUP,6,2380 E EL PASO,,FRESNO,Fresno,93720,5592982877,36.848792637162,-119.740527151032,2026-07-18
1871078295,COPPER RIVER RETIREMENT GROUP LLC,COPPER RIVER RETIREMENT GROUP,6,272 W EVERGLADE,,FRESNO,Fresno,93619,5593252273,36.865244091891,-119.717242810743,2026-07-18
1871078295,COPPER RIVER RETIREMENT GROUP LLC,COPPER RIVER RETIREMENT GROUP,6,2617 E SHEA DRIVE,,FRESNO,Fresno,93720,5593257383,36.871115824613,-119.73683601233,2026-07-18
1407513278,DEANNA'S PLACE INC,DEANNA'S PLACE,6,951 E ALLUVIAL AVE,,FRESNO,Fresno,93720,5595708763,36.844691036662,-119.767145980041,2026-07-18
1487335709,"EVERGREEN LIFE CRE HMES, INC",EVERGREEN COURT,6,1415 W SCOTT AVE,,FRESNO,Fresno,93711,559-222-4876,36.811030445067,-119.817764628594,2026-07-18
1740816230,FIVE STAR ASSISTED LIVING CORPORATION,FIVE STAR ASSISTED LIVING 2,6,5727 N HAZEL AVE,,FRESNO,Fresno,93711,5597183616,36.821577351923,-119.849514188175,2026-07-18
1740816230,FIVE STAR ASSISTED LIVING CORP,FIVE STAR ASSISTED LIVING CORP,6,2573 W BARSTOW AVE,,FRESNO,Fresno,93711,5592838543,36.815452443815,-119.839284829721,2026-07-18
1306413471,"XENCARE II, INC.",FRESNO GUEST HOME #15,6,2099 E BURLINGAME AVE,,FRESNO,Fresno,93710,5594341839,36.833287792668,-119.752458622564,2026-07-18
1306413471,"XENCARE II, INC.",FRESNO GUEST HOME #16,6,6859 N CHANCE AVE,,FRESNO,Fresno,93710,559-434-1839,36.835664397495,-119.750367589179,2026-07-18
1306413471,"XENCARE II, INC.",FRESNO GUEST HOME #17,6,2568 E MENLO AVE,,FRESNO,Fresno,93710,559-434-1839,36.83113037461,-119.743560897067,2026-07-18
1306413471,XENCARE II INC,FRESNO GUEST HOME #18,6,2804 E PALO ALTO AVE,,FRESNO,Fresno,93710,559-434-1839,36.833550691061,-119.738974654925,2026-07-18
1306413471,XENCARE II INC,FRESNO GUEST HOME #19,6,2149 MENLO AVENUE,,FRESNO,Fresno,93710,559-434-1839,36.831021242231,-119.751362521086,2026-07-18
1306413471,"XENCARE II, INC.",FRESNO GUEST HOME #20,6,2165 E. MENLO AVE,,FRESNO,Fresno,93710,559-434-1839,36.831021535597,-119.751131348196,2026-07-18
1306413471,"XENCARE II, INC.",FRESNO GUEST HOME #21,6,6808 N BACKER AVE,,FRESNO,Fresno,93710,559-434-1839,36.835805213468,-119.743035603195,2026-07-18
1306413471,"XENCARE II, INC.",FRESNO GUEST HOME #22,6,6659 N CHANCE AVENUE,,FRESNO,Fresno,93710,559-434-1839,36.832762373068,-119.750459119561,2026-07-18
1306413471,"XENCARE II, INC.",FRESNO GUEST HOME #23,6,2786 E. FREMONT AVENUE,,FRESNO,Fresno,93710,559-434-1839,36.834309672394,-119.73925301793,2026-07-18
1306413471,"XENCARE II, INC.",FRESNO GUEST HOME #24,6,2890 E. MAGILL AVENUE,,FRESNO,Fresno,93710,559-434-1839,36.835072802769,-119.737145723653,2026-07-18
1306413471,"XENCARE II, INC.",FRESNO GUEST HOME #25,6,2848 E. PALO ALTO AVE,,FRESNO,Fresno,93710,559-434-1839,36.833551864528,-119.737836979208,2026-07-18
1700600848,"XENCARE III, INC",FRESNO GUEST HOME #30,6,2808 E. MAGILL AVENUE,,FRESNO,Fresno,93710,559-434-1839,36.835074521059,-119.738809615252,2026-07-18
1700600848,"XENCARE III, INC",FRESNO GUEST HOME #31,6,2815 E. MILLBRAE AVENUE,,FRESNO,Fresno,93710,559-434-1839,36.836533433216,-119.738770387945,2026-07-18
1700600848,"XENCARE III, INC",FRESNO GUEST HOME #32,6,2853 E MILLBRAE AVE,,FRESNO,Fresno,93710,559-434-1839,36.836533600854,-119.737853659195,2026-07-18
1376847814,"XENCARE, INC",FRESNO GUEST HOME XIV,6,2118 E FREMONT AVE,,FRESNO,Fresno,93710,5594341839,36.834108883903,-119.752058302868,2026-07-18
1467135301,HSRE PACIFICA FRESNO OPCO LP,FRESNO SENIOR LIVING,100,1715 E ALLUVIAL AVE,,FRESNO,Fresno,93720,559-298-4900,36.844748452699,-119.752894230072,2026-07-18
1366828766,TWILIGHT HOMES INC,GREEN VILLA,6,1463 W. SIERRA AVE,,FRESNO,Fresno,93711-1906,559-439-5760,36.829983730256,-119.818822089498,2026-07-18
1033891924,RONALD SANDONE,HAND IN HAND CARE HOME,6,4361 W FREMONT AVE,,FRESNO,Fresno,93722,559-389-0315,36.834327777305,-119.87047875294,2026-07-18
1437847340,LEGACY ADULT CARE LLC,LEGACY ADULT CARE LLC,6,2348 E HARVARD AVENUE,,FRESNO,Fresno,93703,559-433-7896,36.774068054172,-119.782849727097,2026-07-18
1386043065,IMC CARE HOME INC,MAPLE TREE CARE HOME 2,6,2081 E RYAN LANE,,FRESNO,Fresno,93720,5599165206,36.872073750418,-119.74623388599,2026-07-18
1487335709,"EVERGREEN LIFE CRE HMES, INC",NORTHWEST VILLA,6,542 W BROWNING AVE,,FRESNO,Fresno,93704,559-448-8964,36.819300701292,-119.80251777908,2026-07-18
1306582309,SIERRA MEADOWS SENIOR CARE INC,RIVER BLUFFS MEMORY CARE COMMUNITY,36,5425 W SPRUCE AVE,,FRESNO,Fresno,93722,559-840-0452,36.83866264617,-119.890587860667,2026-07-18
1356713135,JMJ CARESERVICES LLC,RIVERSIDE SENIOR CAREHOME,6,7435 N RIVERSIDE DRIVE,,FRESNO,Fresno,93722,559-412-8684,36.843202871663,-119.910939959768,2026-07-18
1700581279,SEQUOIA GROVE ASSISTED LIVING INC,SEQUOIA GROVE ASSISTED LIVING INC,6,1567 W. MAGILL AVENUE,,FRESNO,Fresno,93711,559-449-1249,36.834788781979,-119.821093920535,2026-07-18
1922882026,SERENITY GARDEN HOME 2,SERENITY GARDEN HOME 2,6,5409 E BUTLER AVE,,FRESNO,Fresno,93727,408-712-3040,36.728655405682,-119.708858392997,2026-07-18
1366828766,"TWILIGHT HOMES, INC.",SUNNY GARDEN,6,3033 E. LOS ALTOS AVE,,FRESNO,Fresno,93710,559-322-8740,36.832565817438,-119.735521646093,2026-07-18
1619753183,THE GOLDEN DAYS CARE HOME INC,THE GOLDEN DAYS CARE HOME,6,8647 N RICHELLE AVE,,FRESNO,Fresno,93720,559-322-5081,36.861701187148,-119.731719363356,2026-07-18
1477939890,AMG RESIDENTIAL CARE HOMES,THE GOLDEN YEARS II RCHE,6,9658 N WINERY AVE,,FRESNO,Fresno,93720,5592998471,36.878043970502,-119.734840197365,2026-07-18
1477939890,AMG RESIDENTIAL CARE HOMES,THE GOLDEN YEARS III RCHE,6,7641 N MANSIONETTE DR,,FRESNO,Fresno,93720,5592981212,36.846618120021,-119.751811204363,2026-07-18
1992479901,AC ELDERLY HOMES INC,THE NEW LIGHT RESIDENTIAL CARE HOME,6,1322 W ROBERTS AVE,,FRESNO,Fresno,93711,559-261-9818,36.82014924326,-119.815615005705,2026-07-18
1992479901,AC ELDERLY HOMES INC,THE NEW LIGHT RESIDENTIAL CARE HOME FOR ELDERLY,6,1322 W ROBERTS AVE,,FRESNO,Fresno,93711,5592619818,36.82014924326,-119.815615005705,2026-07-18
1649979170,VELAMMA LLC,VELA SUITES,6,6572 N MARIPOSA STREET,,FRESNO,Fresno,94710,559-438-0980,36.833287583121,-119.778198441387,2026-07-18
1750167482,VICTORIA CARE HOME 2 INC,VICTORIA CARE HOME 2 INC,6,5056 W. ROBERTS AVE,,FRESNO,Fresno,93722,559-960-3789,36.819826078983,-119.881743946989,2026-07-18
1447927496,VISTA ELDERLY CARE FACILITY,VISTA ELDERLY CARE FACILITY,6,8893 N SIERRA VISTA AVE,,FRESNO,Fresno,93720,559-360-1864,36.865293126025,-119.744026427969,2026-07-18
1376251645,"FRESNO OPERATIONS, LP",WESTMONT OF FRESNO,155,7442 N MILLBROOK AVE,,FRESNO,Fresno,93720,559-446-1266,36.844094957618,-119.765747375677,2026-07-18
1699310425,ATTENTIVE SENIOR CARE II LLC       ,ATTENTIVE SENIOR CARE II LLC       ,6,6149 E LOWE AVE,,FRESNO              ,Fresno,93727,5595156874,36.732290092265,-119.679250242039,2026-07-18
1295113819,ATTENTIVE SENIOR CARE LLC          ,ATTENTIVE SENIOR CARE LLC          ,6,36 E. TUOLUMNE,,FRESNO              ,Fresno,93706,5594493566,36.730741577563,-119.812145149248,2026-07-18
1356713135,JMJ CARESERVICES LLC               ,BACKER SENIOR CAREHOME             ,6,9127 NORTH BACKER AVE,,FRESNO              ,Fresno,93720,5594331887,36.868637253935,-119.746255846576,2026-07-18
1598169666,BELMAR VILLA LLC                   ,BELMAR VILLA LLC                   ,100,2020 N WEBER AVE,,FRESNO              ,Fresno,93705,5594865977,36.769357550316,-119.833271065649,2026-07-18
1497291751,"SAMRA, RAJVINDER                   ",BLOSSOM CREEKS ASSISTED LVNG       ,6,501 SOUTH APRICOT AVE,,FRESNO              ,Fresno,93727,5595989515,36.72931690548,-119.668833212773,2026-07-18
1477921443     ,ELIZABETH SARKIS                   ,CARING HOMES                       ,0,787 E MINARETS AVE,,FRESNO              ,Fresno,93720,5594384325,36.842500845363,-119.770612316099,2026-07-18
1871078295,COPPER RIVER RETIREMENT GROU       ,COPPER RIVER RETIREMENT GROU       ,6,1115 E PINEHURST,,FRESNO              ,Fresno,93730,5599774232,36.890344455321,-119.763199612388,2026-07-18
1518400886,"AGORANYAN, RIMA                    ",DIGNITY CARE HOME                  ,6,3274 E ACACIA AVE,,FRESNO              ,Fresno,93726,5593857115,36.804216544518,-119.768268400695,2026-07-18
1598268922,ANM DIVERSIFIED INC                ,EVERSPRING RETIREMENT HOME         ,6,5738 N LOLA AVE,,FRESNO              ,Fresno,93722,5593920393,36.820976034189,-119.891406688789,2026-07-18
1376847814,"XENCARE, INC                       ",FRESNO GUEST HOME I                ,6,6538 NORTH CHANCE,,FRESNO              ,Fresno,93710,5594341839,36.83087501993,-119.750101128477,2026-07-18
1376847814,"XENCARE, INC                       ",FRESNO GUEST HOME II               ,6,2214 E WARNER,,FRESNO              ,Fresno,93710,5594342551,36.83644911127,-119.750265078503,2026-07-18
1376847814,"XENCARE, INC                       ",FRESNO GUEST HOME III              ,6,2878 E MAGILL,,FRESNO              ,Fresno,93710,5594342551,36.83507271895,-119.737373040867,2026-07-18
1376847814,"XENCARE, INC                       ",FRESNO GUEST HOME IV               ,6,6817 NORTH ROWELL AVE,,FRESNO              ,Fresno,93710,5594341839,36.835057296248,-119.75131968956,2026-07-18
1376847814,"XENCARE, INC                       ",FRESNO GUEST HOME IX               ,6,2410 E LOS ALTOS AVE,,FRESNO              ,Fresno,93710,5594341839,36.833552786537,-119.746492132426,2026-07-18
1376847814,"XENCARE, INC                       ",FRESNO GUEST HOME V                ,6,2776 EAST MAGILL AVE,,FRESNO              ,Fresno,93710,5594341839,36.835075945982,-119.7394858672,2026-07-18
1376847814,"XENCARE, INC                       ",FRESNO GUEST HOME VI               ,6,2267 E PALO ALTO,,FRESNO              ,Fresno,93710,5594342551,36.834068273582,-119.749247347819,2026-07-18
1376847814,"XENCARE, INC                       ",FRESNO GUEST HOME VII              ,6,2228 E LOS ALTOS AVE,,FRESNO              ,Fresno,93710,5594341839,36.832763714172,-119.749905578676,2026-07-18
1376847814,"XENCARE, INC                       ",FRESNO GUEST HOME VIII             ,6,6705 N MAPLE AVE,,FRESNO              ,Fresno,93710,5594341839,36.833341897853,-119.745181538046,2026-07-18
1376847814,"XENCARE, INC                       ",FRESNO GUEST HOME X                ,6,6590 N JACKSON AVE,,FRESNO              ,Fresno,93710,5594341839,36.831656213306,-119.746930422143,2026-07-18
