"age","asian","black","divorced","educ","exper","faminc","female","hrswork","insure","married","mcaid","mcare","metro","midwest","nchild","northeast","single","south","union","wage","west","white"
53,0,0,0,14,33,38940,0,40,1,1,0,0,0,0,2,1,0,0,0,34,0,1
40,0,0,0,12,22,50000,0,40,1,1,0,0,0,0,0,1,0,0,0,22.13,0,1
49,0,0,0,12,31,52002,1,40,1,1,0,0,0,0,0,1,0,0,0,11.35,0,1
26,0,0,0,14,6,45005,0,40,1,1,0,0,0,0,0,1,0,0,1,10,0,1
26,0,0,0,18,2,91505,1,40,1,1,0,0,0,0,0,1,0,0,0,21.63,0,1
56,0,0,0,13,37,67417,1,35,1,1,0,0,0,0,0,1,0,0,0,18.57,0,1
54,0,0,0,18,30,115584,0,50,1,1,0,0,0,0,0,1,0,0,1,15.38,0,1
27,0,0,0,14,7,35000,0,40,0,1,0,0,0,0,1,1,0,0,0,15.5,0,1
27,0,0,0,16,5,34000,1,40,1,1,0,0,0,0,1,1,0,0,0,17.8,0,1
32,0,0,0,16,10,0,1,40,1,0,0,0,0,0,0,1,1,0,0,25.95,0,1
52,0,0,1,12,34,0,0,40,1,0,0,0,0,0,0,1,0,0,1,40.76,0,1
48,0,0,1,12,30,5000,0,40,0,0,0,0,0,0,1,1,0,0,0,32,0,1
65,0,0,0,20,39,129000,1,40,1,1,0,0,1,0,0,1,0,0,0,64.9,0,1
29,0,0,0,18,5,39100,0,40,1,1,0,0,1,0,2,1,0,0,0,45.2,0,1
33,0,0,0,16,11,20400,1,45,1,1,1,0,1,0,1,1,0,0,0,33.33,0,1
53,0,0,0,13,34,20625,0,45,1,1,0,0,0,0,0,1,0,0,0,13.75,0,1
29,0,0,0,13,10,45,0,45,1,1,0,0,0,0,2,1,0,0,1,24.14,0,1
45,1,0,0,12,27,76002,0,40,1,1,0,0,0,0,0,1,0,0,1,28.12,0,0
43,1,0,0,12,25,65000,1,40,1,0,0,0,0,0,0,1,1,0,0,10,0,0
39,1,0,0,14,19,61002,0,40,1,0,0,0,0,0,0,1,1,0,0,13,0,0
26,0,0,0,16,4,192500,1,40,1,1,0,0,0,0,0,1,0,0,0,21.63,0,1
56,0,0,0,16,34,46606,0,45,1,1,0,0,0,0,1,1,0,0,0,21.36,0,1
42,0,0,1,16,20,0,0,50,1,0,0,0,1,0,0,1,0,0,0,17.3,0,1
56,0,0,0,13,37,37050,0,44,1,1,0,0,1,0,0,1,0,0,1,32.62,0,1
55,0,0,0,12,37,57200,1,60,1,1,0,0,0,0,0,1,0,0,0,15.29,0,1
43,0,0,1,18,19,0,1,50,1,0,0,0,0,0,1,1,0,0,1,20,0,1
34,0,0,0,12,16,21446,0,70,1,1,0,0,0,0,0,1,0,0,0,9.29,0,1
55,0,0,0,16,33,0,1,38,1,0,0,0,0,0,0,1,1,0,0,15,0,1
58,0,0,0,14,38,38296,0,50,1,1,0,0,1,0,0,1,0,0,1,25.3,0,1
63,0,0,1,16,41,0,0,40,1,0,0,0,1,0,0,1,0,0,0,33.58,0,1
56,0,0,0,16,34,65343,0,40,1,1,0,0,1,0,0,1,0,0,0,72.13,0,1
58,0,0,0,12,40,39500,0,48,1,1,0,0,1,0,0,1,0,0,0,28.04,0,1
58,0,0,1,14,38,0,1,40,0,0,0,0,1,0,0,1,0,0,0,18,0,1
33,0,0,0,16,11,49600,1,45,1,1,0,0,1,0,2,1,0,0,0,20.51,0,1
31,0,0,0,12,13,45050,0,70,1,1,0,0,1,0,2,1,0,0,0,12.09,0,1
59,0,0,0,14,39,42075,0,40,1,1,0,0,1,0,1,1,0,0,0,23.8,0,1
54,0,0,0,14,34,56575,1,42,1,1,0,0,1,0,1,1,0,0,0,16.02,0,1
22,0,0,0,12,4,84650,0,40,1,0,0,0,1,0,0,1,1,0,0,8.75,0,1
34,0,0,0,21,7,30025,0,40,1,1,0,0,1,0,2,1,0,0,0,63,0,1
51,0,0,0,12,33,30000,1,40,1,1,0,0,1,0,0,1,0,0,0,24.05,0,1
51,0,0,0,10,35,50000,0,40,1,1,0,0,1,0,0,1,0,0,0,14.4,0,1
57,0,0,0,12,39,30000,1,50,1,1,0,0,1,0,0,1,0,0,0,7.94,0,1
44,0,0,0,12,26,69162,0,40,1,1,0,0,1,0,0,1,0,0,0,14.38,0,1
45,0,0,0,14,25,36000,1,40,1,1,0,0,1,0,0,1,0,0,0,19.2,0,1
35,0,0,0,16,13,0,0,40,1,1,0,0,1,0,3,1,0,0,1,20.2,0,1
24,0,0,0,16,2,0,0,45,1,0,0,0,1,0,0,1,1,0,0,11.11,0,1
28,0,0,0,16,6,35000,1,40,1,1,0,0,1,0,0,1,0,0,1,14.43,0,1
26,0,0,0,12,8,30000,0,40,0,1,0,0,1,0,0,1,0,0,0,23.08,0,1
22,0,0,0,13,3,0,0,35,0,0,0,0,1,0,0,1,1,0,1,11.08,0,1
65,0,0,0,12,47,13824,0,44,1,1,0,0,1,0,0,1,0,0,1,27,0,1
46,0,0,0,16,24,205011,1,40,1,1,1,0,1,0,1,1,0,0,0,39.42,0,1
47,0,0,0,18,23,126510,0,60,1,1,1,0,1,0,1,1,0,0,0,48.08,0,1
32,0,0,0,16,10,240221,1,40,1,0,0,0,1,0,0,1,1,0,0,14.4,0,1
54,0,0,0,12,36,26174,1,40,1,1,1,0,1,0,0,1,0,0,0,24.02,0,1
43,0,0,0,16,21,152458,1,40,1,1,1,0,1,0,2,1,0,0,0,30,0,1
48,0,0,0,18,24,72554,0,40,1,1,0,0,1,0,2,1,0,0,0,36.05,0,1
46,0,0,0,18,22,90552,1,40,1,1,0,0,1,0,2,1,0,0,1,27.4,0,1
36,0,0,1,12,18,0,1,35,0,0,1,0,1,0,2,1,0,0,0,11.06,0,1
41,0,0,1,11,24,0,0,36,0,0,0,0,1,0,0,1,0,0,0,10,0,1
66,0,0,0,16,44,76072,0,40,1,1,0,1,1,0,1,1,0,0,0,48.08,0,1
64,0,0,0,16,42,81106,1,40,1,1,0,0,1,0,1,1,0,0,1,36.9,0,1
45,0,0,0,13,26,67000,0,40,1,1,0,0,1,0,0,1,0,0,1,40.25,0,1
42,0,0,0,13,23,77000,1,40,1,1,0,0,1,0,0,1,0,0,0,31.25,0,1
41,0,0,0,13,22,90168,1,40,1,1,0,0,1,0,2,1,0,0,0,24.02,0,1
41,0,0,0,14,21,68168,0,40,1,1,0,0,1,0,2,1,0,0,0,45.17,0,1
44,0,0,0,18,20,61615,0,40,1,1,0,0,1,0,2,1,0,0,1,41.25,0,1
39,0,0,0,18,15,90808,1,40,1,1,0,0,1,0,2,1,0,0,0,30,0,1
48,0,0,0,14,28,0,1,40,0,0,0,0,1,0,1,1,1,0,0,12,0,1
59,0,0,0,18,35,24550,1,56,1,1,0,0,1,0,0,1,0,0,0,30,0,1
57,0,0,0,12,39,73000,0,40,1,1,0,0,1,0,0,1,0,0,0,18,0,1
48,0,0,0,16,26,45320,1,48,1,1,0,0,1,0,1,1,0,0,1,30,0,1
31,0,0,0,16,9,36410,1,40,1,1,0,0,1,0,2,1,0,0,0,13.5,0,1
31,0,0,0,13,12,28610,0,50,1,1,0,0,1,0,2,1,0,0,0,14,0,1
29,0,0,0,12,11,0,0,40,1,0,1,0,1,0,0,1,1,0,0,11,0,1
56,0,0,0,16,34,0,1,37,1,0,0,0,1,0,0,1,1,0,0,19.76,0,1
31,0,0,0,16,9,0,0,40,0,0,1,0,1,0,0,1,1,0,0,8.75,0,1
30,0,0,0,16,8,0,1,36,1,0,1,0,1,0,0,1,1,0,0,10.42,0,1
46,0,0,0,16,24,119647,1,55,1,1,0,0,1,0,2,1,0,0,1,18.53,0,1
58,0,0,1,14,38,0,1,40,1,0,0,0,1,0,0,1,0,0,0,15,0,1
36,0,0,0,16,14,40084,1,45,1,1,0,0,1,0,1,1,0,0,0,31.11,0,1
37,0,0,0,14,17,100081,0,40,1,1,0,0,1,0,1,1,0,0,0,21.63,0,1
49,0,0,0,16,27,54711,0,50,1,1,0,0,1,0,1,1,0,0,0,53.84,0,1
65,0,0,0,16,43,110005,1,36,1,1,0,0,1,0,0,1,0,0,1,20,0,1
25,0,0,0,13,6,0,1,44,1,0,0,0,1,0,0,1,1,0,0,19.23,0,1
58,0,0,1,16,36,0,1,40,1,0,0,0,1,0,0,1,0,0,0,18.25,0,1
37,0,0,0,16,15,0,0,49,1,0,0,0,1,0,0,1,1,0,0,20.41,0,1
31,0,0,0,16,9,0,1,40,1,0,0,0,1,0,0,1,1,0,0,13.5,0,1
28,0,0,0,16,6,0,0,40,1,0,0,0,1,0,0,1,1,0,0,17.83,0,1
35,0,0,0,18,11,0,1,45,1,0,0,0,1,0,0,1,1,0,0,19.22,0,1
34,0,0,0,16,12,0,0,40,1,0,0,0,1,0,0,1,1,0,0,24.5,0,1
36,0,0,0,18,12,0,1,40,1,0,0,0,1,0,0,1,1,0,0,29.33,0,1
47,0,0,0,16,25,36038,0,40,1,1,0,0,1,0,3,1,0,0,0,23.55,0,1
47,0,0,0,16,25,63048,1,40,1,1,0,0,1,0,3,1,0,0,0,10.57,0,1
43,0,0,0,16,21,18901,0,40,1,1,0,0,1,0,2,1,0,0,0,48.08,0,1
27,0,0,0,18,3,32000,1,40,1,0,0,0,1,0,0,1,1,0,0,17.3,0,1
30,0,0,1,18,6,36000,1,40,1,0,0,0,1,0,0,1,0,0,0,15.38,0,1
28,0,0,0,16,6,0,0,40,1,0,0,0,1,0,0,1,1,0,0,17.3,0,1
55,0,0,0,14,35,44646,1,40,1,1,0,0,1,0,1,1,0,0,0,13.5,0,1
54,0,0,0,18,30,64125,1,50,1,1,0,0,1,0,1,1,0,0,1,27,0,1
40,0,0,0,16,18,16966,1,40,0,1,0,0,1,0,1,1,0,0,0,10,0,1
64,0,0,0,13,45,12001,1,40,1,1,0,0,1,0,0,1,0,0,0,16.32,0,1
61,0,0,0,16,39,33000,0,40,1,1,0,0,1,0,0,1,0,0,0,12.5,0,1
59,0,0,0,12,41,18611,0,40,1,1,0,0,1,0,0,1,0,0,0,17,0,1
44,0,0,0,16,22,530,1,43,1,1,0,0,1,0,2,1,0,0,0,19.23,0,1
53,0,0,0,16,31,24215,0,50,1,1,0,0,1,0,2,1,0,0,0,30.76,0,1
54,0,0,0,16,32,94315,1,38,1,1,0,0,1,0,2,1,0,0,0,54.66,0,1
46,0,0,0,12,28,36349,0,50,1,1,0,0,1,0,1,1,0,0,0,14.98,0,1
25,0,0,0,14,5,98588,0,30,1,0,0,0,1,0,0,1,1,0,0,8,0,1
49,0,0,0,12,31,9101,0,40,1,1,0,0,1,0,0,1,0,0,0,12.75,0,1
55,0,0,0,12,37,20135,1,40,1,1,0,0,1,0,0,1,0,0,0,13.75,0,1
56,0,0,0,12,38,41685,1,40,1,1,0,0,1,0,0,1,0,0,0,30,0,1
38,0,0,0,12,20,64043,0,40,0,1,1,0,1,0,4,1,0,0,0,20,0,1
42,0,0,0,16,20,50500,1,50,1,1,0,0,1,0,2,1,0,0,0,8,0,1
33,0,0,0,16,11,300,0,45,1,1,0,0,1,0,3,1,0,0,0,64.11,0,1
41,0,0,0,12,23,30032,0,40,1,1,0,0,0,0,0,1,0,0,0,31.25,0,1
77,0,0,0,16,55,0,0,12,0,1,0,1,0,0,2,1,0,0,0,83.33,0,1
45,0,0,1,12,27,0,0,40,1,0,0,0,0,0,0,1,0,0,0,15.5,0,1
23,0,0,0,14,3,0,0,40,1,0,0,0,0,0,0,1,1,0,0,20,0,1
62,0,0,0,14,42,30000,1,40,1,1,0,0,0,0,0,1,0,0,0,30,0,1
31,0,0,0,16,9,80100,0,40,1,1,0,0,0,0,0,1,0,0,0,44.22,0,1
31,0,0,0,16,9,91700,1,40,1,1,0,0,0,0,0,1,0,0,0,36.05,0,1
57,0,0,0,12,39,0,1,40,1,0,0,0,0,0,0,1,1,0,0,16.43,0,1
58,0,0,1,13,39,0,0,60,1,0,0,0,0,0,0,1,0,0,0,15,0,1
20,0,0,0,12,2,0,0,35,0,0,0,0,0,0,0,1,1,0,0,10.4,0,1
18,0,0,0,12,0,0,1,25,1,0,1,0,0,0,0,1,1,0,0,7.25,0,1
60,0,0,0,12,42,15645,0,55,0,1,0,0,0,0,0,1,0,0,0,11.5,0,1
56,0,0,0,12,38,81002,1,40,0,1,0,0,0,0,0,1,0,0,1,17.41,0,1
51,0,0,1,16,29,0,1,36,1,0,0,0,0,0,0,1,0,0,0,18,0,1
53,0,0,1,12,35,33478,0,35,0,0,0,0,0,0,0,1,0,0,0,9,0,1
56,0,0,0,9,41,0,0,37,0,0,0,0,0,0,0,1,1,0,0,11,0,1
49,0,0,0,18,25,53483,1,40,1,1,0,0,0,0,2,1,0,0,1,18.27,0,1
55,0,0,0,16,33,10000,0,48,1,1,0,0,1,0,0,1,0,0,0,26.04,0,1
56,0,0,0,16,34,100001,1,40,1,1,0,0,1,0,0,1,0,0,0,16.83,0,1
61,0,0,0,16,39,9550,1,40,1,1,0,0,1,0,0,1,0,0,0,57.7,0,1
63,0,0,1,14,43,0,1,40,0,0,0,0,1,0,0,1,0,0,0,8.75,0,1
53,0,0,0,16,31,0,1,20,0,0,0,0,1,0,0,1,1,0,0,48.05,0,1
58,0,0,0,18,34,286470,1,40,1,1,0,0,1,0,1,1,0,0,0,38.45,0,1
23,0,0,0,16,1,346940,0,40,1,0,0,0,1,0,0,1,1,0,0,15,0,1
39,0,0,0,12,21,50000,0,40,1,1,0,0,1,0,0,1,0,0,0,24.05,0,1
38,0,0,0,16,16,0,0,40,1,1,0,0,1,0,1,1,0,0,0,18.75,0,1
45,0,0,0,12,27,59500,0,44,1,1,0,0,1,0,1,1,0,0,1,28,0,1
47,0,0,0,12,29,84500,1,40,1,1,0,0,1,0,1,1,0,0,0,19.5,0,1
35,0,0,0,16,13,40000,0,40,1,1,0,0,1,0,2,1,0,0,0,39,0,1
69,0,0,0,16,47,14264,0,40,1,1,0,1,1,0,0,1,0,0,0,16,0,1
56,0,0,0,12,38,22000,0,50,1,1,0,0,0,0,0,1,0,0,0,14.5,0,1
58,0,0,0,12,40,97600,1,38,1,1,0,0,0,0,0,1,0,0,1,20.25,0,1
55,0,0,0,20,29,61685,1,40,1,1,0,0,1,0,0,1,0,0,0,64.9,0,1
45,0,0,0,14,25,83000,1,40,1,1,0,0,1,0,0,1,0,0,0,26.25,0,1
49,0,0,0,18,25,41600,0,40,1,1,0,0,1,0,1,1,0,0,0,18.75,0,1
50,0,0,0,13,31,40000,1,40,1,1,0,0,1,0,1,1,0,0,0,13.75,0,1
27,0,0,0,16,5,0,1,38,1,0,0,0,0,0,0,1,1,0,0,15.35,0,1
29,0,0,0,16,7,0,0,50,1,0,0,0,0,0,0,1,1,0,0,12.36,0,1
52,0,0,0,18,28,13620,1,45,1,1,0,0,0,0,1,1,0,0,1,42,0,1
60,0,0,0,12,42,0,0,40,1,1,0,0,0,0,0,1,0,0,0,31.25,0,1
41,0,0,0,18,17,71825,0,45,1,1,0,0,0,0,2,1,0,0,0,57.69,0,1
42,0,0,0,20,16,127825,1,50,1,1,0,0,0,0,2,1,0,0,0,25.97,0,1
43,0,0,0,13,24,36000,0,40,1,1,0,0,0,0,0,1,0,0,0,20,0,1
41,0,0,0,12,23,41002,1,36,1,1,0,0,0,0,0,1,0,0,0,13,0,1
32,0,0,0,12,14,0,0,50,1,0,0,0,0,0,0,1,1,0,0,19.75,0,1
48,0,0,0,12,30,54000,0,40,1,1,0,0,0,0,0,1,0,0,0,12,0,1
61,0,0,0,12,43,50320,0,40,1,1,0,0,0,0,1,1,0,0,0,15,0,1
31,0,0,0,12,13,61252,0,40,1,0,0,0,0,0,0,1,1,0,0,9,0,1
59,0,0,0,16,37,5681,0,40,1,1,0,0,0,0,1,1,0,0,1,14,0,1
65,0,0,0,20,39,73500,0,50,1,1,0,0,0,0,0,1,0,0,0,32.7,0,1
65,0,0,0,16,43,85101,1,45,1,1,0,0,0,0,0,1,0,0,0,33.5,0,1
55,0,0,0,12,37,59039,0,50,1,1,0,0,0,0,3,1,0,0,0,45,0,1
54,0,0,0,16,32,112037,1,40,1,1,0,0,0,0,3,1,0,0,0,21,0,1
31,0,0,0,12,13,89000,1,38,1,1,0,0,0,0,2,1,0,0,0,20,0,1
32,0,0,0,16,10,40000,0,45,1,1,0,0,0,0,2,1,0,0,0,11.96,0,1
54,0,0,0,18,30,92358,1,55,1,1,0,0,0,0,2,1,0,0,1,23.42,0,1
55,0,0,0,16,33,50000,0,45,1,1,0,0,0,0,0,1,0,0,0,31.2,0,1
35,0,0,0,12,17,50050,1,45,0,1,0,0,0,0,2,1,0,0,0,19.22,0,1
51,0,0,0,18,27,0,1,40,1,0,0,0,0,0,0,1,1,0,1,28.38,0,1
46,0,0,0,14,26,0,1,55,1,0,0,0,0,0,0,1,1,0,0,24,0,1
30,0,0,0,16,8,0,0,45,1,0,0,0,0,0,0,1,1,0,0,11.96,0,1
48,0,0,0,16,26,0,0,50,1,0,0,0,0,0,0,1,1,0,0,18.08,0,1
26,0,0,0,12,8,0,0,40,1,0,0,0,0,0,2,1,1,0,0,15,0,1
43,0,0,0,12,25,30011,0,60,1,1,0,0,0,0,2,1,0,0,0,16.02,0,1
58,0,0,0,16,36,38063,0,42,1,1,0,0,0,0,0,1,0,0,0,16.5,0,1
57,0,0,0,13,38,40063,1,40,1,1,0,0,0,0,0,1,0,0,0,18.03,0,1
50,0,0,1,16,28,0,0,40,0,0,0,1,0,0,0,1,0,0,0,10,0,1
46,0,0,0,12,28,0,0,50,1,1,0,0,0,0,0,1,0,0,0,57.7,0,1
59,0,0,0,18,35,34048,1,50,0,1,0,0,0,0,0,1,0,0,0,30,0,1
41,0,0,0,18,17,47162,1,40,1,1,0,0,0,0,2,1,0,0,1,23.08,0,1
35,0,0,0,16,13,51162,0,40,1,1,0,0,0,0,2,1,0,0,0,24.05,0,1
59,0,0,0,18,35,11714,0,60,1,1,0,0,0,0,0,1,0,0,0,18.58,0,1
57,0,0,0,12,39,18199,0,40,1,1,0,0,0,0,1,1,0,0,0,18,0,1
27,0,0,0,12,9,46506,1,35,1,0,1,0,0,0,1,1,1,0,0,4.29,0,1
58,0,0,0,12,40,24100,1,40,1,1,0,0,0,0,1,1,0,0,0,10,0,1
27,0,0,0,12,9,33100,1,35,1,0,0,0,0,0,0,1,1,0,0,9.54,0,1
52,0,0,0,16,30,0,1,47,1,0,0,0,0,0,0,1,1,0,1,23.72,0,1
63,0,0,0,11,46,66000,1,40,0,1,0,0,0,0,0,1,0,0,0,11.5,0,1
60,0,0,0,11,43,22551,0,35,0,1,0,0,0,0,0,1,0,0,0,7.14,0,1
67,0,0,0,12,49,8401,0,40,1,1,0,1,0,0,0,1,0,0,0,15,0,1
64,0,0,0,13,45,30708,1,40,1,1,0,0,0,0,0,1,0,0,1,12,0,1
67,0,0,0,16,45,44736,0,40,1,1,0,1,0,0,0,1,0,0,0,22,0,1
67,0,0,0,16,45,46816,1,53,1,1,0,1,0,0,0,1,0,0,0,15.25,0,1
53,0,0,1,14,33,0,1,35,1,0,0,0,0,0,0,1,0,0,0,11,0,1
41,1,0,0,21,14,0,1,40,1,0,0,0,0,0,0,1,1,0,0,53.38,0,0
51,0,0,0,13,32,32775,1,37,1,1,0,0,0,0,0,1,0,0,0,21,0,1
54,0,0,0,12,36,17400,0,40,1,1,0,0,0,0,0,1,0,0,0,19.23,0,1
21,0,0,0,12,3,28558,0,20,1,0,0,0,0,0,0,1,1,0,0,20,0,1
38,0,0,0,18,14,31000,1,50,1,1,0,0,0,0,0,1,0,0,0,19.24,0,1
63,0,0,0,16,41,0,1,35,1,0,0,0,0,0,0,1,1,0,0,42.86,0,1
65,0,0,0,18,41,0,0,40,0,0,0,1,0,0,0,1,1,0,0,9.6,0,1
30,0,0,0,16,8,30000,1,40,1,1,0,0,1,0,3,1,0,0,0,9.13,0,1
31,0,0,0,12,13,19000,0,40,1,1,0,0,1,0,3,1,0,0,0,7.5,0,1
37,0,1,1,13,18,9360,1,70,1,0,0,0,1,0,1,1,0,0,0,19.23,0,0
40,0,0,0,12,22,0,1,40,1,0,0,0,1,0,0,1,1,0,0,13.5,0,1
39,0,0,0,16,17,50000,0,45,1,1,0,0,1,0,1,1,0,0,0,34.18,0,1
44,0,0,0,16,22,80000,1,40,1,1,0,0,1,0,1,1,0,0,0,24.05,0,1
54,0,0,0,16,32,131600,1,38,1,1,0,0,1,0,0,1,0,0,0,35.31,0,1
37,0,0,0,13,18,0,0,40,1,0,0,0,0,0,2,1,1,0,0,20.67,0,1
34,0,0,0,12,16,0,1,40,0,0,0,0,0,0,0,1,1,0,0,16.83,0,1
33,0,0,0,13,14,0,1,40,0,0,0,0,1,0,0,1,1,0,0,13,0,1
59,0,0,0,12,41,40000,0,40,0,1,0,0,1,0,1,1,0,0,0,14,0,1
29,0,0,1,13,10,0,0,40,0,0,0,0,1,0,1,1,0,0,0,19.23,0,1
36,0,0,0,12,18,12000,0,40,0,1,0,0,1,0,2,1,0,0,0,20.17,0,1
34,0,0,1,14,14,0,1,40,0,0,0,0,1,0,0,1,0,0,0,13.45,0,1
46,0,0,0,16,24,0,0,40,1,0,0,0,1,0,0,1,1,0,0,24.05,0,1
52,0,0,0,13,33,50025,1,35,1,1,0,0,0,0,0,1,0,0,0,25,0,1
55,0,0,0,16,33,41525,0,40,1,1,0,0,0,0,0,1,0,0,0,10,0,1
47,0,0,0,16,25,231,1,40,1,1,0,0,0,0,1,1,0,0,0,39.42,0,1
36,0,0,0,12,18,28000,1,40,0,0,0,0,0,0,4,1,1,0,0,12.5,0,1
61,0,0,0,14,41,50084,1,50,1,1,0,0,0,0,0,1,0,0,0,26.92,0,1
62,0,0,0,14,42,90067,0,40,1,1,0,0,0,0,0,1,0,0,0,13.2,0,1
56,0,0,0,14,36,100,0,40,1,0,0,0,1,0,0,1,1,0,1,39,0,1
