anio,edad,pais,departamento,region,ciudad,genero,estadocivil,hogar,hijos,educacion,actividad,q10,q11,q12,q13,q14,q15r1,q15r2,q15r3,q15r4,q16r1,q16r2,q16r3,q17,q18,q19,q32,q20,q22r1,q22r2,q22r3,q23r1,q23r2,q23r3,q23r4,q23r5,q23r6,q23r7,q23r8,q24r1,q24r2,q24r3,q24r4,q24r5,q25a1,q25a2,q25a3,q25a4,q25a5,q25a6,q25a7,q25a8,q25a9,q25a1d,tratamiento
1993,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,Oeste,Femenino,Soltero(a),4,Sí,Secundaria completa,A cargo de las tareas del hogar/ crianza de los hijos,2,Sí,No,5,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Más de 30,Más de 30,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Malo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,"Si, como mis vecinos",,,,,Placebo
1995,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Femenino,Soltero(a),6,No,Universitaria completa o más,Estudiante,2,No,No,1,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,No sabe / Prefiere no contestar,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Bueno,Depende,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,,,,,,"Si, como mis vecinos",,,,,Placebo
1957,50 a 64 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo distrito naciona,Femenino,Casado(a) / Unión Libre,3,Sí,Universitaria incompleta,Desempleado(a) y buscando trabajo,2,No sabe / Prefiere no contestar,No,1,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Más de 30,Entre 20 y 30,Algo de acuerdo,Una organización que defiende los derechos de las mujeres.,No sabe / Prefiere no contestar,Bueno,Depende,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
1966,50 a 64 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Femenino,Soltero(a),2,No,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),No sabe / Prefiere no contestar,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 20 y 30,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Depende,Depende,Depende,No sabe / Prefiere no contestar,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
2002,18 a 29 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Femenino,Soltero(a),4,No,Universitaria incompleta,Desempleado(a) y buscando trabajo,2,Sí,No,5,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Circunstancias fuera de su control,Entre 20 y 30,Entre 20 y 30,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Malo,Bueno,Depende,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Placebo
1961,50 a 64 años,Republica Dominicana,Santo Domingo,Zona 1,Santo domingo,Masculino,Soltero(a),1,No,Secundaria incompleta,Desempleado(a) y buscando trabajo,2,Sí,Sí,3,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Falta de esfuerzo por su parte,No sabe / Prefiere no contestar,Entre 5 y 10,Algo de acuerdo,Una organización que ayuda a las personas pobres.,No sabe / Prefiere no contestar,Depende,Depende,De acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,"Si, como mis vecinos",,,,,Placebo
1993,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,La capital,Femenino,Soltero(a),4,Sí,Secundaria completa,Desempleado(a) y buscando trabajo,2,Sí,No,2,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,De acuerdo,No sabe / Prefiere no contestar,Entre 20 y 30,Menos de 5 personas,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo en desacuerdo,No sabe / Prefiere no contestar,De acuerdo,Algo de acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,Algo de acuerdo,En desacuerdo,No sabe / Prefiere no contestar,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,,,,,,"Si, como mis vecinos",,,,,Placebo
1997,18 a 29 años,Republica Dominicana,Puerto Plata,Zona 4,Puerto plata,Prefiere no contestar,Prefiere no contestar,4,Prefiere no contestar,Secundaria completa,Empleado(a) de tiempo completo (8 horas por día o más),1 - Más pobres,Sí,No,5,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 10 y 20,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo en desacuerdo,De acuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,,,,,,"Si, como mis vecinos",,,,,Placebo
2000,18 a 29 años,Republica Dominicana,Santiago,Zona 4,Santiago,Femenino,Casado(a) / Unión Libre,2,No,Secundaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,Sí,No,10 - Derecha,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Más de 30,Entre 10 y 20,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,"Si, como mis vecinos",,,,,Placebo
1976,30 a 49 años,Republica Dominicana,Puerto Plata,Zona 4,Puerto plata,Femenino,Casado(a) / Unión Libre,2,Sí,Primaria incompleta,A cargo de las tareas del hogar/ crianza de los hijos,2,Sí,No,3,Entre 20.000 y 28.000,Los tendría como vecinos,No los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Una organización que defiende los derechos de las mujeres.,Depende,Depende,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,Algo en desacuerdo,De acuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,En desacuerdo,Algo de acuerdo,,,,,,,,,Prefiere no contestar,,Placebo
1978,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo este,Femenino,Casado(a) / Unión Libre,4,Sí,Secundaria completa,Desempleado(a) y buscando trabajo,2,Sí,No,10 - Derecha,Entre 0 y 20.000,Los tendría como vecinos,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Falta de esfuerzo por su parte,Más de 30,Entre 20 y 30,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Depende,Depende,Algo de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,,"Si, como mis vecinos",,,,,Placebo
1948,Más de 65 años,Republica Dominicana,Santiago,Zona 4,Santiago,Femenino,Separado(a) / Divorciado(a) / Viudo(a),3,Sí,Universitaria completa o más,Empleado(a) de tiempo parcial (menos de 8 horas por día),2,No,No,9,Entre 38.000 y 57.000,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,De acuerdo,Algo en desacuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi",,,"Si, como mis vecinos",,,,,Placebo
1979,30 a 49 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo Domingo,Femenino,Soltero(a),4,No,Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",3,No,No,10 - Derecha,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Circunstancias fuera de su control,No sabe / Prefiere no contestar,Menos de 5 personas,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,"Si, como mis amigos","Si, como mis conocidos (compañeros de escuela/trabajo/etc.)","Si, como mis empleados o prestadores de servicios para mi",,,,,,,,Placebo
2002,18 a 29 años,Republica Dominicana,Espaillat,Zona 4,Moca,Masculino,Casado(a) / Unión Libre,3,Sí,Secundaria incompleta,Desempleado(a) y buscando trabajo,3,Sí,No,No sabe / Prefiere no contestar,Entre 0 y 20.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,De acuerdo,Circunstancias fuera de su control,Más de 30,Entre 10 y 20,De acuerdo,Una organización que ayuda a las personas pobres.,Bueno,Bueno,Bueno,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Algo en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,"Si, como mis amigos",,,,,,,,,,Placebo
1982,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Femenino,Casado(a) / Unión Libre,4,Sí,Universitaria completa o más,"Negocio propio, independiente o por cuenta propia",2,No,No,6,Entre 38.000 y 57.000,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 5 y 10,Menos de 5 personas,Algo de acuerdo,Una organización que protege el medio ambiente.,Depende,Depende,Depende,Algo de acuerdo,De acuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,"Si, como mis vecinos",,,,,Placebo
1997,18 a 29 años,Republica Dominicana,Distrito Nacional,Zona 1,Santo,Femenino,Soltero(a),5,No,Universitaria completa o más,Estudiante,2,No,No,No sabe / Prefiere no contestar,Entre 20.000 y 28.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,En desacuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 20 y 30,Entre 10 y 20,Algo en desacuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Bueno,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,En desacuerdo,En desacuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,"Si, como mis empleadores",,"Si, como mis vecinos",,,,,Placebo
1979,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo Domingo,Masculino,Soltero(a),4,Sí,Secundaria incompleta,Desempleado(a) y buscando trabajo,2,Sí,No,5,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Falta de esfuerzo por su parte,Más de 30,Entre 5 y 10,De acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo en desacuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,,Placebo
1980,30 a 49 años,Republica Dominicana,Hermanas Mirabal,Zona 4,Santo.  Domingo,Femenino,Prefiere no contestar,2,Sí,Universitaria completa o más,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,8,Entre 0 y 20.000,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,De acuerdo,De acuerdo,Algo de acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,Una organización que ayuda a las personas migrantes.,No sabe / Prefiere no contestar,Depende,Depende,En desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,,,,,,,Ninguna relación,,,Placebo
1973,30 a 49 años,Republica Dominicana,Santo Domingo,Zona 1,Santo domingo este,Femenino,Separado(a) / Divorciado(a) / Viudo(a),4,Sí,Universitaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),2,No,No,4,Entre 38.000 y 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Falta de esfuerzo por su parte,Entre 5 y 10,Entre 10 y 20,De acuerdo,Una organización que defiende los derechos de las mujeres.,Bueno,Bueno,Bueno,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,"Si, como mis conocidos (compañeros de escuela/trabajo/etc.)",,,,,,,,,Placebo
1953,Más de 65 años,Republica Dominicana,Santo Domingo,Zona 1,sto dgo este,Femenino,Casado(a) / Unión Libre,2,Sí,Secundaria completa,No trabaja ni busca trabajo,3,No,No,6,Más de 57.000,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,Algo de acuerdo,De acuerdo,Algo de acuerdo,Circunstancias fuera de su control,Más de 30,No sabe / Prefiere no contestar,De acuerdo,Una organización que protege el medio ambiente.,Depende,Bueno,Bueno,Algo de acuerdo,De acuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,"Si, como mis empleados o prestadores de servicios para mi",,,,"Si, otro",,,"[Si, otro ]especificar",Placebo
1996,18 a 29 años,Republica Dominicana,San Juan,Zona 2,Provincia San Juan de la Maguana.,Femenino,Soltero(a),2,Sí,Secundaria incompleta,Empleado(a) de tiempo completo (8 horas por día o más),1 - Más pobres,Sí,No,10 - Derecha,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,Los tendría como vecinos,Los tendría como vecinos,Los tendría como vecinos,De acuerdo,De acuerdo,En desacuerdo,Circunstancias fuera de su control,Entre 10 y 20,Menos de 5 personas,Algo de acuerdo,Una organización que ayuda a las personas pobres.,Depende,Depende,Depende,Algo de acuerdo,De acuerdo,De acuerdo,No sabe / Prefiere no contestar,No sabe / Prefiere no contestar,De acuerdo,En desacuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,,,,,,Ninguna relación,,,Placebo
