Condition,White,SubID,Gender,Ethnicity,YOB,TookBreak,TookSeriously,AboutGuess,Comments,ExplainChoice,FoodList,ValueName,ValueImportance,ValueDescription,RandomTime,DescOther,Other.Work,Other.Friend,Other.Respect,Intelligent,Strong,Pleasant,Funny,Confident,Mature,Active,Kind,Nice,Warm,Honest,Fair,Moral,Independent,Self.Moral,Self.disappointed,Self.good,Self.uncomfortable,Self.happywself,Self.determined,Self.annoyed,Self.happy,Self.guilty,Self.comfortable,Self.peaceful,Self.uneasy,Self.disgusted,Self.excited,Self.pleased,Self.energetic,Self.angry,Self.bothered,Self.friendly,Self.dissatisfied,Self.fatigued,Self.selfcrit,Self.optimistic,Self.secure,Self.lonely,Choice.happy,Choice.representative,Choice.anyone,Choice.sufficientinfo,Choice.nochoice,Self.Work,Self.Friend,Self.Respect
Obedient,,A32TBIJ0LPVZR9,1,1,1988,1,5,BIAS,,"prior record, screwdriver, 400 in cash no job","2 hamburgers. potatos, cantaloupe, strawberrys tootsie rolls waffles, grapefruit. oranges, steak macaroni, okra",,,,7.936,"hes a rational person, he thinks the same thing i think",7,7,7,3,6,6,3,5,6,5,4,4,3,3,7,6,6,88,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,5,5,4,4,4,5,5,5,4,7,7,7,7,7,7,7,7
Obedient,,alckhav3y6c07,2,1,1969,1,4,how people view others as related to their background,nothing,He had done time for burglary previously.  He was unemployed and might have been stealing stuff to sell for cash.  ,"spahetti, breadsticks, lemonade, green beans, hamburger, water, orange, bagel, smoked sausage, potatoes, water, applesauce, turkey sandwich, potato chips, orange, water, bagel, banana",,,,23.907,"white, intelligent, outgoing, pretty, well-liked.  Enjoys being with people.  They are very logical.  They would be very social.  Like going out with friends and being the life of the party.  ",5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75,2,6,2,5,6,2,5,2,4,5,2,3,4,5,4,2,2,5,3,4,4,5,5,3,5,5,4,3,5,5,5,5
Obedient,,A3OA2641Y3ICVR ,2,1,1971,1,5,Impressions,"very interesting survey.  With my short and precise answers to why I chose the suspect, I wonder if someone completing this task thinks of me as brusque and unfriendly.  Or maybe they think I'm dumb!  I would love to find out what their opinion of me is! ","Steven Jones.  Caught with a screwdriver, flimsy alibi, unemployed, and his prior record.",Strawberry Yogurt and a low fat energy bar.  Two bites of blueberry cobbler.  Two Doritos tacos from Taco bell.  Shrimp Bisque.  Lean Cuisine Salisbury Steak dinner.  Low fat cottage cheese with sugar free pineapple chunks.  Low sugar orange juice.  Soda water.  black coffee. Low sugar Gatorade.,,,,9.209,"I imagine this person (I see her as a white female) is a college student who is active in a few extracurricular campus activities (clubs, societies, etc.) but not in a sorority.  This young lady is intelligent and well-spoken, but speaks softly.  She doesn't smoke or do drugs, and enjoys walking and hiking.  In social situations I can picture her as friendly, but a little reserved until you get to know her.  But given a subject she cares about, she is a good conversationalist.",4,3,6,6,5,7,5,6,5,7,6,6,6,6,7,6,6,50,1,6,1,6,5,1,6,1,6,6,1,1,5,6,5,1,1,5,1,1,1,5,6,1,7,5,6,7,6,3,3,5
Obedient,,A15KLPHCF8PO8E ,1,1,1966,1,4,Something about race?,"As a liberal white person, I was a little uncomfortable that you made me pick the black guy! :)","Has a record, has a lot of cash on hand, alibi is worse than the others'","Ummmm... I just drank some Kool-Aid a few minutes ago. Supper was an egg and bologna sandwich and 2 clementines. Had some cereal around 3:00. Breakfast around 12:30; sandwich and cottage cheese. Some-odd 30 oz. of coffee this morning. Late last night had hamburger helper; also had that for supper, with creamed corn. Lunch yesterday; don't remember. Plenty of coffee.",,,,14.55,"Well, he reasoned a lot like I did. He uses English pretty well, so is probably pretty well educated.",4,4,5,5,4,4,4,5,4,4,4,4,4,4,5,4,4,65,1,4,1,3,5,1,4,1,5,5,1,1,1,1,2,1,1,1,1,1,1,4,5,1,5,5,6,5,6,4,4,5
Obedient,,A24B7YHXL0V66A,1,1,1993,1,4,It was a good study to see if race had anything to do with it.,"No, thank you!","I picked Steven Jones because he was home alone with no others to verify he was there. He had $400 on him at the time, and he had a previous record of burglary.","Salad, pizza, coke, water",,,,4.367,A collage student whom is of a middle class.,6,5,4,2,3,2,3,3,3,2,3,3,2,2,2,3,3,82,7,6,3,7,4,2,5,2,6,5,3,1,4,5,3,1,2,6,2,6,5,5,6,4,7,5,6,7,7,6,5,4
Obedient,,A22HFXBKN3HFN7,2,1,1979,1,5,how people form impressions of other people,no,"has a previous record, had a lot of money and a tool on him, and didn't have a good alibi.","tuna sandwich, soda, water, oatmeal, bananas, strawberries, cookies, artichokes, watermelon, fish, chocolate, milk.",,,,12.738,"smart, thorough, articulate, perfectionist, good student, active social life. praobably has a good relationship with some family if not all and has supportive friends.",6,2,6,6,5,5,3,6,5,6,4,4,3,5,5,6,6,61,6,1,3,1,2,3,1,1,2,1,3,3,1,1,1,2,2,2,3,5,4,1,2,6,7,6,6,6,6,2,1,2
Obedient,,A37QR6OQV71GNJ ,1,1,1979,1,5,i think this study was about decision making and our perception of our own decisions,,"alibi can't be verified / prior conviction for burglary / large amount of cash on person, plus a tool that can be used to break and enter","on Wed / breakfast sandwich, coffee, banana / roast beef sandwich, iced tea / fried rice, chicken, milk / chips and dip /  / on Thur / breakfast sandwich, coffee, apple / chicken salad sandwich, iced tea / pizza and hot wings, soda",,,,10.418,"My first impression of the other person is that they have sound deductive and reasoning skills, and can articulate their conclusions in a clear and concise manner.  I think I would probably get along with this person if we should ever meet.  Compare our answers - as they say, ""Great minds think alike""",6,6,5,7,4,4,5,6,6,5,4,4,4,4,2,4,5,70,1,7,1,7,7,1,7,1,7,7,1,1,5,7,6,1,1,7,1,4,1,7,7,1,7,7,6,6,7,6,6,6
Obedient,,A3E08GRFJJAT2S,1,1,1971,1,4,How people would evaluate someone making a similar descision to thiers who is slightly similar to them in a superfical way.,na," Not much of an alibi, lots of money on him and unemployed, previos convictions for the same crime.","water. Ate hamburgers, spagettii, macaroni and cheese, cherry pie, orange, raisins, lettuce, tomoatoes, pickles,",,,,11.122,"Less educated, not a deep thinker, probably southern and likely religious. All in all, unpleasant inside and out with a real concern for making things very simplistic and easy to undestand, suspisious that everyone is out to get him.",2,1,1,2,3,1,1,1,3,6,5,3,4,5,5,5,4,25,2,2,4,3,6,3,2,1,5,3,4,2,2,3,2,3,5,2,3,7,6,5,5,5,7,7,7,6,2,2,1,4
Rebel Affirmed,NO-WHITE,A1N2L57JTXZJZS,2,2,1988,1,5,first impressions,no,Because he had been convicted of burglary in 2002.,,curiosity about the world,4,I read different types of books in order to understand the world better.,17.257,"The person is smart, outgoing, and friendly. She has good communication skills and likes to socialize with others.",5,5,6,5,5,5,5,5,5,6,5,5,5,5,5,5,6,80,5,2,5,2,2,5,2,2,2,2,4,3,2,2,2,5,5,2,5,6,5,2,2,6,5,4,4,4,5,6,6,6
Rebel Affirmed,NO-WHITE,A3IEGZEXRQ0UIN ,1,3,1973,1,5,"I think it is a personality test, and how one reacts to someone who does not share your belief system. ",,"Peter Allen has witnesses to verify his location at the time of the burglary. /  / Mark Mather hasno criminal record and is employed in a stable job, so its unlikely that he committed the burglary.  Plus he has a dog with him.  It would be difficult to be discreet with an animal by your side while doing the crime.   /  / Steven Jones has a past criminal history of burglary.  He has items that can be used to commit burglary, and he has no eyewitnesses to verify his location as he was home alone.  ",,compassion,5,"I approached a homeless person on the street and talked and listened to him for an extended period of time. /  /  He did not ask for money, but he thanked me for listening to him.  I offered words of advice and he appreciated it very much.  ",19.147,"My first reaction is that he is a an emotional person, as he is still young, and idealistic, which are good qualities to have for someone his age group.  He stands for what he believes in, and his integrity is admirable.  I feel that he is a confident person, and will be very engaging if I were to meet him in a social setting, wether or not I agree with his beliefs. ",2,5,6,6,7,2,4,7,3,7,6,4,4,7,7,7,7,80,1,5,1,4,6,1,2,1,4,4,1,1,2,1,4,1,2,1,1,2,1,1,1,1,5,6,4,6,5,3,2,1
Rebel Affirmed,NO-WHITE,ABBKP0MTSJR0D,1,2,1987,1,4,Perceptions of others based on racial bias,N/A,Possessed screwdriver,,Social Skills,4,Over internet,7.701,Not racist,6,6,5,2,2,5,4,5,6,5,5,5,4,6,5,6,6,40,4,5,3,4,5,2,5,3,4,5,3,2,2,4,5,2,1,5,3,2,3,5,4,3,3,2,3,5,6,3,2,3
Rebel Affirmed,NO-WHITE,A1PKUCF9MTYJIT,2,3,1987,1,5,I think the study was about opinions over stereotypes and how they compare between people.,"Like the other participant, I also felt it was offensive that the black man was the one who stood out most as a suspect. I actually considered choosing one of the other guys.. But I went along with it, and chose the suspect solely on the facts listed and not because of his skin color. The stereotype involved made it extremely difficult to make the right decision.","I chose Steven Jones because of his previous criminal history, and for his possessions when apprehended. It seems unusual to me that someone would have so much cash on hand, and the screwdriver could be used as an instrument for a break-in.",,Compassion,5,"Recently, an elderly man came to my home asking for help. He was filthy, carrying no possessions other than the clothes he was wearing, which happened to be all torn up. It was difficult for me to understand him, so I assumed that he was asking for money. Eventually, he managed to explain that he'd been travelling for a long time and he was hungry. I offered the man as much food and water as he could take, and I stuck a few dollars in his pocket. He thanked me and went on his way. It may not have been much help, but it was the best I could so in my own situation.",18.185,I think that the participant is someone who believes in being fair and standing up for what they strongly believe in. They probably think things through before making a final decision on anything. ,6,6,6,7,7,6,4,7,7,4,6,6,6,7,7,7,7,71,5,4,1,4,4,1,6,2,6,6,1,1,1,1,1,1,1,7,3,7,3,4,4,1,4,1,4,1,4,1,1,1
Rebel Affirmed,,AI3YS9F9B8K3Q ,2,1,1963,1,5,about what others perceive,,Has materials for a burglary and alot of money in his pocket.,,I love the fact that I can make people laugh.,4,"When I was over at my friends and he was not in that good of a mood, but once I started to tell him stories. It made him smile.",9.001,They choose not to make a choice from there beliefs because she is offended by the bias she thinks is in the survey.,4,4,5,5,5,5,3,5,5,5,6,6,6,6,6,6,6,50,1,1,1,6,6,2,6,1,6,6,1,1,3,6,4,1,1,6,NA,1,1,4,6,1,6,5,4,NA,5,2,4,NA
Rebel Affirmed,,A1LRUXWNMTUC6T ,2,1,1984,1,5,First impressions,None,Prior charges,,business skills,4,"I just landed a new job, fresh with my Masters degree.",10.391,This person is very critical of our society,4,5,6,5,4,4,2,4,5,5,5,5,5,5,5,5,6,60,2,5,5,5,5,2,5,5,5,5,2,1,5,5,5,3,4,5,3,5,7,5,4,5,7,7,6,7,7,3,3,4
Rebel Affirmed,,ANNPEFGMB3A7A,1,1,1976,1,5,It was very interesting...,Thank you,"he has a history of burglary, he was home alone, had 400 cash on him and is unemployed...",,sense of humor,4,This past weekend I was with friends and the majority of the time we are laughing so obviously I like to surround myself with people who have a good sense of humor to...,22.496,Racist... He obviously is confrontational and extremely sensitive... He seems to be the kind of person to point the finger everywhere else...,NA,2,1,3,2,2,4,1,1,4,4,3,3,2,3,2,1,71,2,6,4,7,7,2,6,2,6,5,2,1,6,6,6,1,2,5,2,1,6,6,6,1,7,6,7,7,7,2,2,1
Rebel Affirmed,,A113KGJJM85B14 ,2,1,1987,1,4,RACIAL PROFILES,,HE WAS PREVIOUSLY IN JAIL FOR BURGLARY. HE HAD $400 IN CASH AND A SCREWDRIVER WHICH COULD HAVE BEEN USED AS A TOOL TO BREAK IN. HE ALSO HAS A REASON TO NEED MONEY SINCE HE IS UNEMPLOYED.,,SPONTANEITY,2,"ONE NIGHT LAST WEEK MY FRIEND MENTIONED THAT HE WAS INTERESTED IN SEEING THE GRAND CANYON. I ALSO HAD NEVER BEEN, SO AT 2 IN THE MORNING, WE LEFT ON OUR ROADTRIP. DESTINATION:GRAND CANYON.",11.968,"THE OTHER PARTICIPANT STRIKES ME AS A RACIST PERSON WHO THROWS THE ""RACE CARD"" OUT WHENEVER POSSIBLE.",3,1,4,4,5,1,3,3,1,5,4,4,3,4,1,4,4,60,7,4,5,1,1,7,3,6,2,4,4,7,2,2,1,7,5,3,7,6,NA,2,2,4,6,4,3,7,3,1,1,1
Rebel Affirmed,,A10HNQ4NI2FVJ1 ,2,1,1957,1,5,prejudice,,"THE $400 DOLLARS IN CASH CINCHED IT FOR ME, WAS THERE ANY MONEY MISSING FROM THE BURGLERY SCENE? / aLSO HE HAS A HISTORY OF BURGLERY",,PHYSICAL STRENGTH,5,"I flew to another state to see my Dad in an assisted living home, and decided to take him out to lunch. He is wheelchair bound. My sister came along but she is tiny and could not lift him. He weighs 220 lbs. I transferred him with a gaitbelt from the car to the wheelchair and back again all by myself. I weigh 130 lbs. Now that was physical strength.",14.929,"Ok I could say skin color has nothing to do with her decision but it does. She won't answer because she does not want to be prejudice. But if I were a detective I would look at Steven Jones and cross him off the list , because that is the SMART way to aprehend a criminal , and I do not care if he is purple with pink polka dots. The other participant seems like a simpleton to me. ",1,1,1,1,1,4,4,1,1,1,4,4,4,4,4,4,1,67,1,7,1,7,7,1,7,1,7,7,1,1,4,6,5,1,1,5,1,1,1,6,7,1,7,4,4,5,7,1,1,1
Rebel Affirmed,,A3K77Z0B74YKG ,2,1,1963,1,5,Not sure,,"He ahd been arrested before for burglay, had a large amount of cash, no alibi really",,honesty,5,"I thought a grocery store had forgotten to put an article in mt bag. I went back and the store gave me a new one at no cost. When I got home again, i found the article had rolled behind something in my trunk. The next time I was in the store, I asked the manager to charge me for the free one they gave me.",8.57,Not sure I can describe them. They seem very reactionary.,2,4,6,4,4,3,3,3,2,5,4,4,4,4,4,4,3,70,1,6,1,6,6,1,7,1,7,7,1,1,4,5,6,1,1,6,1,1,1,7,7,1,6,6,6,1,7,1,1,1
Rebel Affirmed,,A1C2MEZPIKL579 ,2,1,1980,1,4,How we see out moral behaviour versus others,,"The one I picked had no real alibi, a prior record, and some suspicious items.",,Faith in God,5,"I have been hunting for a job lately because our bills have exceeded our income. I have been putting in tons of applications with no luck. Just when I thought I was out of options, I prayed to God and said, ""I trust You. I know you will put me where I need to be.""  Today I found a job.",83.765,The fact that the other person refused to do this makes me think they are the same type of person that would pull out the race card for any reason. So what if the person was black? ,1,1,3,3,NA,1,2,1,1,6,4,4,3,4,2,4,1,91,1,3,4,3,4,2,5,1,5,5,1,1,2,1,2,1,3,2,1,6,3,4,4,1,7,7,7,7,7,1,1,1
Rebel Affirmed,,A1JEH8JOU63LOB,1,1,1987,1,5,"I think it was about seeing if people resisted ""obvious answers"" based on stereotypes or their refusal to agree with them.",I wonder if that other participant was even real.  He seemed very closed minded.,"Steven Jones seems most likely because his alibi does not put him with anyone else (unlike Peter Allen), he has a previous record that indicates he has committed this kind of crime before, and he had a large sum of cash on his person as well as a tool that could be used to commit burglary.",,Athletic ability,4,"I used to be a talented runner and would lead all of my friends on group runs.  Today was one of my first days back in the ""swing"" of running, and I went with a new friend who is also very athletic.  She seemed winded while we were running, and it made me feel good that we could have a mutually beneficial workout together, showing that I still had some level of ability.",15.205,"I think the person on the right considers themselves very open minded by refusing to participate in this survey because they believe it to be biased.  I think they are not, because a truly open minded person responds to facts rather than immediately assuming that something is biased or unfair.  I think they are probably full of themselves and self-righteous.  I think that they are also probably not very smart, because they can not see that the fact that the Black person being the obvious suspect is probably some element of the survey that we are being assessed on.",2,2,2,2,3,1,1,2,3,6,3,4,3,6,2,3,1,50,3,4,1,5,4,2,4,1,4,6,2,1,3,2,4,2,1,5,2,1,2,5,6,2,6,6,2,6,7,1,1,2
Rebel Affirmed,,A14B6WBPT7B8Q3,2,1,1982,1,5,Perceptions of other people,,"He is unemployed, had previously committed robbery, and was home alone where he would probably have no one to confirm his story.",,creativity,5,"I have been creating hair pieces for babies, girls and women, and they are being received well",1.644,"I think this person clearly young and hotheaded, thinking that everything is a conspiracy. I think the woman is probably liberal, maybe African American since she was very offended by this, I think this person generally gets offensive easily.",3,3,4,6,7,4,3,5,2,6,5,5,4,6,5,6,6,80,2,5,1,6,7,4,7,1,5,5,2,1,3,7,6,1,3,6,1,2,4,5,6,1,7,6,7,7,7,1,3,4
Rebel Affirmed,,AS37H4CFHKDKI,1,1,1953,1,4,About racial prejudice,No,Steven Jone had cash and a screwdriver to enter premise and he had the motive because he needed money.,,Athletic ability.  I raced the kids when they were training for basketball.,4,I ran in a two mile race and took first in my age group.,15.815,"I think he may be perceptive to a degree but he should not prejudge the experiment.  I think he is excessively sensitive to race.  While race can prejudice someone against another, there are other relevant criteria here so I think the person is slightly dogmatic.  Probably in social situations you have to dance around issues to not offend this person.  I don't think this person would be particularly pleasant to be around.",3,3,5,5,6,3,2,2,3,6,4,4,3,5,3,5,5,70,2,5,2,5,5,2,5,2,6,6,1,1,5,5,5,1,1,5,1,2,2,3,2,5,7,5,5,5,5,2,1,2
Rebel Affirmed,,A25ZADCJI3D5AF ,1,1,1981,1,5,Racial profiling.,No. Very interesting study!,"Given the Steven Jones previous record, and possessions when apprehended the evidence suggests he was the burgler. His motive may be related to his unemployment.",,Helping Others,5,I recently helped my girlfriend with her final paper for her bachelors program. I enjoy helping/tutoring my friends/family in their academic studies. It makes me feel good about myself.,,"I can understand their point-of-view, and it would be easy to explain this the way of racial-profiling. However, if you look at the information below the picture their is unbiased information. As such, the participant, would most likely be quick to jump to conclusions in social situation without looking at all the facts. If I were to meet him/her they would probably make quick assumptions about me just on my apperance, and not bother looking at me as a total person.",7,7,7,4,4,4,NA,3,3,4,4,4,3,4,3,3,4,75,1,7,1,7,7,1,7,1,7,7,1,1,7,7,7,1,1,7,1,1,1,7,7,1,7,7,5,4,7,1,1,1
Rebel Affirmed,,A1Y0RCAXK2JAB4,2,1,1982,1,5,"I think this study was about our own perceptions of race, and I think, in particular, it was to see how many people would feel guilty about their choice of suspect after having read the other so-called participant's choice.",No.,"This person does not have a good alibi.  He has a previous record of burglary, had a burglary tool on him, as well as a great deal of cash, which could have been stolen, and has no job--therefore, he might have the necessity to steal cash more than the other two suspects.",,Academic excellence.,4,"In graduate school I was offered an academic fellowship that paid for my tuition and living expenses, as a result of my hard work and excellent grades the previous year.",13.579,"Well, obviously this person is young, and young people tend to be somewhat opinionated and passionate.  I agree that I was disappointed when the black man was the most likely suspect.  However, that was just the case in this instance.  I think this young woman is very sensitive to racial stereotypes.  She is probably compassionate and maybe a little emotional.",4,4,6,4,5,4,4,6,3,5,5,5,5,6,6,6,6,60,1,6,1,6,5,1,6,1,6,7,1,1,2,6,2,1,1,5,1,2,1,6,5,1,4,4,6,6,6,4,4,5
Rebel Affirmed,,A219VCQZADQ45W,2,1,1952,1,5,peoples reactions to suspect,no,"no alibi, already convicted of 1 burglary, had gun and large amount of money on him. is unemployed.",,humor,3,told a funny story about my kid to a group of friends.,14.82,"self righteous, jumps to conclusions,non prejudiced, opinionated, active,protective,serious",3,3,5,4,5,4,4,5,4,6,5,5,4,5,5,4,5,70,1,5,1,5,3,1,5,1,6,5,1,1,1,4,2,1,1,4,1,1,1,2,4,1,6,4,6,6,6,4,4,4
