subject_id,study,cohort,demo_race,demo_gender,demo_firstgen,bedtime_mssd,TotalSleepTime,midpoint_sleep,frac_nights_with_data,daytime_sleep,cum_gpa,term_gpa,term_units,Zterm_units_ZofZ
189,5,lac1,1,1,0,0.207263322,379.4827586,423.4137931,1,14.20689655,4,3.56,50,0.036017421
191,5,lac1,1,1,0,0.094479101,377.8333333,395.6666667,0.827586207,23.83333333,4,4,50,0.036017421
215,5,lac1,1,1,0,0.030682752,424.7241379,346.8103448,1,11.65517241,3.79,4,50,0.036017421
291,5,lac1,1,1,0,0.253243802,433.3043478,460.1304348,0.793103448,25.39130435,1.21,2.32,50,0.036017421
208,5,lac1,0,0,0,0.427612026,382.4642857,539.5535714,0.965517241,37.07142857,2.65,3.53,50,0.036017421
326,5,lac1,0,0,0,1.93218099,399.4705882,560.5882353,0.586206897,29.52941176,1.94,1.79,50,0.036017421
332,5,lac1,1,1,1,0.355330813,359.5,444.1875,0.827586207,23.83333333,3.4,3.69,49,-0.138733771
234,5,lac1,0,0,1,0.961935111,303.4230769,545.5576923,0.896551724,29.53846154,1.91,2.98,49,-0.138733771
104,5,lac1,1,1,0,0.142523531,377.5652174,439.3478261,0.793103448,49.43478261,3.21,3.3,49,-0.138733771
173,5,lac1,1,1,0,0.036193294,400.1851852,344.2037037,0.931034483,10.59259259,2.93,3.06,49,-0.138733771
241,5,lac1,1,1,0,0.242782369,393.5217391,376.1304348,0.793103448,39.86956522,3.81,3.6,49,-0.138733771
349,5,lac1,1,1,0,0.107001134,430.75,351.0625,0.275862069,18.625,3.44,3.61,49,-0.138733771
357,5,lac1,1,1,0,0.234693778,397.8846154,407.8076923,0.896551724,22.73076923,4,4,49,-0.138733771
152,5,lac1,1,0,0,0.173497222,398.3636364,347.0454545,0.379310345,55.72727273,3.98,4,49,-0.138733771
196,5,lac1,1,0,0,0.10685833,456.4642857,316.7678571,0.965517241,20.96428571,3.79,3.18,49,-0.138733771
204,5,lac1,0,0,0,1.873413066,393.5789474,349.1578947,0.655172414,66.36842105,2.15,2.76,49,-0.138733771
289,5,lac1,0,0,0,0.296888889,400.7142857,526.5238095,0.724137931,60.61904762,2.76,3.23,49,-0.138733771
109,5,lac1,1,1,0,0.068976757,422.8275862,415.7068966,1,8.862068966,3.09,2.6,48,-0.313484964
176,5,lac1,1,1,0,0.116625193,418.44,381.1,0.862068966,32.76,2.5,2.33,48,-0.313484964
214,5,lac1,1,1,0,0.24006592,477.4285714,346.0535714,0.965517241,23.21428571,4,4,48,-0.313484964
218,5,lac1,1,1,0,0.102371971,442.1071429,424.3392857,0.965517241,9.714285714,4,4,48,-0.313484964
278,5,lac1,1,1,0,0.772059229,266.8333333,514,0.413793103,162.6666667,2.98,3.56,48,-0.313484964
305,5,lac1,1,1,0,0.100925926,361.4285714,430.9107143,0.965517241,15.28571429,3.52,3.26,48,-0.313484964
306,5,lac1,1,1,0,0.433917942,330.4827586,439.7758621,1,37.79310345,3.56,2.98,48,-0.313484964
116,5,lac1,1,0,0,1.178951556,389.3846154,440.9615385,0.896551724,23.84615385,2.82,3.2,48,-0.313484964
120,5,lac1,1,0,0,0.151092059,445.6071429,316.5178571,0.965517241,22.28571429,3.8,4,48,-0.313484964
147,5,lac1,1,0,0,0.32468254,394.8666667,339.3333333,0.517241379,67.46666667,4,4,48,-0.313484964
164,5,lac1,1,0,0,0.016258192,387.9285714,421.1964286,0.965517241,31.82142857,3.26,3.04,48,-0.313484964
171,5,lac1,1,0,0,0.078486208,414.72,496.16,0.862068966,17.76,3.77,3.25,48,-0.313484964
175,5,lac1,1,0,0,0.213579556,307.3461538,295.5384615,0.896551724,17.76923077,3.4,3.6,48,-0.313484964
183,5,lac1,1,0,0,0.034796981,437.6206897,472.9655172,1,24.5862069,3.41,3.19,48,-0.313484964
249,5,lac1,1,0,0,0.321985597,394.1428571,539.4821429,0.965517241,17.07142857,3.61,3.38,48,-0.313484964
310,5,lac1,0,0,0,0.178527239,398.5,379.6,0.689655172,7.6,3.35,3.38,48,-0.313484964
356,5,lac1,1,0,0,0.156791383,303.75,431.0625,0.275862069,11.875,3.22,1.38,48,-0.313484964
200,5,lac1,1,1,0,0.436563935,463.9130435,366,0.793103448,30.60869565,3.71,3.77,47,-0.488236157
280,5,lac1,1,1,0,0.191501235,352.8125,435.71875,0.551724138,37.5,2.33,3.5,47,-0.488236157
194,5,lac1,1,0,0,0.110142361,370.5238095,451.6904762,0.724137931,27.76190476,3.76,3.38,47,-0.488236157
311,5,lac1,1,1,0,0.173333714,378.25,460.7321429,0.965517241,38.21428571,3.21,2.49,46,-0.66298735
346,5,lac1,1,1,0,0.084680213,361.4736842,395.7631579,0.655172414,19.89473684,3.74,3.48,46,-0.66298735
347,5,lac1,1,1,0,0.094963152,445.5862069,313.4482759,1,31.89655172,3.74,3.74,46,-0.66298735
134,5,lac1,1,0,0,0.32337236,430.0833333,497.0416667,0.413793103,22.33333333,3.79,3.41,46,-0.66298735
313,5,lac1,1,1,1,0.271192444,378.0769231,497,0.896551724,21.65384615,3.29,2.47,45,-0.837738543
334,5,lac1,1,1,1,0.171095994,388.8181818,493.1363636,0.75862069,13.77272727,3.21,2.6,45,-0.837738543
338,5,lac1,1,1,1,0.860001644,388.6428571,442.9642857,0.482758621,47.92857143,3.29,2.87,45,-0.837738543
309,5,lac1,0,0,1,0.098627959,438.6296296,552.2777778,0.931034483,48.03703704,2.57,2.4,45,-0.837738543
148,5,lac1,1,1,0,0.422895299,324.6296296,371.3333333,0.931034483,21.66666667,2,2.8,45,-0.837738543
180,5,lac1,1,1,0,0.031395621,574.3448276,353.7758621,1,15.75862069,3.49,3.6,45,-0.837738543
202,5,lac1,0,1,0,0.173230938,300.3793103,465.4137931,1,61.34482759,1.95,3,45,-0.837738543
229,5,lac1,1,1,0,0.292521529,367.7916667,560.125,0.827586207,28.41666667,3,3.75,45,-0.837738543
266,5,lac1,0,1,0,0.165656888,360.6896552,419.7068966,1,33.89655172,3.07,2.4,45,-0.837738543
284,5,lac1,1,1,0,0.706547068,383.32,531.98,0.862068966,26.28,3,3.6,45,-0.837738543
287,5,lac1,1,1,0,0.226937459,398.9259259,442.3518519,0.931034483,21.48148148,3.39,3.6,45,-0.837738543
288,5,lac1,1,1,0,0.170893327,460.5185185,324.5185185,0.931034483,24.85185185,3.57,2.6,45,-0.837738543
292,5,lac1,1,1,0,0.245657552,349.3529412,473.9411765,0.586206897,14.41176471,3.39,3.8,45,-0.837738543
302,5,lac1,1,1,0,0.134572889,326.5,369.2692308,0.896551724,34.80769231,3.25,3.4,45,-0.837738543
307,5,lac1,1,1,0,0.15196464,399.8928571,358.8035714,0.965517241,17.39285714,2.67,3.13,45,-0.837738543
333,5,lac1,1,1,0,0.137169995,360.6086957,419.0869565,0.793103448,23.08695652,3.79,4,45,-0.837738543
144,5,lac1,1,0,0,0.10466447,431.2758621,352.362069,1,17.79310345,3.05,2.73,45,-0.837738543
264,5,lac1,1,0,0,0.340234316,411.8636364,406.2727273,0.75862069,26.13636364,2.91,3.4,45,-0.837738543
322,5,lac1,1,0,0,0.196002896,421.8928571,424.8214286,0.965517241,40.92857143,2.9,3.36,45,-0.837738543
329,5,lac1,1,0,0,0.235472108,465.9285714,592.5535714,0.965517241,31.71428571,2.84,3.12,45,-0.837738543
149,5,lac1,1,0,0,0.167170569,402.6521739,365.1956522,0.793103448,10.52173913,2.49,2.77,44,-1.012489736
240,5,lac1,0,0,0,0.055016652,370.4482759,404.9310345,1,20.20689655,3.8,3.22,44,-1.012489736
276,5,lac1,1,1,1,0.1557908,338.2916667,362.7916667,0.827586207,11.29166667,3.43,3.21,43,-1.187240929
157,5,lac1,0,0,1,0.071669543,428.6296296,323.7777778,0.931034483,21.2962963,2.44,3.07,43,-1.187240929
119,5,lac1,0,1,0,0.075134283,465.4482759,315.3275862,1,15.34482759,2.7,1.97,43,-1.187240929
136,5,lac1,1,1,0,0.079280045,414.0689655,432.5,1,13.96551724,3.23,3.49,43,-1.187240929
224,5,lac1,1,0,0,0.077541914,345.8928571,414.0714286,0.965517241,21.67857143,4,4,43,-1.187240929
300,5,lac1,1,1,0,0.251342474,413.3793103,386.7068966,1,41.93103448,2.96,3.28,42,-1.361992122
242,5,lac1,1,0,0,0.044951814,413.6206897,420.4310345,1,17.68965517,3.49,3.54,42,-1.361992122
282,5,lac1,1,0,0,0.147337372,416.7241379,384.2413793,1,44.62068966,2.93,3.57,42,-1.361992122
341,5,lac1,1,1,0,0.130785256,351.6296296,408.0555556,0.931034483,5.074074074,3.5,3.51,41,-1.536743315
124,5,lac1,0,0,0,0.075138315,444.9130435,347.3913043,0.793103448,30.52173913,4,4,41,-1.536743315
312,5,lac1,1,0,0,0.222430073,375.08,461.54,0.862068966,33.88,3.47,3.29,41,-1.536743315
297,5,lac1,1,1,0,1.383386111,335.8571429,610.6666667,0.724137931,72.66666667,3.27,3.03,40,-1.711494508
110,5,lac1,1,0,0,0.150463081,392.2413793,387.0862069,1,23.31034483,4,4,40,-1.711494508
166,5,lac1,0,0,0,0.064726474,357.0344828,446.7241379,1,47.06896552,2,1.5,40,-1.711494508
170,5,lac1,1,0,0,0.493485612,348.0833333,430.3958333,0.827586207,22.08333333,2.6,3.08,39,-1.886245701
538,3,uw2,1,0,2,0.032421125,402.9642857,294.8035714,1,23.39285714,3.552758621,3.27,18,1.603330987
518,1,lac2,1,1,1,0.646986765,296.95,466.825,0.689655172,60.6,4,4,53,1.065991594
653,1,lac2,1,1,1,0.185261134,313.8695652,402.0217391,0.793103448,64.95652174,2.98,3.28,50,0.350165843
2,2,uw1,1,1,1,0.422244444,587.6666667,380.3333333,0.214285714,64.5,3.321428036,3.833333,18,1.680126039
6,2,uw1,1,1,1,0.138198222,406.8846154,358.8653846,0.928571429,39.38461538,3.426666267,3.476923,13,-0.497815123
19,2,uw1,1,1,1,0.09267432,411.2666667,349.5333333,0.535714286,27.33333333,3.265517103,3.1,15,0.373361342
32,2,uw1,1,1,1,0.062150968,405.2142857,363.25,1,39.57142857,3.17999955,3.5,10,-1.80457982
33,2,uw1,1,1,1,0.110143652,396.5,410.7678571,1,75.60714286,2.566666,2.992307,13,-0.497815123
34,2,uw1,1,1,1,0.206592971,389,300.4666667,0.535714286,24.26666667,3.740740481,3.478571,14,-0.06222689
37,2,uw1,1,1,1,0.048181299,434,343.3214286,1,8.642857143,3.6999995,3.192857,14,-0.06222689
42,2,uw1,1,1,1,0.095797516,425.4642857,334.0535714,1,25.96428571,3.799999864,3.95,10,-1.80457982
43,2,uw1,1,1,1,0.041141213,394.8928571,362.7142857,1,13.10714286,3.6999995,3.866666,12,-0.933403355
44,2,uw1,0,1,1,0.397048414,469.5,473.8958333,0.857142857,31.29166667,3.126470529,2.728571,14,-0.06222689
50,2,uw1,1,1,1,0.077292899,412.5555556,323.7962963,0.964285714,68.55555556,3.599999619,3.435714,14,-0.06222689
78,2,uw1,1,1,1,0.061395464,408.5555556,397.1666667,0.964285714,34.51851852,3.499999667,3.466666,15,0.373361342
80,2,uw1,1,1,1,0.051161243,430.037037,436.7407407,0.964285714,43.33333333,3.65,3.527777,18,1.680126039
82,2,uw1,1,1,1,0.024217345,398.5,343.8392857,1,21.67857143,3.796551103,3.666666,15,0.373361342
84,2,uw1,1,1,1,0.23578075,377.5357143,423.5178571,1,86.28571429,3.78399956,3.753846,13,-0.497815123
86,2,uw1,1,1,1,0.087243179,394.3928571,324.125,1,98.28571429,3.4875,3.646666,15,0.373361342
89,2,uw1,1,1,1,0.200582336,398.9166667,340.4166667,0.857142857,79.33333333,3.375,2.26923,13,-0.497815123
98,2,uw1,1,1,1,0.889206295,407.3214286,558.7142857,1,99.10714286,3.370967742,3.966666,15,0.373361342
108,2,uw1,1,1,1,0.047048889,498.9230769,452.9423077,0.928571429,24.88461538,3.249999679,3.076923,13,-0.497815123
117,2,uw1,1,1,1,1.282576208,390.4642857,366.1964286,1,63.67857143,3.351724138,2.690909,11,-1.368991587
125,2,uw1,1,1,1,0.800732444,367.8846154,499.6538462,0.928571429,95.92307692,3.279310103,3.766666,15,0.373361342
132,2,uw1,0,1,1,0.089126276,430.4285714,319.6428571,1,71.07142857,2.331817364,3.446153,13,-0.497815123
137,2,uw1,0,1,1,0.23569239,392.8518519,390.4444444,0.964285714,42.2962963,3.6599998,3.533333,15,0.373361342
144,2,uw1,1,1,1,0.141548544,335.1785714,365.3214286,1,52.85714286,3.35599984,2.871428,14,-0.06222689
149,2,uw1,0,1,1,0.113198826,369.2857143,329.5357143,1,97.89285714,2.7,3,12,-0.933403355
169,2,uw1,0,1,1,0.02851547,471.3214286,303.8035714,1,12.57142857,3.543749469,3.517647,17,1.244537807
174,2,uw1,1,1,1,0.203303556,404.9615385,571.25,0.928571429,47.42307692,2.310344414,3.376923,13,-0.497815123
176,2,uw1,1,1,1,0.215095743,374.8888889,419.2962963,0.964285714,23.37037037,2.249999462,2.870588,17,1.244537807
305,3,uw2,1,1,1,0.06082114,434.8571429,394.2321429,1,16.82142857,3.775,3.92,13,-1.000208817
325,3,uw2,1,1,1,0.156672001,353.3214286,413.6964286,1,36.14285714,3.010952381,3.39,16,0.561915066
328,3,uw2,1,1,1,0.123791724,349.5714286,346.1071429,1,98,3.835909091,3.85,13,-1.000208817
357,3,uw2,1,1,1,0.012224127,445.6428571,258.5892857,1,31.17857143,3.16,3.53,15,0.041207105
420,3,uw2,1,1,1,0.066671393,336.0416667,328.25,0.857142857,57.91666667,3.156818182,2.9,12,-1.520916778
421,3,uw2,1,1,1,0.072580018,416.1785714,342.125,1,28.28571429,3.201111111,3.62,18,1.603330987
433,3,uw2,1,1,1,0.114567139,438.8928571,379.1785714,1,24.82142857,3.534444444,3.72,14,-0.479500856
455,3,uw2,1,1,1,0.11494213,373.56,368.72,0.892857143,73.44,2.605714286,2.57,15,0.041207105
457,3,uw2,1,1,1,0.051178324,420.9166667,336.0416667,0.857142857,36.95833333,3.482173913,3.33,16,0.561915066
466,3,uw2,0,1,1,0.030177564,385.0357143,314.7857143,1,11.39285714,3.802083333,3.85,18,1.603330987
470,3,uw2,1,1,1,0.632601411,405.2272727,392.3409091,0.785714286,31.59090909,2.9855,1.55,11,-2.041624739
471,3,uw2,0,1,1,0.080024595,402.6,384.86,0.892857143,73.32,3.800454545,3.25,13,-1.000208817
473,3,uw2,0,1,1,0.12400189,410.1111111,280.537037,0.964285714,50.37037037,3.662727273,3.35,13,-1.000208817
504,3,uw2,0,1,1,1.20157832,335.6296296,377.9259259,0.964285714,41.44444444,2.850714286,2.97,16,0.561915066
517,3,uw2,1,1,1,0.023310185,511.8,392.28,0.892857143,32.12,3.24,2.8,13,-1.000208817
526,3,uw2,1,1,1,0.019544277,409.75,407.5178571,1,30,3.26,3.52,13,-1.000208817
551,3,uw2,1,1,1,0.940313778,414.7692308,426.7692308,0.928571429,70.07692308,3.426551724,3.37,15,0.041207105
305,1,lac2,0,0,1,1.068854167,346.8095238,541.2619048,0.724137931,78.14285714,2.37,2.54,49,0.11155726
322,1,lac2,0,0,1,0.039987954,447.3793103,267.7758621,1,23.44827586,4,3.81,48,-0.127051324
615,1,lac2,1,0,1,2.566892792,250.3913043,628.0434783,0.793103448,80.82608696,3.58,2.55,54,1.304600178
617,1,lac2,0,0,1,2.033929167,320.952381,471.6666667,0.724137931,18.28571429,4,3.63,48,-0.127051324
48,2,uw1,1,0,1,0.031665845,329.037037,389.2222222,0.964285714,50.88888889,3.627272545,3.5,10,-1.80457982
60,2,uw1,0,0,1,0.210721689,388.1785714,372.8571429,1,69.32142857,3.629166333,3.466666,15,0.373361342
90,2,uw1,0,0,1,0.067465972,422.6666667,285.547619,0.75,11.76190476,3.434482069,3.483333,12,-0.933403355
104,2,uw1,0,0,1,0.272334222,405.8461538,334.9615385,0.928571429,34.69230769,3.5249996,3.4,10,-1.80457982
150,2,uw1,0,0,1,1.208914715,368.0434783,382.6304348,0.821428571,48.52173913,2.8999996,3.15,18,1.680126039
154,2,uw1,1,0,1,0.083661748,402.28,404.64,0.892857143,65.28,3.3499995,3.76923,13,-0.497815123
163,2,uw1,1,0,1,0.894180638,474.9259259,445.4814815,0.964285714,59.07407407,3.896774032,4,15,0.373361342
186,2,uw1,1,0,1,0.129168381,419.4736842,373.2631579,0.678571429,51.10526316,3.925806129,3.888888,18,1.680126039
196,2,uw1,0,0,1,0.142839826,414.2962963,380.7222222,0.964285714,26.85185185,3.58749975,3.65,10,-1.80457982
201,2,uw1,1,0,1,0.138447266,391.3529412,396.6176471,0.607142857,36.29411765,2.738461154,2.35,10,-1.80457982
206,2,uw1,0,0,1,0.057496302,351.4814815,376.3148148,0.964285714,111.1851852,3.681818,3.95,10,-1.80457982
209,2,uw1,1,0,1,0.091071864,439.7142857,280.125,1,29.85714286,3.608695435,3.73125,16,0.808949574
304,3,uw2,1,0,1,0.370200694,362.2857143,319.5952381,0.75,82.57142857,2.9484,2.64,15,0.041207105
321,3,uw2,0,0,1,0.121005506,413.7407407,432.1851852,0.964285714,44.03703704,3.048181818,3.67,17,1.082623027
337,3,uw2,0,0,1,0.089489026,411.6428571,445.2321429,1,37.85714286,3.455,2.97,17,1.082623027
398,3,uw2,1,0,1,0.187559823,446.1785714,364.6071429,1,84.82142857,3.13,3,15,0.041207105
400,3,uw2,0,0,1,0.566819845,421.7857143,441.1785714,1,35.67857143,3.0425,3.53,15,0.041207105
406,3,uw2,1,0,1,0.162916095,395.3571429,373.9821429,1,34.67857143,3.7,3.32,18,1.603330987
415,3,uw2,0,0,1,0.102869989,360.75,374.9642857,1,51.57142857,2.206363636,2.54,17,1.082623027
434,3,uw2,1,0,1,0.407269965,438,402.1666667,0.321428571,25.88888889,3.563214286,4,15,0.041207105
440,3,uw2,1,0,1,0.017128487,438.4642857,313.6785714,1,30.21428571,3.818,3.63,15,0.041207105
443,3,uw2,0,0,1,0.039699741,383.7142857,383.4107143,1,53.89285714,2.961363636,3.45,13,-1.000208817
467,3,uw2,0,0,1,0.0188344,438.6428571,266.75,1,23.71428571,3.728181818,3.5,16,0.561915066
472,3,uw2,0,0,1,0.136234187,404.3928571,332.125,1,61.07142857,2.99625,1.8,12,-1.520916778
481,3,uw2,1,0,1,0.189820911,425.7857143,350.5892857,1,29.82142857,3.735,3.4,13,-1.000208817
488,3,uw2,0,0,1,0.376458333,357.3333333,402,0.321428571,18.22222222,3.149333333,2.5,17,1.082623027
496,3,uw2,0,0,1,0.021804401,507.1,322.1,0.714285714,19.85,3.7075,3.1,15,0.041207105
500,3,uw2,0,0,1,0.199746817,447.56,400.04,0.892857143,44.16,3.4136,3.47,15,0.041207105
521,3,uw2,1,0,1,0.172469221,386.2,337.9,0.714285714,47.8,3.456,3.15,13,-1.000208817
535,3,uw2,1,0,1,0.121737558,384.6,341.88,0.892857143,58.96,3.075,2.46,15,0.041207105
543,3,uw2,1,0,1,0.152323579,417.1785714,361.0714286,1,70.60714286,2.617058824,3.35,17,1.082623027
560,3,uw2,0,0,1,0.051465478,509.2857143,405.1607143,1,33.46428571,3.155769231,3.47,16,0.561915066
14847,4,nh,1,1,1,0.131812657,456.5666667,385.4333333,1,51.03333333,3.333166667,3.666833333, , 
17020,4,nh,0,0,1,0.209351852,429.6071429,425.3392857,0.933333333,59.67857143,3.166666667,3.5, , 
18707,4,nh,1,1,1,0.052274078,419.9,310.9,1,57,2.9334,3.277833333, , 
51723,4,nh,1,0,1,0.265968809,273.9166667,455.75,0.8,30.5,2.8002,3.4668, , 
72885,4,nh,1,0,1,0.083405668,356.8333333,414.4166667,1,45.76666667,3.3334,3.2666, , 
79897,4,nh,1,1,1,0.079217532,384.2,369.4833333,1,52.33333333,3.722166667,3.722333333, , 
92566,4,nh,1,0,1,0.161342456,327.5185185,362.2037037,0.9,39.74074074,3.6666,3.809571429, , 
94455,4,nh,1,0,1,0.100262667,275.8461538,382.0961538,0.866666667,40.84615385,3.055666667,3.333333333, , 
334,1,lac2,1, ,0,0.171855513,315.6206897,436.1896552,1,18.48275862,3.2,3.63,55,1.543208762
424,3,uw2,1, ,0,0.096448331,480.6071429,327.4642857,1,23.82142857,3.140833333,2.8,15,0.041207105
293,1,lac2,1,1,0,0.050011917,370.037037,500.3333333,0.931034483,11.74074074,4,3.76,49,0.11155726
294,1,lac2,1,1,0,0.047560282,406.76,359.48,0.862068966,49.72,4,3.55,49,0.11155726
297,1,lac2,0,1,0,0.163861762,253.7647059,398.2352941,0.586206897,178.4705882,3,3.59,46,-0.604268491
303,1,lac2,1,1,0,0.785404339,411.8518519,532.1111111,0.931034483,26.14814815,3.8,3.46,39,-2.274528576
304,1,lac2,0,1,0,0.153815746,408.1111111,354.037037,0.931034483,71.62962963,3.17,3.5,39,-2.274528576
315,1,lac2,1,1,0,0.415880067,430.125,471.7083333,0.827586207,19.41666667,4,3.61,47,-0.365659907
321,1,lac2,1,1,0,0.10691358,357.72,431.52,0.862068966,35.4,4,3.44,54,1.304600178
333,1,lac2,1,1,0,0.045117932,402.1481481,444.2777778,0.931034483,52.88888889,3.79,4,46,-0.604268491
337,1,lac2,1,1,0,0.188245111,367.7586207,425.2931034,1,10.55172414,3.57,3.81,51,0.588774427
338,1,lac2,1,1,0,0.645294214,366.4074074,406.2037037,0.931034483,35.62962963,3.7,3.57,50,0.350165843
342,1,lac2,1,1,0,0.109858667,455.6153846,434.0961538,0.896551724,23.5,4,4,51,0.588774427
343,1,lac2,1,1,0,0.757776063,330.8947368,551.2105263,0.655172414,40.31578947,2.92,3.12,50,0.350165843
350,1,lac2,1,1,0,0.347546667,406.7307692,391.3653846,0.896551724,10.96153846,3.74,3.81,52,0.827383011
