Rank	Time	Wind	Name	Country	Birthdate	City	Date
70	9.83	-0.5	Asafa Powell	JAM	23.11.82	Ostrava	27.05.2010
70	9.83	+0.7	Justin Gatlin	USA	10.02.82	Rieti	07.09.2014
70	9.83	+1.7	Justin Gatlin	USA	10.02.82	Eugene	03.07.2016
70	9.83	+0.9	Su Bingtian	CHN	29.08.89	Tokyo	01.08.2021
70	9.83	+0.9	Ronnie Baker	USA	15.10.93	Tokyo	01.08.2021
78	9.84	+0.7	Donovan Bailey	CAN	16.12.67	Atlanta	27.07.1996
78	9.84	+0.2	Bruny Surin	CAN	12.07.67	Sevilla	22.08.1999
78	9.84	+1.8	Asafa Powell	JAM	23.11.82	Kingston	07.05.2005
78	9.84	+1.0	Tyson Gay	USA	09.08.82	Z&uuml;rich	18.08.2006
78	9.84	-0.5	Tyson Gay	USA	09.08.82	Indianapolis	22.06.2007
78	9.84	-0.3	Asafa Powell	JAM	23.11.82	Bruxelles	14.09.2007
78	9.84	+0.9	Asafa Powell	JAM	23.11.82	Berlin	16.08.2009
78	9.84	-0.3	Usain Bolt	JAM	21.08.86	Saint-Denis	16.07.2010
78	9.84	0.0	Tyson Gay	USA	09.08.82	Stockholm	06.08.2010
78	9.84	+0.5	Yohan Blake	JAM	26.12.89	Georgetown	09.05.2012
78	9.84	+1.8	Asafa Powell	JAM	23.11.82	Kingston	09.05.2015
78	9.84	+1.3	Trayvon Bromell	USA	10.07.95	Eugene	25.06.2015
78	9.84	+0.9	Asafa Powell	JAM	23.11.82	Kingston	26.06.2015
78	9.84	+1.6	Trayvon Bromell	USA	10.07.95	Eugene	03.07.2016
78	9.84	+1.2	Akani Simbine	RSA	21.09.93	Sz&eacute;kesfeh&eacute;rv&aacute;r	06.07.2021
78	9.84	+0.1	Fred Kerley	USA	07.05.95	Tokyo	01.08.2021
78	9.84	+0.9	Lamont Marcell Jacobs	ITA	26.09.94	Tokyo	01.08.2021
95	9.85	+1.2	Leroy Burrell	USA	21.02.67	Lausanne	06.07.1994
95	9.85	+0.8	Maurice Greene	USA	23.07.74	Roma	07.07.1999
95	9.85	+0.6	Justin Gatlin	USA	10.02.82	Ath&iacute;nai	22.08.2004
95	9.85	+0.6	Asafa Powell	JAM	23.11.82	Ostrava	09.06.2005
95	9.85	+1.7	Olusoji Adekotunbo Fasuba	NGR	09.07.84	Ad-Dawhah	12.05.2006
95	9.85	+0.1	Asafa Powell	JAM	23.11.82	Saint-Denis	08.07.2006
95	9.85	+0.5	Asafa Powell	JAM	23.11.82	Roma	14.07.2006
95	9.85	-0.5	Tyson Gay	USA	09.08.82	Osaka	26.08.2007
95	9.85	+1.7	Tyson Gay	USA	09.08.82	New York City	31.05.2008
95	9.85	-0.1	Usain Bolt	JAM	21.08.86	Kingston	28.06.2008
95	9.85	-0.1	Usain Bolt	JAM	21.08.86	Beijing	16.08.2008
95	9.85	+2.0	Asafa Powell	JAM	23.11.82	Shanghai	20.09.2009
95	9.85	+0.1	Nesta Carter	JAM	11.10.85	Bruxelles	27.08.2010
95	9.85	+1.3	Mike Rodgers	USA	24.04.85	Eugene	04.06.2011
95	9.85	+1.0	Richard Thompson	TTO	07.06.85	Port of Spain	13.08.2011
95	9.85	+0.1	Usain Bolt	JAM	21.08.86	Zagreb	13.09.2011
95	9.85	+0.6	Asafa Powell	JAM	23.11.82	Oslo	07.06.2012
95	9.85	+1.6	Yohan Blake	JAM	26.12.89	Luzern	17.07.2012
95	9.85	+1.7	Yohan Blake	JAM	26.12.89	London	05.08.2012
95	9.85	+0.2	Usain Bolt	JAM	21.08.86	London	26.07.2013
95	9.85	-0.3	Justin Gatlin	USA	10.02.82	Moskva	11.08.2013
95	9.85	+0.9	Christian Coleman	USA	06.03.96	Oslo	13.06.2019
95	9.85	+1.5	Marvin Bracy	USA	15.12.93	Miramar	05.06.2021
95	9.85	+0.8	Ronnie Baker	USA	15.10.93	Eugene	20.06.2021
95	9.85	-0.4	Marvin Bracy	USA	15.12.93	Memphis	15.08.2021
120	9.86	+1.2	Carl Lewis	USA	01.07.61	Tokyo	25.08.1991
120	9.86	-0.4	Frank Fredericks	NAM	02.10.67	Lausanne	03.07.1996
120	9.86	+0.2	Maurice Greene	USA	23.07.74	Ath&iacute;nai	03.08.1997
120	9.86	+1.8	Ato Boldon	TTO	30.12.73	Walnut	19.04.1998
120	9.86	-0.4	Ato Boldon	TTO	30.12.73	Ath&iacute;nai	17.06.1998
120	9.86	+0.1	Ato Boldon	TTO	30.12.73	Ath&iacute;nai	16.06.1999
120	9.86	+0.4	Ato Boldon	TTO	30.12.73	Lausanne	02.07.1999
120	9.86	-0.2	Maurice Greene	USA	23.07.74	Berlin	01.09.2000
120	9.86	+0.6	Francis Obikwelu	POR	22.11.78	Ath&iacute;nai	22.08.2004
120	9.86	+0.2	Asafa Powell	JAM	23.11.82	Stockholm	25.07.2006
120	9.86	-0.5	Asafa Powell	JAM	23.11.82	Berlin	03.09.2006
120	9.86	-0.2	Usain Bolt	JAM	21.08.86	Kingston	27.06.2009
120	9.86	+0.1	Usain Bolt	JAM	21.08.86	Daegu	19.05.2010
120	9.86	+1.0	Nesta Carter	JAM	11.10.85	Nottwil	08.08.2010
120	9.86	+2.0	Asafa Powell	JAM	23.11.82	Budapest	30.07.2011
120	9.86	+1.4	Keston Bledman	TTO	08.03.88	Port of Spain	23.06.2012
120	9.86	+1.8	Tyson Gay	USA	09.08.82	Eugene	24.06.2012
120	9.86	+1.1	Usain Bolt	JAM	21.08.86	Kingston	29.06.2012
120	9.86	+0.3	Usain Bolt	JAM	21.08.86	Bruxelles	07.09.2012
120	9.86	-0.4	Justin Gatlin	USA	10.02.82	Ostrava	17.06.2014
120	9.86	+1.1	Keston Bledman	TTO	08.03.88	Port of Spain	27.06.2015
120	9.86	+1.3	Jimmy Vicaut	FRA	27.02.92	Saint-Denis	04.07.2015
120	9.86	+0.9	Mike Rodgers	USA	24.04.85	Beijing	23.08.2015
120	9.86	+1.8	Jimmy Vicaut	FRA	27.02.92	Montreuil	07.06.2016
120	9.86	+2.0	Trayvon Bromell	USA	10.07.95	Eugene	03.07.2016
120	9.86	+0.2	Usain Bolt	JAM	21.08.86	Rio de Janeiro	14.08.2016
120	9.86	+0.9	Noah Lyles	USA	18.07.97	Shanghai	18.05.2019
120	9.86	+0.9	Christian Coleman	USA	06.03.96	Shanghai	18.05.2019
120	9.86	+0.8	Divine Oduduru	NGR	07.10.96	Austin	07.06.2019
120	9.86	+1.6	Michael Norman	USA	03.12.97	Fort Worth	20.07.2020
120	9.86	+0.8	Fred Kerley	USA	07.05.95	Eugene	20.06.2021
120	9.86	+0.6	Ferdinand Omurwa	KEN	02.01.96	Andorf	14.08.2021
152	9.87	+0.3	Linford Christie	GBR	02.04.60	Stuttgart	15.08.1993
152	9.87	+1.9	Frank Fredericks	NAM	02.10.67	Helsinki	25.06.1996
152	9.87	+1.3	Ato Boldon	TTO	30.12.73	Ath&iacute;nai	02.08.1997
152	9.87A	-0.2	Obadele Thompson	BAR	30.03.76	Johannesburg	11.09.1998
152	9.87	+0.6	Maurice Greene	USA	23.07.74	Stockholm	30.07.1999
152	9.87	-0.3	Maurice Greene	USA	23.07.74	Sydney	23.09.2000
152	9.87	+0.6	Maurice Greene	USA	23.07.74	Ath&iacute;nai	22.08.2004
152	9.87	+0.2	Asafa Powell	JAM	23.11.82	Bruxelles	03.09.2004
152	9.87	+0.7	Asafa Powell	JAM	23.11.82	Gateshead	31.08.2008
152	9.87	+0.4	Asafa Powell	JAM	23.11.82	Stuttgart	13.09.2008
152	9.87	+0.4	Justin Gatlin	USA	10.02.82	Ad-Dawhah	11.05.2012
152	9.87	+1.0	Usain Bolt	JAM	21.08.86	London	05.08.2012
152	9.87	+1.8	Nesta Carter	JAM	11.10.85	Madrid	13.07.2013
152	9.87	0.0	Justin Gatlin	USA	10.02.82	Beijing	21.05.2014
152	9.87	+1.6	Asafa Powell	JAM	23.11.82	Austin	23.08.2014
152	9.87	0.0	Tyson Gay	USA	09.08.82	Eugene	26.06.2015
152	9.87	0.0	Asafa Powell	JAM	23.11.82	Luzern	14.07.2015
152	9.87	0.0	Asafa Powell	JAM	23.11.82	Bellinzona	21.07.2015
152	9.87	-1.2	Usain Bolt	JAM	21.08.86	London	24.07.2015
152	9.87	-0.8	Usain Bolt	JAM	21.08.86	London	24.07.2015
152	9.87	-0.1	Ronnie Baker	USA	15.10.93	Chorz&oacute;w	22.08.2018
152	9.87	-0.1	Justin Gatlin	USA	10.02.82	Palo Alto	30.06.2019
174	9.88	+1.2	Leroy Burrell	USA	21.02.67	Tokyo	25.08.1991
174	9.88	-0.1	Ato Boldon	TTO	30.12.73	Kuala Lumpur	17.09.1998
174	9.88	+2.0	Ato Boldon	TTO	30.12.73	Oslo	13.07.2001
174	9.88	+1.8	Shawn Crawford	USA	14.01.78	Eugene	19.06.2004
174	9.88	+0.4	Justin Gatlin	USA	10.02.82	Helsinki	07.08.2005
174	9.88	+2.0	Tyson Gay	USA	09.08.82	R&eacute;thymno	21.07.2006
174	9.88	+1.1	Tyson Gay	USA	09.08.82	Ath&iacute;nai	16.09.2006
174	9.88	+0.4	Asafa Powell	JAM	23.11.82	Stockholm	22.07.2008
174	9.88	+0.4	Asafa Powell	JAM	23.11.82	Roma	10.07.2009
174	9.88	0.0	Asafa Powell	JAM	23.11.82	Z&uuml;rich	28.08.2009
174	9.88	-0.2	Tyson Gay	USA	09.08.82	Thessalon&iacute;ki	12.09.2009
174	9.88	+1.2	Asafa Powell	JAM	23.11.82	Ostrava	27.05.2010
174	9.88	+1.0	Walter Dix	USA	31.01.86	Nottwil	08.08.2010
174	9.88	+0.9	Ryan Bailey	USA	13.04.89	Rieti	29.08.2010
174	9.88	+1.0	Michael Frater	JAM	06.10.82	Lausanne	30.06.2011
174	9.88	+1.0	Usain Bolt	JAM	21.08.86	Monaco	22.07.2011
174	9.88	+0.4	Asafa Powell	JAM	23.11.82	Ad-Dawhah	11.05.2012
174	9.88	+1.1	Asafa Powell	JAM	23.11.82	Kingston	29.06.2012
174	9.88	+1.5	Ryan Bailey	USA	13.04.89	London	04.08.2012
174	9.88	+1.5	Ryan Bailey	USA	13.04.89	London	05.08.2012
174	9.88	+1.5	Tyson Gay	USA	09.08.82	Eugene	30.05.2015
174	9.88	+1.4	Mike Rodgers	USA	24.04.85	Madrid	11.07.2015
174	9.88	+1.0	Usain Bolt	JAM	21.08.86	Kingston	11.06.2016
174	9.88	+1.9	Jimmy Vicaut	FRA	27.02.92	Angers	25.06.2016
174	9.88	+1.1	Noah Lyles	USA	18.07.97	Des Moines	22.06.2018
174	9.88	+0.8	Ronnie Baker	USA	15.10.93	Paris	30.06.2018
174	9.88	-0.3	Christian Coleman	USA	06.03.96	Ad-Dawhah	28.09.2019
174	9.88	+1.5	Trayvon Bromell	USA	10.07.95	Jacksonville	30.04.2021
174	9.88	+1.9	Ronnie Baker	USA	15.10.93	Eugene	19.06.2021
203	9.89	+0.7	Frank Fredericks	NAM	02.10.67	Atlanta	27.07.1996
203	9.89	+0.8	Ato Boldon	TTO	30.12.73	Modesto	10.05.1997
203	9.89	+1.5	Bruny Surin	CAN	12.07.67	Montr&eacute;al	01.08.1998
203	9.89	+0.9	Maurice Greene	USA	23.07.74	Roma	12.07.2002
203	9.89	0.0	Shawn Crawford	USA	14.01.78	Ath&iacute;nai	21.08.2004
203	9.89	+0.6	Shawn Crawford	USA	14.01.78	Ath&iacute;nai	22.08.2004
203	9.89	+1.0	Justin Gatlin	USA	10.02.82	London	22.07.2005
203	9.89	+0.9	Asafa Powell	JAM	23.11.82	Stuttgart	09.09.2006
203	9.89	+1.6	Travis Padgett	USA	13.12.86	Eugene	28.06.2008
203	9.89	+1.6	Darvis Patton	USA	04.12.77	Eugene	28.06.2008
203	9.89	+0.4	Usain Bolt	JAM	21.08.86	Stockholm	22.07.2008
203	9.89	0.0	Richard Thompson	TTO	07.06.85	Beijing	16.08.2008
203	9.89	+1.1	Asafa Powell	JAM	23.11.82	Szczecin	17.09.2008
203	9.89	+0.2	Usain Bolt	JAM	21.08.86	Berlin	16.08.2009
203	9.89	+2.0	Darvis Patton	USA	04.12.77	Shanghai	20.09.2009
203	9.89	-0.4	Yohan Blake	JAM	26.12.89	London	13.08.2010
203	9.89	+2.0	Steve Mullings	JAM	29.11.82	Clermont	21.05.2011
203	9.89	+1.3	Ngonidzashe Makusha	ZIM	11.03.87	Des Moines	10.06.2011
203	9.89	+1.3	Nesta Carter	JAM	11.10.85	Bruxelles	16.09.2011
203	9.89	+0.9	Keston Bledman	TTO	08.03.88	Orlando	26.05.2012
203	9.89	+1.1	Justin Gatlin	USA	10.02.82	Des Moines	21.06.2013
203	9.89	+1.9	Akani Simbine	RSA	21.09.93	Sz&eacute;kesfeh&eacute;rv&aacute;r	18.07.2016
203	9.89	+0.2	Justin Gatlin	USA	10.02.82	Rio de Janeiro	14.08.2016
203	9.89	+1.4	Mike Rodgers	USA	24.04.85	Des Moines	21.06.2018
203	9.89	+0.7	Noah Lyles	USA	18.07.97	Des Moines	22.06.2018
203	9.89	+0.6	Justin Gatlin	USA	10.02.82	Ad-Dawhah	28.09.2019
203	9.89	+0.2	Isiah Young	USA	05.01.90	Clermont	30.05.2021
203	9.89	+0.8	Kenneth Bednarek	USA	14.10.98	Eugene	20.06.2021
203	9.89	+0.1	Andre De Grasse	CAN	10.11.94	Tokyo	01.08.2021
232	9.90	+1.9	Leroy Burrell	USA	21.02.67	New York City	14.06.1991
232	9.90	+0.7	Ato Boldon	TTO	30.12.73	Atlanta	27.07.1996
232	9.90	+0.2	Maurice Greene	USA	23.07.74	Indianapolis	13.06.1997
232	9.90	+1.0	Maurice Greene	USA	23.07.74	Lausanne	02.07.1997
232	9.90	0.0	Ato Boldon	TTO	30.12.73	Stuttgart	13.07.1997
232	9.90	+1.3	Maurice Greene	USA	23.07.74	Ath&iacute;nai	02.08.1997
232	9.90	+0.5	Maurice Greene	USA	23.07.74	Ath&iacute;nai	03.08.1997
232	9.90	+0.2	Frank Fredericks	NAM	02.10.67	Bruxelles	22.08.1997
232	9.90	+0.3	Maurice Greene	USA	23.07.74	Stockholm	05.08.1998
232	9.90	+0.3	Maurice Greene	USA	23.07.74	Eugene	21.06.2001
232	9.90	+1.1	Maurice Greene	USA	23.07.74	Lausanne	04.07.2001
232	9.90	+0.5	Asafa Powell	JAM	23.11.82	Roma	13.07.2007
232	9.90	+1.0	Asafa Powell	JAM	23.11.82	Kingston	27.06.2008
232	9.90	-0.4	Asafa Powell	JAM	23.11.82	Bruxelles	04.09.2009
232	9.90	-0.2	Asafa Powell	JAM	23.11.82	Thessalon&iacute;ki	12.09.2009
232	9.90	+2.0	Steve Mullings	JAM	29.11.82	Starkville	16.04.2011
232	9.90	+0.6	Asafa Powell	JAM	23.11.82	Kingston	24.06.2011
232	9.90	+1.0	Nesta Carter	JAM	11.10.85	Monaco	22.07.2011
232	9.90	+1.8	Asafa Powell	JAM	23.11.82	Budapest	30.07.2011
232	9.90	+1.6	Yohan Blake	JAM	26.12.89	Kingston	14.04.2012
232	9.90	+1.3	Justin Gatlin	USA	10.02.82	Eugene	02.06.2012
232	9.90	+0.7	Yohan Blake	JAM	26.12.89	New York City	09.06.2012
232	9.90	+1.7	Justin Gatlin	USA	10.02.82	Eugene	23.06.2012
232	9.90	+0.4	Nickel Ashmeade	JAM	07.04.90	Moskva	11.08.2013
232	9.90	-0.3	Usain Bolt	JAM	21.08.86	Z&uuml;rich	29.08.2013
232	9.90	+0.6	Mike Rodgers	USA	24.04.85	Bruxelles	06.09.2013
232	9.90	+0.7	Asafa Powell	JAM	23.11.82	Rieti	07.09.2014
232	9.90	+1.5	Mike Rodgers	USA	24.04.85	Eugene	30.05.2015
232	9.90	+1.7	Trayvon Bromell	USA	10.07.95	Eugene	10.06.2015
232	9.90	-0.8	Mike Rodgers	USA	24.04.85	London	24.07.2015
232	9.90	+0.9	Yohan Blake	JAM	26.12.89	Kingston	23.06.2017
232	9.90	+1.1	Ronnie Baker	USA	15.10.93	Des Moines	22.06.2018
232	9.90	+0.2	Ronnie Baker	USA	15.10.93	London	21.07.2018
232	9.90	+0.1	Ronnie Baker	USA	15.10.93	London	21.07.2018
232	9.90	+0.6	Andre De Grasse	CAN	10.11.94	Ad-Dawhah	28.09.2019
232	9.90	+1.4	Trayvon Bromell	USA	10.07.95	Clermont	24.07.2020
232	9.90	-0.3	Trayvon Bromell	USA	10.07.95	Eugene	20.06.2021
232	9.90	+0.9	Akani Simbine	RSA	21.09.93	Tokyo	01.08.2021
270	9.91	+1.9	Linford Christie	GBR	02.04.60	Victoria	23.08.1994
270	9.91	+1.3	Donovan Bailey	CAN	16.12.67	Montr&eacute;al	15.07.1995
270	9.91	+1.5	Dennis Mitchell	USA	20.02.66	Milano	07.09.1996
270	9.91	+1.0	Frank Fredericks	NAM	02.10.67	Lausanne	02.07.1997
270	9.91	+0.5	Donovan Bailey	CAN	16.12.67	Ath&iacute;nai	03.08.1997
270	9.91	+0.2	Donovan Bailey	CAN	16.12.67	Ath&iacute;nai	03.08.1997
270	9.91	-0.2	Maurice Greene	USA	23.07.74	Sevilla	21.08.1999
270	9.91	-0.4	Maurice Greene	USA	23.07.74	Osaka	13.05.2000
270	9.91	-0.3	Maurice Greene	USA	23.07.74	Ath&iacute;nai	11.06.2001
270	9.91	-0.1	Asafa Powell	JAM	23.11.82	Kingston	26.06.2004
270	9.91	0.0	Maurice Greene	USA	23.07.74	Sacramento	11.07.2004
270	9.91	-0.3	Asafa Powell	JAM	23.11.82	London	30.07.2004
270	9.91	-0.6	Asafa Powell	JAM	23.11.82	London	28.07.2006
270	9.91	+0.9	Leonard Scott	USA	19.01.80	Stuttgart	09.09.2006
270	9.91	-0.5	Derrick Atkins	BAH	05.01.84	Osaka	26.08.2007
270	9.91	+0.3	Asafa Powell	JAM	23.11.82	Beijing	16.08.2008
270	9.91	0.0	Walter Dix	USA	31.01.86	Beijing	16.08.2008
270	9.91	-0.2	Daniel Bailey	ANT	09.09.86	Saint-Denis	17.07.2009
270	9.91	-1.7	Usain Bolt	JAM	21.08.86	London	24.07.2009
270	9.91	+2.0	Nesta Carter	JAM	11.10.85	Shanghai	20.09.2009
270	9.91	-0.3	Asafa Powell	JAM	23.11.82	Saint-Denis	16.07.2010
270	9.91	+0.1	Yohan Blake	JAM	26.12.89	Bruxelles	27.08.2010
270	9.91	+0.6	Usain Bolt	JAM	21.08.86	Roma	26.05.2011
270	9.91	-0.2	Usain Bolt	JAM	21.08.86	Ostrava	31.05.2011
270	9.91	+0.4	Asafa Powell	JAM	23.11.82	Birmingham	10.07.2011
270	9.91	-0.1	Asafa Powell	JAM	23.11.82	Roma	31.05.2012
270	9.91	+0.7	Churandy Martina	NED	03.07.84	London	05.08.2012
270	9.91	+0.1	Justin Gatlin	USA	10.02.82	Beijing	21.05.2013
270	9.91	+1.1	James Dasaolu	GBR	05.09.87	Birmingham	13.07.2013
270	9.91	+0.4	Justin Gatlin	USA	10.02.82	Roma	05.06.2014
270	9.91	+1.0	Mike Rodgers	USA	24.04.85	London	20.07.2014
270	9.91	+1.8	Femi Ogunode	QAT	15.05.91	Wuhan	04.06.2015
270	9.91	+0.9	Nickel Ashmeade	JAM	07.04.90	Kingston	26.06.2015
270	9.91	+0.5	Trayvon Bromell	USA	10.07.95	Beijing	22.08.2015
270	9.91	+0.6	Femi Ogunode	QAT	15.05.91	Gainesville	22.04.2016
270	9.91	+0.2	Andre De Grasse	CAN	10.11.94	Rio de Janeiro	14.08.2016
270	9.91	+1.0	Julian Forte	JAM	07.01.93	Berlin	27.08.2017
270	9.91	+0.4	Zharnel Hughes	GBR	13.07.95	Kingston	09.06.2018
270	9.91	+0.2	Su Bingtian	CHN	29.08.89	Madrid	22.06.2018
270	9.91	+0.8	Jimmy Vicaut	FRA	27.02.92	Paris	30.06.2018
270	9.91	+0.8	Su Bingtian	CHN	29.08.89	Paris	30.06.2018
270	9.91	+0.3	Justin Gatlin	USA	10.02.82	Monaco	12.07.2019
270	9.91A	+1.7	Akani Simbine	RSA	21.09.93	Pretoria	14.03.2020
270	9.91	+2.0	Fred Kerley	USA	07.05.95	Miami	24.04.2021
270	9.91	+0.8	Micah Williams	USA	12.11.01	Eugene	20.06.2021
270	9.91	+0.3	Ronnie Baker	USA	15.10.93	Monaco	09.07.2021
270	9.91	+0.6	Andre De Grasse	CAN	10.11.94	Tokyo	31.07.2021
317	9.92	+1.1	Carl Lewis	USA	01.07.61	Seoul	24.09.1988
317	9.92	+1.2	Linford Christie	GBR	02.04.60	Tokyo	25.08.1991
317	9.92	+0.3	Andre Cason	USA	20.01.69	Stuttgart	15.08.1993
317	9.92	+0.8	Ato Boldon	TTO	30.12.73	Eugene	01.06.1996
317	9.92	+1.1	Dennis Mitchell	USA	20.02.66	Atlanta	15.06.1996
317	9.92	+0.8	Jon Drummond	USA	09.09.68	Indianapolis	12.06.1997
317	9.92	+0.2	Tim Montgomery	USA	28.01.75	Indianapolis	13.06.1997
317	9.92	+0.2	Maurice Greene	USA	23.07.74	Bruxelles	22.08.1997
317	9.92	+0.7	Ato Boldon	TTO	30.12.73	Monaco	08.08.1998
317	9.92	-0.3	Maurice Greene	USA	23.07.74	Lausanne	25.08.1998
317	9.92A	-0.2	Seun Ogunkoya	NGR	28.12.77	Johannesburg	11.09.1998
317	9.92	+1.1	Bruny Surin	CAN	12.07.67	N&uuml;rnberg	13.06.1999
317	9.92	+1.0	Tim Harden	USA	27.01.74	Luzern	05.07.1999
317	9.92	0.0	Justin Gatlin	USA	10.02.82	Sacramento	11.07.2004
317	9.92	+0.9	Tyson Gay	USA	09.08.82	Stuttgart	09.09.2006
