id,time,cohort,frequency_black,frequency_hispanic,frequency_asian,frequency_gay,frequency_trans,respect,centrality,yearsworked,rank,race_white,race_black,gender_d,education_ba,attendance,facilduo_gender,facilduo_race,facilduo_le,facilduo_relatedle,facilduo_relatedle_nole,knowledge,theories,strategy,biasworry,strat_know,strat_efficacy,strat_mot
s4317,3,2,3,3,3,3,3,5,2.6666666666666665,24,0,0,1,1,0,52,mf,bw,1,1,0,4.666666666666667,6,0,2.8,4,3,3
s4421,1,2,5,5,2,3,1,7,4.333333333333333,29,1,1,0,1,1,55,ff,bw,0,0,0,2,5,0,1,NA,NA,NA
s4421,2,2,5,5,2,3,1,7,4.333333333333333,29,1,1,0,1,1,55,ff,bw,0,0,0,3,3,0.2,2,5,3,2
s4421,3,2,5,5,2,3,1,7,4.333333333333333,29,1,1,0,1,1,55,ff,bw,0,0,0,3,4,0,1,5,2,2
s4422,1,2,4,3,1,1,1,7,5.333333333333333,27,1,1,0,1,1,29,mf,bw,0,0,0,5,3,2.4,1,NA,NA,NA
s4422,2,2,4,3,1,1,1,7,5.333333333333333,27,1,1,0,1,1,29,mf,bw,0,0,0,1.6666666666666667,3.5,0.4,1,3,3,4
s4422,3,2,4,3,1,1,1,7,5.333333333333333,27,1,1,0,1,1,29,mf,bw,0,0,0,4,4,0,4,3,3,3
s4451,1,2,4,4,2,3,2,2.75,6.333333333333333,26,0,0,0,1,0,39,mf,bw,1,1,0,2,5,1.6,1,NA,NA,NA
s4451,2,2,4,4,2,3,2,2.75,6.333333333333333,26,0,0,0,1,0,39,mf,bw,1,1,0,4,6,4.4,1,5,4,5
s4451,3,2,4,4,2,3,2,2.75,6.333333333333333,26,0,0,0,1,0,39,mf,bw,1,1,0,6.666666666666667,6.5,2.6,2,5,5,5
s4484,1,2,5,4,1,1,1,5,3,26,1,1,0,1,1,32,mf,bw,0,1,1,1,6,0,1,NA,NA,NA
s4484,2,2,5,4,1,1,1,5,3,26,1,1,0,1,1,32,mf,bw,0,1,1,2,5,0,1,5,3,2
s4484,3,2,5,4,1,1,1,5,3,26,1,1,0,1,1,32,mf,bw,0,1,1,2,5,0,1,5,2,3
s4516,1,2,4,4,3,2,1,5,1,15,0,0,1,0,1,56,mf,bw,0,1,1,5,7,1.8,1,NA,NA,NA
s4516,2,2,4,4,3,2,1,5,1,15,0,0,1,0,1,56,mf,bw,0,1,1,6,7,1.4,1,3,2,3
s4516,3,2,4,4,3,2,1,5,1,15,0,0,1,0,1,56,mf,bw,0,1,1,5,4,0.8,1,4,3,3
s4564,1,2,3,3,3,3,3,4,4,26,NA,NA,NA,NA,NA,43,mm,bw,0,1,1,4,4,6,4,NA,NA,NA
s4564,2,2,3,3,3,3,3,4,4,26,NA,NA,NA,NA,NA,43,mm,bw,0,1,1,4,4,6,4,3,3,3
s4564,3,2,3,3,3,3,3,4,4,26,NA,NA,NA,NA,NA,43,mm,bw,0,1,1,4,4,6,4,3,3,3
s4568,1,2,2,4,2,0,0,4.75,3.6666666666666665,14,0,0,0,1,1,39,mf,bw,1,1,0,2.6666666666666665,3,1.2,2,NA,NA,NA
s4568,2,2,2,4,2,0,0,4.75,3.6666666666666665,14,0,0,0,1,1,39,mf,bw,1,1,0,3.6666666666666665,3,1.6,4,4,3,4
s4568,3,2,2,4,2,0,0,4.75,3.6666666666666665,14,0,0,0,1,1,39,mf,bw,1,1,0,4,3,0.8,2,3,4,4
s4578,1,2,5,5,4,5,0,5.5,4,24,0,0,1,0,0,56,mf,bw,0,1,1,2.6666666666666665,6,0,2,NA,NA,NA
s4578,2,2,5,5,4,5,0,5.5,4,24,0,0,1,0,0,56,mf,bw,0,1,1,4.666666666666667,5,6,2,5,5,5
s4578,3,2,5,5,4,5,0,5.5,4,24,0,0,1,0,0,56,mf,bw,0,1,1,3,5,1.2,3,5,4,3
s4658,1,2,4,4,3,4,3,7,5,22,1,1,0,1,1,49,mm,bw,0,1,1,2.6666666666666665,5.5,0,1,NA,NA,NA
s4658,2,2,4,4,3,4,3,7,5,22,1,1,0,1,1,49,mm,bw,0,1,1,3.6666666666666665,6,2,2,4,4,4
s4658,3,2,4,4,3,4,3,7,5,22,1,1,0,1,1,49,mm,bw,0,1,1,2,4,0,1,3,3,3
s4784,1,2,5,4,1,1,1,5.5,5,2,0,1,0,1,0,43,mm,bw,0,1,1,1,7,3.6,1,NA,NA,NA
s4784,2,2,5,4,1,1,1,5.5,5,2,0,1,0,1,0,43,mm,bw,0,1,1,3,3,2.4,2,4,4,3
s4784,3,2,5,4,1,1,1,5.5,5,2,0,1,0,1,0,43,mm,bw,0,1,1,3.3333333333333335,3.5,1,3.4,5,4,3
s4858,1,2,4,4,3,3,2,3.5,2.3333333333333335,10,0,0,1,0,1,52,mf,bw,1,1,0,6.333333333333333,6,0.8,2.8,NA,NA,NA
s4858,2,2,4,4,3,3,2,3.5,2.3333333333333335,10,0,0,1,0,1,52,mf,bw,1,1,0,6,4,6,3,3,3,4
s4858,3,2,4,4,3,3,2,3.5,2.3333333333333335,10,0,0,1,0,1,52,mf,bw,1,1,0,6,6,1.2,3,3,3,3
s5007,1,2,4,4,4,4,3,6,6,26,0,1,0,1,0,50,ff,bw,0,1,1,2,5,0.6,2,NA,NA,NA
s5007,2,2,4,4,4,4,3,6,6,26,0,1,0,1,0,50,ff,bw,0,1,1,5,3,1,4,4,4,4
s5007,3,2,4,4,4,4,3,6,6,26,0,1,0,1,0,50,ff,bw,0,1,1,3,2,1.6,3,4,3,4
s5020,1,2,5,4,0,2,1,1.75,2,2,0,0,0,1,1,52,mf,bw,1,1,0,5.333333333333333,3.5,3.8,1.2,NA,NA,NA
s5020,2,2,5,4,0,2,1,1.75,2,2,0,0,0,1,1,52,mf,bw,1,1,0,5,3,4.8,4.6,4,4,4
s5020,3,2,5,4,0,2,1,1.75,2,2,0,0,0,1,1,52,mf,bw,1,1,0,5,3.5,3.2,4,4,4,3
s5161,1,2,5,5,4,4,3,4.5,7,30,0,NA,NA,NA,1,53,mm,bw,0,1,1,5.666666666666667,5.5,1.6,5.4,NA,NA,NA
s5161,2,2,5,5,4,4,3,4.5,7,30,0,NA,NA,NA,1,53,mm,bw,0,1,1,1.3333333333333333,7,2.8,2.2,4,4,5
s5161,3,2,5,5,4,4,3,4.5,7,30,0,NA,NA,NA,1,53,mm,bw,0,1,1,6,7,1.2,2.8,5,3,3
s5177,1,2,5,5,3,4,3,5.25,4.666666666666667,20,1,0,1,0,1,49,ff,bw,1,1,0,2.3333333333333335,4.5,3.6,1,NA,NA,NA
s5177,2,2,5,5,3,4,3,5.25,4.666666666666667,20,1,0,1,0,1,49,ff,bw,1,1,0,5.333333333333333,2,6,2,4,5,4
s5177,3,2,5,5,3,4,3,5.25,4.666666666666667,20,1,0,1,0,1,49,ff,bw,1,1,0,3,4.5,1.8,1,5,4,4
s5247,1,2,3,3,3,3,3,1,1,19,NA,1,0,1,NA,53,mm,bw,0,1,1,1,7,0,1,NA,NA,NA
s5247,2,2,3,3,3,3,3,1,1,19,NA,1,0,1,NA,53,mm,bw,0,1,1,3,4,6,4,5,5,5
s5247,3,2,3,3,3,3,3,1,1,19,NA,1,0,1,NA,53,mm,bw,0,1,1,4,4,0,4,3,3,3
s5422,1,2,3,3,2,2,1,5,1,21,1,0,1,0,1,47,mf,bw,0,1,1,4.333333333333333,3.5,1.8,2.8,NA,NA,NA
s5422,2,2,3,3,2,2,1,5,1,21,1,0,1,0,1,47,mf,bw,0,1,1,3.6666666666666665,4.5,6,1.4,4,3,4
s5422,3,2,3,3,2,2,1,5,1,21,1,0,1,0,1,47,mf,bw,0,1,1,2,4.5,2.4,1,4,3,4
s5701,1,2,5,3,0,3,0,4,4,13,0,1,0,1,1,50,mf,bw,0,1,1,1,7,0,1,NA,NA,NA
s5701,2,2,5,3,0,3,0,4,4,13,0,1,0,1,1,50,mf,bw,0,1,1,4,4,6,4,1,1,1
s5701,3,2,5,3,0,3,0,4,4,13,0,1,0,1,1,50,mf,bw,0,1,1,1,7,0,1,1,1,1
s5942,1,2,5,3,3,3,3,5.25,6,2,0,1,0,0,1,23,ff,bw,0,1,1,2.3333333333333335,7,1.8,1,NA,NA,NA
s5942,2,2,5,3,3,3,3,5.25,6,2,0,1,0,0,1,23,ff,bw,0,1,1,3,6,3,1,4,3,3
s5942,3,2,5,3,3,3,3,5.25,6,2,0,1,0,0,1,23,ff,bw,0,1,1,3,6,0.6,2,3,4,3
s5966,1,2,5,5,3,3,3,5,3,18,0,0,1,0,1,13,mf,bw,0,1,1,2,4.5,0.4,2.8,NA,NA,NA
s5966,2,2,5,5,3,3,3,5,3,18,0,0,1,0,1,13,mf,bw,0,1,1,2,3.5,2,2,4,3,3
s5966,3,2,5,5,3,3,3,5,3,18,0,0,1,0,1,13,mf,bw,0,1,1,3,3,1,1,4,4,4
s6084,1,2,5,4,4,3,2,3,3,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,4,5,0.8,1,NA,NA,NA
s6084,2,2,5,4,4,3,2,3,3,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,6.666666666666667,2.5,2.4,3,4,4,4
s6084,3,2,5,4,4,3,2,3,3,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,7,3,1.6,3,4,3,5
s6212,1,2,4,4,0,3,2,4,4.666666666666667,3,0,NA,NA,NA,1,49,mf,bw,0,1,1,1,5.5,4.2,1,NA,NA,NA
s6212,2,2,4,4,0,3,2,4,4.666666666666667,3,0,NA,NA,NA,1,49,mf,bw,0,1,1,1,7,4.8,1,5,5,5
s6212,3,2,4,4,0,3,2,4,4.666666666666667,3,0,NA,NA,NA,1,49,mf,bw,0,1,1,3,4,5.2,1,5,4,4
s6318,1,2,5,4,3,2,1,5,1,19,0,0,0,1,1,9,mf,ww,0,0,0,2.3333333333333335,6.5,4.2,6,NA,NA,NA
s6318,2,2,5,4,3,2,1,5,1,19,0,0,0,1,1,9,mf,ww,0,0,0,3,4,6,1,5,4,4
s6318,3,2,5,4,3,2,1,5,1,19,0,0,0,1,1,9,mf,ww,0,0,0,7,4,5.6,7,5,3,2
s6441,1,2,4,3,2,1,1,4.25,5.666666666666667,2,0,1,0,1,1,38,mf,bw,0,0,0,4.333333333333333,4.5,2.8,3.6,NA,NA,NA
s6441,2,2,4,3,2,1,1,4.25,5.666666666666667,2,0,1,0,1,1,38,mf,bw,0,0,0,3.6666666666666665,4,2,5.4,3,3,3
s6441,3,2,4,3,2,1,1,4.25,5.666666666666667,2,0,1,0,1,1,38,mf,bw,0,0,0,5.333333333333333,5,2.4,4,3,3,4
s6454,1,2,5,5,2,3,3,5.25,5,8,0,1,0,1,0,55,mf,bw,0,0,0,1,6,1.2,1,NA,NA,NA
s6454,2,2,5,5,2,3,3,5.25,5,8,0,1,0,1,0,55,mf,bw,0,0,0,1,6,0,1,2,1,1
s6454,3,2,5,5,2,3,3,5.25,5,8,0,1,0,1,0,55,mf,bw,0,0,0,1,6,0,1,1,1,1
s6509,1,2,4,4,3,2,1,2.25,3,16,1,1,0,1,1,56,mf,bw,0,1,1,3.6666666666666665,6,3,4,NA,NA,NA
s6509,2,2,4,4,3,2,1,2.25,3,16,1,1,0,1,1,56,mf,bw,0,1,1,4.666666666666667,4,2,5,4,3,3
s6509,3,2,4,4,3,2,1,2.25,3,16,1,1,0,1,1,56,mf,bw,0,1,1,3.6666666666666665,6,0,2,5,2,1
s6511,1,2,5,5,2,3,2,5.75,5.333333333333333,24,1,NA,NA,NA,0,34,mf,bw,0,1,1,3.6666666666666665,4,2.8,4,NA,NA,NA
s6511,2,2,5,5,2,3,2,5.75,5.333333333333333,24,1,NA,NA,NA,0,34,mf,bw,0,1,1,2.6666666666666665,6,3,1,4,4,3
s6511,3,2,5,5,2,3,2,5.75,5.333333333333333,24,1,NA,NA,NA,0,34,mf,bw,0,1,1,4,5.5,0,1,5,3,3
s4790,1,2,4,4,4,3,3,5,4.333333333333333,25,0,1,0,1,1,52,mf,bw,0,0,0,4,5,1.2,3,NA,NA,NA
s4790,2,2,4,4,4,3,3,5,4.333333333333333,25,0,1,0,1,1,52,mf,bw,0,0,0,4.666666666666667,3.5,2.8,4.4,5,5,3
s4790,3,2,4,4,4,3,3,5,4.333333333333333,25,0,1,0,1,1,52,mf,bw,0,0,0,4,5.5,0.6,1,4,4,4
s5946,1,2,5,2,1,2,2,6,7,11,0,1,0,1,0,43,mm,bw,0,1,1,2,4.5,0,1.2,NA,NA,NA
s5946,2,2,5,2,1,2,2,6,7,11,0,1,0,1,0,43,mm,bw,0,1,1,4,3.5,0.8,1,4,3,4
s5946,3,2,5,2,1,2,2,6,7,11,0,1,0,1,0,43,mm,bw,0,1,1,3.6666666666666665,4.5,0.4,1,3,3,3
s4447,1,2,2,2,2,2,2,1,4,14,0,1,0,1,1,35,mm,bw,0,1,1,1,7,0,1,NA,NA,NA
s4447,2,2,2,2,2,2,2,1,4,14,0,1,0,1,1,35,mm,bw,0,1,1,1,7,3,1,5,5,5
s4447,3,2,2,2,2,2,2,1,4,14,0,1,0,1,1,35,mm,bw,0,1,1,1,7,0.2,1,5,5,5
s5578,1,2,3,2,0,1,1,3,2.3333333333333335,25,0,0,1,0,1,52,mf,bw,0,0,0,2.6666666666666665,5,0.6,1.4,NA,NA,NA
s5578,2,2,3,2,0,1,1,3,2.3333333333333335,25,0,0,1,0,1,52,mf,bw,0,0,0,2.6666666666666665,3.5,0.8,1.2,5,5,4
s5578,3,2,3,2,0,1,1,3,2.3333333333333335,25,0,0,1,0,1,52,mf,bw,0,0,0,3.6666666666666665,5,1,1.6,5,4,3
s4013,1,2,4,4,3,3,3,5.25,5.666666666666667,27,1,NA,NA,NA,1,49,ff,bw,1,1,0,1,7,0.4,1,NA,NA,NA
s4013,2,2,4,4,3,3,3,5.25,5.666666666666667,27,1,NA,NA,NA,1,49,ff,bw,1,1,0,2,6,2,1,5,3,3
s4013,3,2,4,4,3,3,3,5.25,5.666666666666667,27,1,NA,NA,NA,1,49,ff,bw,1,1,0,1,7,2.6,1,5,5,3
s4295,1,2,4,4,2,3,3,3.5,5,24,1,1,0,1,1,51,mf,bw,0,0,0,2,6.5,1.8,3.2,NA,NA,NA
s4295,2,2,4,4,2,3,3,3.5,5,24,1,1,0,1,1,51,mf,bw,0,0,0,4.666666666666667,4,3,5,4,4,4
s4295,3,2,4,4,2,3,3,3.5,5,24,1,1,0,1,1,51,mf,bw,0,0,0,4.333333333333333,5.5,0,2.6,4,3,4
s5550,1,2,5,5,4,3,3,5.25,5.333333333333333,18,0,0,1,0,1,31,mm,bw,0,1,1,4,6.5,4.6,1.4,NA,NA,NA
s5550,2,2,5,5,4,3,3,5.25,5.333333333333333,18,0,0,1,0,1,31,mm,bw,0,1,1,6.333333333333333,7,4.8,4.2,5,5,5
s5550,3,2,5,5,4,3,3,5.25,5.333333333333333,18,0,0,1,0,1,31,mm,bw,0,1,1,5.333333333333333,7,1.4,1.8,5,5,5
s4152,1,2,4,4,1,1,1,2.5,1.3333333333333333,28,0,0,0,1,1,50,mf,bw,0,1,1,2,6.5,0,1,NA,NA,NA
s4152,2,2,4,4,1,1,1,2.5,1.3333333333333333,28,0,0,0,1,1,50,mf,bw,0,1,1,2,5.5,6,1,5,5,5
s4152,3,2,4,4,1,1,1,2.5,1.3333333333333333,28,0,0,0,1,1,50,mf,bw,0,1,1,3.6666666666666665,6,4.8,1,4,4,4
s5486,1,2,4,4,4,2,1,6,4.666666666666667,27,1,1,0,1,1,49,mm,bw,0,1,1,2.6666666666666665,3.5,3.2,2,NA,NA,NA
s5486,2,2,4,4,4,2,1,6,4.666666666666667,27,1,1,0,1,1,49,mm,bw,0,1,1,2.6666666666666665,5.5,3,3.6,4,4,4
s5486,3,2,4,4,4,2,1,6,4.666666666666667,27,1,1,0,1,1,49,mm,bw,0,1,1,3,6,1.2,1,3,2,3
s4278,1,2,5,5,3,4,4,3.75,2,3,0,1,0,NA,1,54,mf,bw,0,0,0,6.666666666666667,6.5,2.4,6,NA,NA,NA
s4278,2,2,5,5,3,4,4,3.75,2,3,0,1,0,NA,1,54,mf,bw,0,0,0,1,4.5,1,5.4,4,4,4
s4278,3,2,5,5,3,4,4,3.75,2,3,0,1,0,NA,1,54,mf,bw,0,0,0,7,4.5,0.8,5.2,4,3,3
s5836,1,2,5,5,0,4,3,5.75,2.6666666666666665,2,0,1,0,1,1,53,mm,bw,0,1,1,2,6,2.6,2,NA,NA,NA
s5836,2,2,5,5,0,4,3,5.75,2.6666666666666665,2,0,1,0,1,1,53,mm,bw,0,1,1,3,4.5,2,1,3,3,3
s5836,3,2,5,5,0,4,3,5.75,2.6666666666666665,2,0,1,0,1,1,53,mm,bw,0,1,1,4.666666666666667,5,0.4,1,2,2,2
s4810,1,2,5,5,2,5,3,7,1,23,1,0,1,0,1,49,mm,bw,0,1,1,4,5.5,4.4,4,NA,NA,NA
s4810,2,2,5,5,2,5,3,7,1,23,1,0,1,0,1,49,mm,bw,0,1,1,2.6666666666666665,6,5,1,5,5,5
s4810,3,2,5,5,2,5,3,7,1,23,1,0,1,0,1,49,mm,bw,0,1,1,6,4,3,2,5,5,5
s5410,1,2,4,4,4,2,2,3.75,5.666666666666667,28,0,1,0,1,0,33,mm,bw,0,1,1,1,7,2.6,1,NA,NA,NA
s5410,2,2,4,4,4,2,2,3.75,5.666666666666667,28,0,1,0,1,0,33,mm,bw,0,1,1,1,7,2.2,1,3,3,2
s5410,3,2,4,4,4,2,2,3.75,5.666666666666667,28,0,1,0,1,0,33,mm,bw,0,1,1,1.3333333333333333,7,2.6,1,3,4,4
s4031,1,2,4,4,4,3,2,5.5,7,14,0,1,0,1,1,31,mm,bw,0,1,1,3.6666666666666665,3,4.8,1,NA,NA,NA
s4031,2,2,4,4,4,3,2,5.5,7,14,0,1,0,1,1,31,mm,bw,0,1,1,4,3,2.8,1,5,4,4
s4031,3,2,4,4,4,3,2,5.5,7,14,0,1,0,1,1,31,mm,bw,0,1,1,5,5,1.4,1,5,5,4
s5386,1,2,5,5,5,3,1,7,6.333333333333333,30,1,0,1,1,1,52,mf,bw,0,1,1,5.333333333333333,7,1.2,1,NA,NA,NA
s5386,2,2,5,5,5,3,1,7,6.333333333333333,30,1,0,1,1,1,52,mf,bw,0,1,1,6.666666666666667,4.5,5,2.6,5,5,5
s5386,3,2,5,5,5,3,1,7,6.333333333333333,30,1,0,1,1,1,52,mf,bw,0,1,1,3.6666666666666665,4.5,1.6,1,4,5,5
s5898,1,2,5,5,1,1,0,5,4.666666666666667,3,0,1,0,1,1,43,mm,bw,0,1,1,4,5,1.2,3,NA,NA,NA
s5898,2,2,5,5,1,1,0,5,4.666666666666667,3,0,1,0,1,1,43,mm,bw,0,1,1,4.333333333333333,4,0,2.6,4,5,4
s5898,3,2,5,5,1,1,0,5,4.666666666666667,3,0,1,0,1,1,43,mm,bw,0,1,1,4.666666666666667,3,0,2.6,3,2,2
s4490,1,2,5,5,4,4,4,6.75,5,20,0,NA,NA,1,1,35,mf,bw,0,1,1,6.666666666666667,4.5,1.8,2.2,NA,NA,NA
s4490,2,2,5,5,4,4,4,6.75,5,20,0,NA,NA,1,1,35,mf,bw,0,1,1,4,3.5,2.2,4,3,3,3
s4490,3,2,5,5,4,4,4,6.75,5,20,0,NA,NA,1,1,35,mf,bw,0,1,1,4,4,0.8,4,3,2,3
s5025,1,2,5,4,1,1,2,5.75,6.333333333333333,34,0,0,1,1,1,56,mf,bw,0,1,1,2,3,1.6,1,NA,NA,NA
s5025,2,2,5,4,1,1,2,5.75,6.333333333333333,34,0,0,1,1,1,56,mf,bw,0,1,1,5,4,0,7,3,3,3
s5025,3,2,5,4,1,1,2,5.75,6.333333333333333,34,0,0,1,1,1,56,mf,bw,0,1,1,4,4,0,1.6,3,2,3
s6269,1,2,3,3,3,3,3,4,4,10,NA,NA,NA,NA,NA,50,mf,bw,0,1,1,4,4,3,4,NA,NA,NA
s6269,2,2,3,3,3,3,3,4,4,10,NA,NA,NA,NA,NA,50,mf,bw,0,1,1,5.666666666666667,6,6,6,5,5,5
s6269,3,2,3,3,3,3,3,4,4,10,NA,NA,NA,NA,NA,50,mf,bw,0,1,1,6,4,4,5,5,5,5
