id,time,cohort,knowledge,theories,biasworry,strategy,strat_know,strat_efficacy,strat_mot,centrality,respect,rank,gender_d,race_white,race_black,education_ba,yearsworked,frequency_black,frequency_hispanic,frequency_asian,frequency_gay,frequency_trans,facilduo_gender,facilduo_race,facilduo_le,facilduo_relatedle,facilduo_relatedle_nole,attendance,substitution,perspective,mindful
s4225,2,2,3.3333333333333335,4.5,1,1,4,4,3,3,1.5,0,1,NA,NA,1,21,5,5,4,4,3,ff,bw,0,1,1,23,1,1,1
s4237,1,2,2.6666666666666665,6,1,0,NA,NA,NA,5,7,1,1,0,0,1,22,5,4,1,3,1,mf,bw,1,1,0,52,0,0,0
s4237,2,2,1,4,1,0,5,2,1,5,7,1,1,0,0,1,22,5,4,1,3,1,mf,bw,1,1,0,52,0,0,0
s4259,1,2,4.666666666666667,7,4,1.8,NA,NA,NA,3.3333333333333335,6.25,0,0,0,1,1,21,5,3,2,3,2,mm,bw,0,1,1,53,3,3,3
s4259,2,2,3.3333333333333335,4.5,4.4,3,5,5,5,3.3333333333333335,6.25,0,0,0,1,1,21,5,3,2,3,2,mm,bw,0,1,1,53,3,3,3
s4274,1,2,1,7,1,0,NA,NA,NA,1,7,0,1,NA,NA,1,22,3,4,3,2,1,mf,bw,0,1,1,50,0,0,0
s4274,2,2,1.3333333333333333,3,1,6,5,5,5,1,7,0,1,NA,NA,1,22,3,4,3,2,1,mf,bw,0,1,1,50,6,6,6
s4309,1,2,4.333333333333333,5,1,5,NA,NA,NA,1,1,1,1,0,1,1,25,4,4,4,4,4,mf,bw,0,0,0,9,5,5,5
s4309,2,2,6,5,5,5,5,5,5,1,1,1,1,0,1,1,25,4,4,4,4,4,mf,bw,0,0,0,9,5,5,5
s4317,1,2,5,7,2,0,NA,NA,NA,2.6666666666666665,5,0,1,0,1,0,24,3,3,3,3,3,mf,bw,1,1,0,52,0,0,0
s4317,2,2,4,4,4,1.6,4,3,4,2.6666666666666665,5,0,1,0,1,0,24,3,3,3,3,3,mf,bw,1,1,0,52,2,2,1
s4323,1,2,1,7,1,2.8,NA,NA,NA,4,6.25,0,1,0,0,1,14,4,4,4,2,2,mf,bw,0,0,0,53,3,3,3
s4323,2,2,3,4,1,2.4,4,2,3,4,6.25,0,1,0,0,1,14,4,4,4,2,2,mf,bw,0,0,0,53,0,3,3
s4332,1,2,4,5,4,0.8,NA,NA,NA,4.666666666666667,7,NA,1,1,0,0,24,4,3,3,2,1,mf,bw,0,1,1,50,2,2,0
s4332,2,2,2.3333333333333335,5.5,1.8,1.6,4,4,4,4.666666666666667,7,NA,1,1,0,0,24,4,3,3,2,1,mf,bw,0,1,1,50,1,2,1
s4367,1,2,2.6666666666666665,1,3,4.8,NA,NA,NA,4,6.25,0,1,0,0,1,17,5,5,5,5,2,mf,bw,0,1,1,34,3,6,6
s4367,2,2,4,2.5,2,0,2,1,1,4,6.25,0,1,0,0,1,17,5,5,5,5,2,mf,bw,0,1,1,34,0,0,0
s4386,1,2,3.3333333333333335,4,4,4.8,NA,NA,NA,1,1,0,0,NA,NA,1,19,4,4,2,4,4,mf,bw,0,1,1,35,0,6,6
s4386,2,2,5,7,5,0,4,3,3,1,1,0,0,NA,NA,1,19,4,4,2,4,4,mf,bw,0,1,1,35,0,0,0
s4421,1,2,2,5,1,0,NA,NA,NA,4.333333333333333,7,1,1,1,0,1,29,5,5,2,3,1,ff,bw,0,0,0,55,0,0,0
s4421,2,2,3,3,2,0.2,5,3,2,4.333333333333333,7,1,1,1,0,1,29,5,5,2,3,1,ff,bw,0,0,0,55,0,0,1
s4422,1,2,5,3,1,2.4,NA,NA,NA,5.333333333333333,7,1,1,1,0,1,27,4,3,1,1,1,mf,bw,0,0,0,29,2,4,2
s4422,2,2,1.6666666666666667,3.5,1,0.4,3,3,4,5.333333333333333,7,1,1,1,0,1,27,4,3,1,1,1,mf,bw,0,0,0,29,0,0,2
s4436,1,2,2,7,1,0.6,NA,NA,NA,4,5.5,1,1,0,0,1,20,4,4,4,4,1,mf,bw,0,1,1,10,0,1,1
s4436,2,2,1,7,1,5.2,5,5,5,4,5.5,1,1,0,0,1,20,4,4,4,4,1,mf,bw,0,1,1,10,6,5,5
s4448,1,2,5,4,4,2,NA,NA,NA,4,6,0,1,1,0,1,29,4,3,2,4,3,mf,bw,0,0,0,54,2,2,2
s4448,2,2,5,5,4,2,3,3,3,4,6,0,1,1,0,1,29,4,3,2,4,3,mf,bw,0,0,0,54,2,2,2
s4451,1,2,2,5,1,1.6,NA,NA,NA,6.333333333333333,2.75,0,1,0,0,0,26,4,4,2,3,2,mf,bw,1,1,0,39,2,0,6
s4451,2,2,4,6,1,4.4,5,4,5,6.333333333333333,2.75,0,1,0,0,0,26,4,4,2,3,2,mf,bw,1,1,0,39,4,6,6
s4457,1,2,4.333333333333333,7,1,0,NA,NA,NA,6,6.5,1,1,1,0,1,21,5,5,5,4,2,mm,bw,0,1,1,49,0,0,0
s4457,2,2,4.333333333333333,6,2,6,4,5,4,6,6.5,1,1,1,0,1,21,5,5,5,4,2,mm,bw,0,1,1,49,6,6,6
s4458,1,2,3,1.5,4,1.4,NA,NA,NA,2.6666666666666665,4.75,NA,NA,0,0,NA,26,5,5,4,4,4,mm,bw,0,1,1,53,1,2,4
s4458,2,2,1.6666666666666667,7,1,4.4,5,4,4,2.6666666666666665,4.75,NA,NA,0,0,NA,26,5,5,4,4,4,mm,bw,0,1,1,53,0,6,6
s4460,1,2,1,6,1,2,NA,NA,NA,7,4,0,0,1,0,0,27,3,3,3,4,0,ff,bw,0,1,1,26,0,5,5
s4460,2,2,4.666666666666667,2.5,4,2.4,5,4,4,7,4,0,0,1,0,0,27,3,3,3,4,0,ff,bw,0,1,1,26,3,3,3
s4465,1,2,2.6666666666666665,5.5,1,4,NA,NA,NA,6.666666666666667,7,1,1,0,0,0,24,5,5,3,4,3,mf,bw,0,1,1,50,3,4,5
s4465,2,2,4,5,4,2,4,4,4,6.666666666666667,7,1,1,0,0,0,24,5,5,3,4,3,mf,bw,0,1,1,50,2,2,2
s4467,1,2,4,7,4,2,NA,NA,NA,5,4.75,0,0,0,1,0,28,4,4,3,3,3,mf,bw,0,0,0,51,0,0,3
s4467,2,2,4.333333333333333,7,1,4.8,5,5,5,5,4.75,0,0,0,1,0,28,4,4,3,3,3,mf,bw,0,0,0,51,3,6,6
s4483,1,2,1,2,1,0.6,NA,NA,NA,6,7,0,1,1,0,1,26,5,5,4,5,2,mf,bw,1,1,0,52,0,1,1
s4483,2,2,2.3333333333333335,3,1,1.2,5,5,5,6,7,0,1,1,0,1,26,5,5,4,5,2,mf,bw,1,1,0,52,2,1,1
s4484,1,2,1,6,1,0,NA,NA,NA,3,5,1,1,1,0,1,26,5,4,1,1,1,mf,bw,0,1,1,32,0,0,0
s4484,2,2,2,5,1,0,5,3,2,3,5,1,1,1,0,1,26,5,4,1,1,1,mf,bw,0,1,1,32,0,0,0
s4491,1,2,1,4,1,2.4,NA,NA,NA,4,7,0,0,0,1,1,19,5,4,2,1,1,NA,NA,0,0,0,30,0,6,6
s4491,2,2,3,6,1,6,4,4,4,4,7,0,0,0,1,1,19,5,4,2,1,1,NA,NA,0,0,0,30,6,6,6
s4516,1,2,5,7,1,1.8,NA,NA,NA,1,5,0,0,0,1,1,15,4,4,3,2,1,mf,bw,0,1,1,56,0,0,4
s4516,2,2,6,7,1,1.4,3,2,3,1,5,0,0,0,1,1,15,4,4,3,2,1,mf,bw,0,1,1,56,0,1,6
s4519,1,2,4,3,3,0,NA,NA,NA,5,5.5,0,1,0,0,0,3,3,4,3,4,2,mf,bw,0,1,1,49,0,0,0
s4519,2,2,6.333333333333333,3.5,5.6,2.2,2,4,4,5,5.5,0,1,0,0,0,3,3,4,3,4,2,mf,bw,0,1,1,49,2,2,2
s4524,1,2,1,7,1,0.4,NA,NA,NA,6,5.25,1,1,1,0,1,25,3,3,3,3,3,mf,bw,0,0,0,52,0,2,0
s4524,2,2,3,2.5,1,0,5,5,2,6,5.25,1,1,1,0,1,25,3,3,3,3,3,mf,bw,0,0,0,52,0,0,0
s4546,1,2,3,5.5,2,2.4,NA,NA,NA,5.666666666666667,4,1,1,1,0,0,23,5,5,5,4,3,mf,bw,0,1,1,13,3,5,2
s4546,2,2,3,6,1,2.6,4,5,3,5.666666666666667,4,1,1,1,0,0,23,5,5,5,4,3,mf,bw,0,1,1,13,1,6,3
s4554,1,2,3,7,1,0,NA,NA,NA,4.666666666666667,4.75,0,1,0,1,0,26,4,4,2,4,1,ff,bw,0,1,1,56,0,0,0
s4554,2,2,5,5.5,2.6,1.2,4,3,3,4.666666666666667,4.75,0,1,0,1,0,26,4,4,2,4,1,ff,bw,0,1,1,56,2,2,2
s4564,1,2,4,4,4,6,NA,NA,NA,4,4,NA,NA,NA,NA,NA,26,3,3,3,3,3,mm,bw,0,1,1,43,6,6,6
s4564,2,2,4,4,4,6,3,3,3,4,4,NA,NA,NA,NA,NA,26,3,3,3,3,3,mm,bw,0,1,1,43,6,6,6
s4567,1,2,1,4,1,0,NA,NA,NA,5.333333333333333,6.25,0,0,1,0,0,19,5,3,1,1,1,mf,bw,0,1,1,50,0,0,0
s4567,2,2,2,4.5,1,4.2,4,3,3,5.333333333333333,6.25,0,0,1,0,0,19,5,3,1,1,1,mf,bw,0,1,1,50,6,6,4
s4568,1,2,2.6666666666666665,3,2,1.2,NA,NA,NA,3.6666666666666665,4.75,0,1,0,0,1,14,2,4,2,0,0,mf,bw,1,1,0,39,0,1,3
s4568,2,2,3.6666666666666665,3,4,1.6,4,3,4,3.6666666666666665,4.75,0,1,0,0,1,14,2,4,2,0,0,mf,bw,1,1,0,39,1,1,4
s4578,1,2,2.6666666666666665,6,2,0,NA,NA,NA,4,5.5,0,0,0,1,0,24,5,5,4,5,0,mf,bw,0,1,1,56,0,0,0
s4578,2,2,4.666666666666667,5,2,6,5,5,5,4,5.5,0,0,0,1,0,24,5,5,4,5,0,mf,bw,0,1,1,56,6,6,6
s4594,1,2,1,6.5,2,4.8,NA,NA,NA,2.3333333333333335,6,0,0,0,1,0,3,5,3,1,2,2,mm,bw,0,1,1,43,4,6,6
s4594,2,2,1.3333333333333333,4.5,1,5.2,5,4,5,2.3333333333333335,6,0,0,0,1,0,3,5,3,1,2,2,mm,bw,0,1,1,43,6,6,6
s4644,1,2,4,4,4,1,NA,NA,NA,4,4,0,NA,NA,NA,0,21,4,4,1,2,1,mm,bw,0,1,1,43,1,1,1
s4644,2,2,1.6666666666666667,3,1,0,2,2,2,4,4,0,NA,NA,NA,0,21,4,4,1,2,1,mm,bw,0,1,1,43,0,0,0
s4653,1,2,4,4,4,2,NA,NA,NA,4,4,0,NA,NA,NA,NA,18,4,5,1,5,0,mf,bw,0,0,0,9,2,2,2
s4653,2,2,3.6666666666666665,5,5,3,4,4,4,4,4,0,NA,NA,NA,NA,18,4,5,1,5,0,mf,bw,0,0,0,9,3,3,3
s4658,1,2,2.6666666666666665,5.5,1,0,NA,NA,NA,5,7,1,1,1,0,1,22,4,4,3,4,3,mm,bw,0,1,1,49,0,0,0
s4658,2,2,3.6666666666666665,6,2,2,4,4,4,5,7,1,1,1,0,1,22,4,4,3,4,3,mm,bw,0,1,1,49,2,2,2
s4668,1,2,4,4,4,6,NA,NA,NA,5.333333333333333,1,0,1,0,0,1,16,5,5,1,4,3,mf,bw,0,1,1,56,6,6,6
s4668,2,2,5.333333333333333,5.5,5,3,3,3,3,5.333333333333333,1,0,1,0,0,1,16,5,5,1,4,3,mf,bw,0,1,1,56,3,3,3
s4671,1,2,1,1,1,3.6,NA,NA,NA,5.333333333333333,2.5,NA,NA,NA,NA,1,25,5,5,5,5,5,mm,bw,0,1,1,49,0,0,6
s4671,2,2,5.333333333333333,4,4,3.2,3,4,3,5.333333333333333,2.5,NA,NA,NA,NA,1,25,5,5,5,5,5,mm,bw,0,1,1,49,4,2,3
s4689,1,2,1,7,1,0.4,NA,NA,NA,1,5,0,1,0,0,0,25,5,5,5,5,3,NA,NA,NA,NA,NA,NA,0,2,0
s4689,2,2,2.6666666666666665,5,1,3.6,5,4,4,1,5,0,1,0,0,0,25,5,5,5,5,3,NA,NA,NA,NA,NA,NA,4,6,2
s4692,1,2,3,4,1,2.4,NA,NA,NA,3.3333333333333335,6.25,0,1,0,1,0,7,3,3,2,3,3,mf,bw,1,1,0,34,0,5,5
s4692,2,2,3,4.5,1,1,3,3,3,3.3333333333333335,6.25,0,1,0,1,0,7,3,3,2,3,3,mf,bw,1,1,0,34,1,1,1
s4707,1,2,4,4,4,3.2,NA,NA,NA,7,7,0,0,1,0,1,3,5,5,3,3,3,ff,bw,0,1,1,37,1,3,6
s4707,2,2,4,4,4,3,5,5,3,7,7,0,0,1,0,1,3,5,5,3,3,3,ff,bw,0,1,1,37,3,3,3
s4711,1,2,2.6666666666666665,5,1,2,NA,NA,NA,4.333333333333333,6.25,0,0,0,1,0,21,3,2,1,1,1,NA,NA,NA,NA,NA,NA,2,2,3
s4711,2,2,5,6,2.6,3.6,5,5,4,4.333333333333333,6.25,0,0,0,1,0,21,3,2,1,1,1,NA,NA,NA,NA,NA,NA,6,6,6
s4713,1,2,1.6666666666666667,4,1,1.4,NA,NA,NA,5.333333333333333,3,NA,1,0,0,1,2,5,5,1,2,2,mm,bw,0,1,1,43,0,4,2
s4713,2,2,3,4.5,1,1.8,4,3,3,5.333333333333333,3,NA,1,0,0,1,2,5,5,1,2,2,mm,bw,0,1,1,43,2,2,2
s4728,1,2,1,7,1,3.4,NA,NA,NA,5,5.5,0,1,0,1,0,13,5,3,2,3,3,ff,bw,1,1,0,49,0,6,4
s4728,2,2,4.666666666666667,7,2,6,5,5,5,5,5.5,0,1,0,1,0,13,5,3,2,3,3,ff,bw,1,1,0,49,6,6,6
s4757,1,2,1,4,1,1.6,NA,NA,NA,6,6,0,1,0,0,1,3,4,4,3,3,3,mm,bw,0,1,1,43,2,1,2
s4757,2,2,4,2,3,2,3,3,3,6,6,0,1,0,0,1,3,4,4,3,3,3,mm,bw,0,1,1,43,2,2,2
s4762,1,2,4,4,2,3,NA,NA,NA,4,6,0,1,1,0,1,3,5,2,1,2,1,ff,bw,1,1,0,49,3,3,3
s4762,2,2,3.3333333333333335,5.5,1.6,3.6,5,4,4,4,6,0,1,1,0,1,3,5,2,1,2,1,ff,bw,1,1,0,49,4,6,4
s4770,1,2,1,5,1,5.2,NA,NA,NA,7,4,0,1,1,0,0,1,4,5,3,3,3,mf,bw,0,1,1,13,4,6,6
s4770,2,2,4,4,1,4.4,5,5,5,7,4,0,1,1,0,0,1,4,5,3,3,3,mf,bw,0,1,1,13,3,4,6
s4784,1,2,1,7,1,3.6,NA,NA,NA,5,5.5,0,1,1,0,0,2,5,4,1,1,1,mm,bw,0,1,1,43,3,4,4
s4784,2,2,3,3,2,2.4,4,4,3,5,5.5,0,1,1,0,0,2,5,4,1,1,1,mm,bw,0,1,1,43,0,3,4
s4795,1,2,4,4,2,2.4,NA,NA,NA,4.333333333333333,6,0,NA,NA,NA,NA,2,5,5,1,3,2,mf,bw,0,0,0,53,0,3,4
s4795,2,2,4,4,4,2.8,5,4,4,4.333333333333333,6,0,NA,NA,NA,NA,2,5,5,1,3,2,mf,bw,0,0,0,53,3,3,3
s4810,1,2,4,5.5,4,4.4,NA,NA,NA,1,7,1,0,0,1,1,23,5,5,2,5,3,mm,bw,0,1,1,49,0,6,5
s4810,2,2,2.6666666666666665,6,1,5,5,5,5,1,7,1,0,0,1,1,23,5,5,2,5,3,mm,bw,0,1,1,49,6,6,6
s4812,1,2,4,4,4,0,NA,NA,NA,4,4,NA,NA,NA,NA,NA,19,0,0,0,0,0,mm,bw,0,1,1,49,0,0,0
s4812,2,2,4.333333333333333,5.5,3.4,6,5,5,5,4,4,NA,NA,NA,NA,NA,19,0,0,0,0,0,mm,bw,0,1,1,49,6,6,6
s4817,1,2,2.3333333333333335,3,1,0,NA,NA,NA,5,6,0,1,0,0,0,16,4,3,0,3,1,ff,bw,1,1,0,49,0,0,0
s4817,2,2,3.6666666666666665,3,1,1.6,4,3,4,5,6,0,1,0,0,0,16,4,3,0,3,1,ff,bw,1,1,0,49,0,2,2
s4821,1,2,1,7,3.4,0,NA,NA,NA,4.666666666666667,4.25,0,1,1,0,0,24,5,1,0,1,1,mf,bw,0,0,0,53,0,0,0
s4821,2,2,3.6666666666666665,4,4,0,3,3,3,4.666666666666667,4.25,0,1,1,0,0,24,5,1,0,1,1,mf,bw,0,0,0,53,0,0,0
s4842,1,2,5,3.5,5,1.2,NA,NA,NA,6,7,1,1,1,0,1,21,5,4,2,3,0,mm,bw,0,1,1,43,0,1,4
s4842,2,2,5.333333333333333,4,3.8,0,2,2,2,6,7,1,1,1,0,1,21,5,4,2,3,0,mm,bw,0,1,1,43,0,0,0
s4851,1,2,4,4,4,4.2,NA,NA,NA,4,4,1,NA,NA,NA,NA,22,5,5,5,4,3,mm,bw,0,1,1,53,6,6,3
s4851,2,2,4.333333333333333,4,4,3,3,3,3,4,4,1,NA,NA,NA,NA,22,5,5,5,4,3,mm,bw,0,1,1,53,3,3,3
s4858,1,2,6.333333333333333,6,2.8,0.8,NA,NA,NA,2.3333333333333335,3.5,0,0,0,1,1,10,4,4,3,3,2,mf,bw,1,1,0,52,0,0,2
s4858,2,2,6,4,3,6,3,3,4,2.3333333333333335,3.5,0,0,0,1,1,10,4,4,3,3,2,mf,bw,1,1,0,52,6,6,6
s4871,1,2,2.6666666666666665,4.5,1,0.4,NA,NA,NA,5.333333333333333,5.75,1,1,1,0,1,20,4,4,3,4,1,mf,bw,0,1,1,56,0,0,1
s4871,2,2,3.6666666666666665,3.5,4,3.4,3,3,4,5.333333333333333,5.75,1,1,1,0,1,20,4,4,3,4,1,mf,bw,0,1,1,56,3,3,3
s4878,1,2,1,7,1.6,0.4,NA,NA,NA,5.666666666666667,6.75,0,1,0,0,0,28,4,4,3,3,2,mf,ww,1,1,0,34,0,2,0
s4878,2,2,2.6666666666666665,7,1.4,0.6,4,4,3,5.666666666666667,6.75,0,1,0,0,0,28,4,4,3,3,2,mf,ww,1,1,0,34,0,0,0
s4889,1,2,3,3.5,3,2.4,NA,NA,NA,6.333333333333333,5.25,1,NA,NA,NA,1,28,4,4,3,4,3,mm,bw,0,1,1,43,4,2,2
s4889,2,2,3.3333333333333335,6.5,3,3,3,3,3,6.333333333333333,5.25,1,NA,NA,NA,1,28,4,4,3,4,3,mm,bw,0,1,1,43,3,3,3
s4901,1,2,4,4,4,0,NA,NA,NA,4,4,0,1,0,1,0,16,3,3,3,3,3,mm,bw,0,1,1,49,0,0,0
s4901,2,2,1.6666666666666667,3,1,3.6,5,5,5,4,4,0,1,0,1,0,16,3,3,3,3,3,mm,bw,0,1,1,49,3,3,4
s4909,1,2,3,3,4,1.4,NA,NA,NA,3,4.75,NA,0,NA,NA,1,3,4,4,1,3,0,mf,bw,0,1,1,10,0,6,0
