id,time,cohort,strat_know,strat_efficacy,strat_mot,frequency_black,frequency_hispanic,frequency_asian,frequency_gay,frequency_trans,respect,centrality,yearsworked,rank,race_white,race_black,gender_d,knowledge,theories,strategy,biasworry,substitution,perspective,exposure,individuation,mindful
4-10-2-0-dr,1,2,5,5,5,4,4,2,3,2,2.75,6.333333333333333,26,0,0,0,1,2,5,1.6,1,2,0,0,0,6
4-10-2-0-dr,3,2,5,5,5,4,4,2,3,2,2.75,6.333333333333333,26,0,0,0,1,6.666666666666667,6.5,2.6,2,3,3,2,1,4
4-8-13-13-og,1,2,3,4,5,5,4,3,3,2,3,2.3333333333333335,20,0,0,1,1,6,3,1.6,4,4,2,0,0,2
4-8-13-13-og,3,2,3,4,5,5,4,3,3,2,3,2.3333333333333335,20,0,0,1,1,6.666666666666667,4,2,3.4,6,3,0,0,1
2-2-22-19-be,1,2,5,4,5,5,4,4,3,3,5.5,3.6666666666666665,25,0,0,0,1,3.6666666666666665,5,1.2,2,0,3,0,0,3
2-2-22-19-be,3,2,5,4,5,5,4,4,3,3,5.5,3.6666666666666665,25,0,0,0,1,4.333333333333333,5,2.2,1,3,3,0,2,3
3-11-5-2-ma,1,2,5,4,3,5,4,3,3,3,5,4,13,0,1,0,1,1.3333333333333333,6,4.2,2,2,6,1,6,6
3-11-5-2-ma,3,2,5,4,3,5,4,3,3,3,5,4,13,0,1,0,1,4.666666666666667,3.5,3.6,3,0,6,0,6,6
3-4-12-23-fa,1,2,5,2,3,5,4,1,1,1,5,3,26,1,1,0,1,1,6,0,1,0,0,0,0,0
3-4-12-23-fa,3,2,5,2,3,5,4,1,1,1,5,3,26,1,1,0,1,2,5,0,1,0,0,0,0,0
2-13-31-13-im,1,2,4,4,4,4,4,3,4,1,5.25,5,21,0,1,0,1,2.6666666666666665,4,3.6,4,5,5,1,2,5
2-13-31-13-im,3,2,4,4,4,4,4,3,4,1,5.25,5,21,0,1,0,1,4,4,3,1,3,3,3,3,3
2-12-7-12-st,1,2,4,3,3,4,4,3,2,1,5,1,15,0,0,1,0,5,7,1.8,1,0,0,5,0,4
2-12-7-12-st,3,2,4,3,3,4,4,3,2,1,5,1,15,0,0,1,0,5,4,0.8,1,0,2,0,2,0
3-13-28-5-cr,1,2,5,5,5,5,5,5,5,3,7,4,23,0,0,0,1,5,4.5,3,4,0,6,3,3,3
3-13-28-5-cr,3,2,5,5,5,5,5,5,5,3,7,4,23,0,0,0,1,4,4,4.8,1,0,6,6,6,6
1-11-9-19-ma,1,2,3,3,3,3,3,3,3,3,4,4,26,NA,NA,NA,NA,4,4,6,4,6,6,6,6,6
1-11-9-19-ma,3,2,3,3,3,3,3,3,3,3,4,4,26,NA,NA,NA,NA,4,4,6,4,6,6,6,6,6
4-13-27-1-85,1,2,3,3,3,4,4,3,3,3,4.5,3.6666666666666665,22,0,1,0,1,4,7,0.6,1,0,2,0,0,1
4-13-27-1-85,3,2,3,3,3,4,4,3,3,3,4.5,3.6666666666666665,22,0,1,0,1,4,4,0.6,4,2,1,0,0,0
4-14-10-0-21,1,2,3,4,4,2,4,2,0,0,4.75,3.6666666666666665,14,0,0,0,1,2.6666666666666665,3,1.2,2,0,1,1,1,3
4-14-10-0-21,3,2,3,4,4,2,4,2,0,0,4.75,3.6666666666666665,14,0,0,0,1,4,3,0.8,2,1,1,0,1,1
0-6-6-19-pa,1,2,5,4,3,5,5,4,5,0,5.5,4,24,0,0,1,0,2.6666666666666665,6,0,2,0,0,0,0,0
0-6-6-19-pa,3,2,5,4,3,5,5,4,5,0,5.5,4,24,0,0,1,0,3,5,1.2,3,0,0,0,0,6
3-2-4-5-le,1,2,5,3,3,4,4,3,4,2,6,4.666666666666667,29,0,0,1,1,4,2,6,1,6,6,6,6,6
3-2-4-5-le,3,2,5,3,3,4,4,3,4,2,6,4.666666666666667,29,0,0,1,1,4.666666666666667,7,2.8,1,2,6,2,2,2
2-12-27-10-co,1,2,1,1,1,4,4,1,2,1,4,4,21,0,NA,NA,NA,4,4,1,4,1,1,1,1,1
2-12-27-10-co,3,2,1,1,1,4,4,1,2,1,4,4,21,0,NA,NA,NA,1.3333333333333333,3,0,1,0,0,0,0,0
3-13-5-10-na,1,2,3,3,3,4,4,3,4,3,7,5,22,1,1,0,1,2.6666666666666665,5.5,0,1,0,0,0,0,0
3-13-5-10-na,3,2,3,3,3,4,4,3,4,3,7,5,22,1,1,0,1,2,4,0,1,0,0,0,0,0
3-12-1-11-bi,1,2,3,4,4,5,4,1,4,1,6.25,5.333333333333333,3,0,0,1,1,2,7,2.6,5,0,6,0,5,2
3-12-1-11-bi,3,2,3,4,4,5,4,1,4,1,6.25,5.333333333333333,3,0,0,1,1,6.333333333333333,2,3.6,5.2,0,6,0,6,6
5-13-20-0-ta,1,2,4,4,4,5,5,5,3,3,4.5,5.333333333333333,20,1,0,0,1,1,5.5,4,1,6,5,3,3,3
5-13-20-0-ta,3,2,4,4,4,5,5,5,3,3,4.5,5.333333333333333,20,1,0,0,1,1,7,6,1,6,6,6,6,6
2-14-20-0-ka,1,2,3,3,3,4,4,3,3,3,6,6,3,0,0,0,1,1,4,1.6,1,2,1,3,0,2
2-14-20-0-ka,3,2,3,3,3,4,4,3,3,3,6,6,3,0,0,0,1,2.6666666666666665,3,2,2,2,2,2,2,2
2-13-1-12-or,1,2,5,4,3,5,4,1,1,1,5.5,5,2,0,1,0,1,1,7,3.6,1,3,4,4,3,4
2-13-1-12-or,3,2,5,4,3,5,4,1,1,1,5.5,5,2,0,1,0,1,3.3333333333333335,3.5,1,3.4,0,2,2,1,0
1-11-15-7-gr,1,2,4,4,4,4,4,4,3,3,5,4.333333333333333,25,0,1,0,1,4,5,1.2,3,0,2,0,0,4
1-11-15-7-gr,3,2,4,4,4,4,4,4,3,3,5,4.333333333333333,25,0,1,0,1,4,5.5,0.6,1,0,2,0,0,1
3-3-3-15-wo,1,2,4,4,4,3,3,3,3,2,1,1,22,0,0,0,1,5.666666666666667,3.5,3,5,3,3,3,3,3
3-3-3-15-wo,3,2,4,4,4,3,3,3,3,2,1,1,22,0,0,0,1,4,3,3,3,3,3,3,3,3
2-13-10-1-va,1,2,4,1,3,4,4,4,4,2,3.75,5.666666666666667,3,NA,NA,NA,1,3,4,3,1,0,4,0,5,6
2-13-10-1-va,3,2,4,1,3,4,4,4,4,2,3.75,5.666666666666667,3,NA,NA,NA,1,2.6666666666666665,4.5,2.2,1,0,3,2,6,0
3-18-21-10-ca,1,2,3,3,2,5,4,2,3,0,7,6,21,1,1,0,1,5,3.5,1.2,5,0,1,0,1,4
3-18-21-10-ca,3,2,3,3,2,5,4,2,3,0,7,6,21,1,1,0,1,5,5,0,5,0,0,0,0,0
3-19-30-11-ki,1,2,3,3,3,4,4,3,3,2,3.5,2.3333333333333335,10,0,0,1,0,6.333333333333333,6,0.8,2.8,0,0,2,0,2
3-19-30-11-ki,3,2,3,3,3,4,4,3,3,2,3.5,2.3333333333333335,10,0,0,1,0,6,6,1.2,3,0,2,0,2,2
6-16-24-3-ma,1,2,4,4,5,4,4,3,3,1,6.5,6.333333333333333,30,0,1,0,0,2.3333333333333335,7,4.4,1,3,6,6,4,3
6-16-24-3-ma,3,2,4,4,5,4,4,3,3,1,6.5,6.333333333333333,30,0,1,0,0,1,7,0.6,1,0,3,0,0,0
1-3-21-13-ki,1,2,4,3,3,4,4,3,4,3,5.25,6.333333333333333,28,1,NA,NA,NA,3,3.5,2.4,3,4,2,0,4,2
1-3-21-13-ki,3,2,4,3,3,4,4,3,4,3,5.25,6.333333333333333,28,1,NA,NA,NA,4,6.5,2.6,3.2,2,3,1,6,1
2-11-23-13-lo,1,2,5,3,2,5,5,2,3,1,5.5,4.666666666666667,29,1,0,0,1,4,6,1,4,0,0,2,0,3
2-11-23-13-lo,3,2,5,3,2,5,5,2,3,1,5.5,4.666666666666667,29,1,0,0,1,3,7,0,1,0,0,0,0,0
1-5-19-5-ch,1,2,4,3,4,4,4,4,4,3,6,6,26,0,1,0,1,2,5,0.6,2,0,1,0,1,1
1-5-19-5-ch,3,2,4,3,4,4,4,4,4,3,6,6,26,0,1,0,1,3,2,1.6,3,1,2,2,1,2
12-3-21-0-ki,1,2,4,4,3,5,4,0,2,1,1.75,2,2,0,0,0,1,5.333333333333333,3.5,3.8,1.2,3,6,2,2,6
12-3-21-0-ki,3,2,4,4,3,5,4,0,2,1,1.75,2,2,0,0,0,1,5,3.5,3.2,4,0,6,2,2,6
6-16-5-5-fi,1,2,4,5,5,4,3,2,3,3,2,1,23,1,1,0,0,4.666666666666667,5.5,4,4.6,5,5,3,4,3
6-16-5-5-fi,3,2,4,5,5,4,3,2,3,3,2,1,23,1,1,0,0,6.666666666666667,4,2.4,4.2,3,3,0,2,4
2-2-2-6-je,1,2,4,5,4,5,4,3,3,3,5,1.6666666666666667,28,0,0,1,0,3,4.5,2.2,2,0,5,0,0,6
2-2-2-6-je,3,2,4,5,4,5,4,3,3,3,5,1.6666666666666667,28,0,0,1,0,4.666666666666667,2.5,4.8,3.8,4,6,6,6,2
2-4-16-4-ke,1,2,5,5,5,4,4,3,4,2,4.75,4.666666666666667,12,0,0,0,0,1,7,3.2,1,3,3,4,3,3
2-4-16-4-ke,3,2,5,5,5,4,4,3,4,2,4.75,4.666666666666667,12,0,0,0,0,1,5.5,1.2,1,0,2,1,1,2
3-1-7-22-lo,1,2,5,3,3,5,5,4,4,3,4.5,7,30,0,NA,NA,NA,5.666666666666667,5.5,1.6,5.4,0,2,1,2,3
3-1-7-22-lo,3,2,5,3,3,5,5,4,4,3,4.5,7,30,0,NA,NA,NA,6,7,1.2,2.8,0,3,1,0,2
2-22-14-13-mc,1,2,4,4,4,5,5,2,1,0,4,4,22,0,0,0,1,4,4,0.2,4,1,0,0,0,0
2-22-14-13-mc,3,2,4,4,4,5,5,2,1,0,4,4,22,0,0,0,1,3,4,0.4,1.4,0,0,0,0,2
1-3-6-2-ki,1,2,5,4,4,5,5,3,4,3,5.25,4.666666666666667,20,1,0,1,0,2.3333333333333335,4.5,3.6,1,2,4,5,2,5
1-3-6-2-ki,3,2,5,4,4,5,5,3,4,3,5.25,4.666666666666667,20,1,0,1,0,3,4.5,1.8,1,2,3,0,1,3
2-5-8-13-in,1,2,4,3,3,5,4,3,3,1,4.5,1.3333333333333333,22,0,0,1,0,4.333333333333333,7,1.2,2,0,0,2,0,4
2-5-8-13-in,3,2,4,3,3,5,4,3,3,1,4.5,1.3333333333333333,22,0,0,1,0,3.6666666666666665,6,2,1.4,0,4,0,2,4
2-5-5-1-my,1,2,5,3,3,5,4,1,3,1,3.25,6,24,0,1,0,1,5.666666666666667,2,2.2,4.8,0,2,0,3,6
2-5-5-1-my,3,2,5,3,3,5,4,1,3,1,3.25,6,24,0,1,0,1,5.666666666666667,1,0.2,1,0,1,0,0,0
2-20-24-0-zw,1,2,3,3,3,3,3,3,3,3,1,1,19,NA,1,0,1,1,7,0,1,0,0,0,0,0
2-20-24-0-zw,3,2,3,3,3,3,3,3,3,3,1,1,19,NA,1,0,1,4,4,0,4,0,0,0,0,0
1-3-6-19-lo,1,2,3,3,3,3,3,3,3,3,4,4,22,NA,NA,NA,NA,4,4,0,4,0,0,0,0,0
1-3-6-19-lo,3,2,3,3,3,3,3,3,3,3,4,4,22,NA,NA,NA,NA,4,5,0,4,0,0,0,0,0
1-22-16-1-99,1,2,4,4,4,5,4,1,4,3,4,4,3,0,1,0,0,3,5.5,0.4,4,0,2,0,0,0
1-22-16-1-99,3,2,4,4,4,5,4,1,4,3,4,4,3,0,1,0,0,3.3333333333333335,4,1.6,3,3,3,0,0,2
4-19-5-3-sa,1,2,4,3,4,3,3,2,2,1,5,1,21,1,0,1,0,4.333333333333333,3.5,1.8,2.8,0,6,0,0,3
4-19-5-3-sa,3,2,4,3,4,3,3,2,2,1,5,1,21,1,0,1,0,2,4.5,2.4,1,0,6,0,0,6
1-13-24-1-be,1,2,5,3,4,4,4,4,4,2,5.5,5.666666666666667,29,0,1,0,1,3.6666666666666665,7,3.8,2,2,4,1,6,6
1-13-24-1-be,3,2,5,3,4,4,4,4,4,2,5.5,5.666666666666667,29,0,1,0,1,4.333333333333333,6,2.6,1,0,2,6,1,4
3-18-24-18-ho,1,2,5,5,5,5,5,4,3,3,5.25,5.333333333333333,18,0,0,1,0,4,6.5,4.6,1.4,3,6,4,4,6
3-18-24-18-ho,3,2,5,5,5,5,5,4,3,3,5.25,5.333333333333333,18,0,0,1,0,5.333333333333333,7,1.4,1.8,0,5,0,1,1
4-5-21-0-mo,1,2,4,4,4,3,3,3,3,3,4,7,16,1,0,0,1,2,7,1.6,1,0,2,2,2,2
4-5-21-0-mo,3,2,4,4,4,3,3,3,3,3,4,7,16,1,0,0,1,3,6,3.8,1,6,4,3,3,3
3-16-10-18-li,1,2,3,3,3,3,3,3,3,3,4,4,21,NA,NA,NA,NA,1,4.5,0,1,0,0,0,0,0
3-16-10-18-li,3,2,3,3,3,3,3,3,3,3,4,4,21,NA,NA,NA,NA,4,4,1,4,1,1,1,1,1
3-5-20-0-la,1,2,5,4,3,3,2,0,1,1,3,2.3333333333333335,25,0,0,1,0,2.6666666666666665,5,0.6,1.4,0,0,0,0,3
3-5-20-0-la,3,2,5,4,3,3,2,0,1,1,3,2.3333333333333335,25,0,0,1,0,3.6666666666666665,5,1,1.6,1,2,0,0,2
3-5-19-0-ke,1,2,5,4,4,5,5,3,4,3,2.25,3.6666666666666665,2,0,0,0,1,1.3333333333333333,6.5,1.4,1,0,2,1,2,2
3-5-19-0-ke,3,2,5,4,4,5,5,3,4,3,2.25,3.6666666666666665,2,0,0,0,1,1,6,1.2,1,0,2,2,1,1
6-10-21-0-wa,1,2,5,5,5,5,5,3,4,3,4.5,4.333333333333333,25,1,0,1,0,3,7,4.8,1,6,6,6,2,4
6-10-21-0-wa,3,2,5,5,5,5,5,3,4,3,4.5,4.333333333333333,25,1,0,1,0,1,7,4.8,1,6,6,6,3,3
3-11-6-10-83,1,2,1,1,1,5,3,0,3,0,4,4,13,0,1,0,1,1,7,0,1,0,0,0,0,0
3-11-6-10-83,3,2,1,1,1,5,3,0,3,0,4,4,13,0,1,0,1,1,7,0,1,0,0,0,0,0
4-11-5-7-st,1,2,4,4,4,4,4,1,3,2,4.75,2.6666666666666665,2,0,1,0,0,2.3333333333333335,3.5,1.8,1,0,3,2,2,2
4-11-5-7-st,3,2,4,4,4,4,4,1,3,2,4.75,2.6666666666666665,2,0,1,0,0,4,4,4,2,4,4,4,4,4
4-5-12-23-pr,1,2,4,2,2,4,4,0,3,2,5.25,2.6666666666666665,15,0,NA,NA,NA,4.333333333333333,6,2.2,2,0,5,4,2,0
4-5-12-23-pr,3,2,4,2,2,4,4,0,3,2,5.25,2.6666666666666665,15,0,NA,NA,NA,2,4.5,1.8,2,0,0,3,0,6
6-13-1-11-me,1,2,4,3,3,4,4,1,2,1,2,1.6666666666666667,24,NA,NA,NA,NA,1,7,1.8,1,0,3,3,0,3
6-13-1-11-me,3,2,4,3,3,4,4,1,2,1,2,1.6666666666666667,24,NA,NA,NA,NA,4.333333333333333,6,2.2,2,2,2,2,2,3
3-13-11-1-st,1,2,4,3,3,4,1,1,2,2,4,4,3,0,0,0,1,4,4,1.8,4,1,2,2,2,2
3-13-11-1-st,3,2,4,3,3,4,1,1,2,2,4,4,3,0,0,0,1,4,4,3,4,3,3,3,3,3
1-21-15-21-no,1,2,3,4,3,5,3,3,3,3,5.25,6,2,0,1,0,0,2.3333333333333335,7,1.8,1,1,5,2,1,0
1-21-15-21-no,3,2,3,4,3,5,3,3,3,3,5.25,6,2,0,1,0,0,3,6,0.6,2,0,1,1,0,1
3-11-14-18-sa,1,2,3,3,3,5,2,1,2,2,6,7,11,0,1,0,1,2,4.5,0,1.2,0,0,0,0,0
3-11-14-18-sa,3,2,3,3,3,5,2,1,2,2,6,7,11,0,1,0,1,3.6666666666666665,4.5,0.4,1,1,1,0,0,0
2-10-11-0-bi,1,2,4,4,4,5,5,3,3,3,5,3,18,0,0,1,0,2,4.5,0.4,2.8,0,1,0,0,1
2-10-11-0-bi,3,2,4,4,4,5,5,3,3,3,5,3,18,0,0,1,0,3,3,1,1,0,2,0,1,2
2-12-5-9-ca,1,2,5,4,5,4,4,0,2,1,4.25,5,3,0,0,0,1,4.666666666666667,1,4.2,4,2,5,4,6,4
2-12-5-9-ca,3,2,5,4,5,4,4,0,2,1,4.25,5,3,0,0,0,1,4,4,5.8,4,5,6,6,6,6
4-15-22-4-oa,1,2,4,5,3,5,5,5,2,1,3.25,3.3333333333333335,12,0,0,1,0,1.3333333333333333,5.5,2,1.4,0,2,0,3,5
4-15-22-4-oa,3,2,4,5,3,5,5,5,2,1,3.25,3.3333333333333335,12,0,0,1,0,2.3333333333333335,7,1.4,1,2,3,0,0,2
6-5-10-0-mo,1,2,4,3,5,5,4,4,3,2,3,3,2,0,0,0,1,4,5,0.8,1,1,0,0,0,3
6-5-10-0-mo,3,2,4,3,5,5,4,4,3,2,3,3,2,0,0,0,1,7,3,1.6,3,2,2,2,0,2
7-3-13-0-ww,1,2,3,3,3,3,3,3,3,3,4,4,4,0,0,0,1,4,4,3,4,3,3,3,3,3
7-3-13-0-ww,3,2,3,3,3,3,3,3,3,3,4,4,4,0,0,0,1,4,4,3.8,4,5,4,3,3,4
3-4-9-1-da,1,2,4,4,4,4,4,3,3,2,4,4,10,0,0,1,1,4,4,3,4,3,3,3,3,3
3-4-9-1-da,3,2,4,4,4,4,4,3,3,2,4,4,10,0,0,1,1,4.666666666666667,5.5,2,1,2,2,2,2,2
2-13-31-10-dr,1,2,5,5,5,5,5,1,4,2,4.75,2,18,0,NA,NA,0,3.3333333333333335,2.5,4.6,4,3,6,4,4,6
2-13-31-10-dr,3,2,5,5,5,5,5,1,4,2,4.75,2,18,0,NA,NA,0,3.3333333333333335,3,4.4,1,0,6,6,4,6
1-12-12-1-ma,1,2,5,4,4,4,4,0,3,2,4,4.666666666666667,3,0,NA,NA,NA,1,5.5,4.2,1,0,6,3,6,6
1-12-12-1-ma,3,2,5,4,4,4,4,0,3,2,4,4.666666666666667,3,0,NA,NA,NA,3,4,5.2,1,5,6,4,5,6
1-4-17-13-mo,1,2,3,3,3,4,4,2,3,3,4,3,21,0,1,0,1,1,7,0,1,0,0,0,0,0
1-4-17-13-mo,3,2,3,3,3,4,4,2,3,3,4,3,21,0,1,0,1,4,4,0,4,0,0,0,0,0
2-14-16-3-er,1,2,5,3,2,5,4,3,2,1,5,1,19,0,0,0,1,2.3333333333333335,6.5,4.2,6,0,6,3,6,6
2-14-16-3-er,3,2,5,3,2,5,4,3,2,1,5,1,19,0,0,0,1,7,4,5.6,7,6,6,6,4,6
1-4-16-19-la,1,2,3,3,4,4,3,2,1,1,4.25,5.666666666666667,2,0,1,0,1,4.333333333333333,4.5,2.8,3.6,1,6,0,1,6
1-4-16-19-la,3,2,3,3,4,4,3,2,1,1,4.25,5.666666666666667,2,0,1,0,1,5.333333333333333,5,2.4,4,2,4,1,3,2
0-19-1-0-wa,1,2,1,1,1,5,5,2,3,3,5.25,5,8,0,1,0,1,1,6,1.2,1,0,2,1,0,3
0-19-1-0-wa,3,2,1,1,1,5,5,2,3,3,5.25,5,8,0,1,0,1,1,6,0,1,0,0,0,0,0
1-13-17-10-ma,1,2,5,2,1,4,4,3,2,1,2.25,3,16,1,1,0,1,3.6666666666666665,6,3,4,2,6,3,0,4
1-13-17-10-ma,3,2,5,2,1,4,4,3,2,1,2.25,3,16,1,1,0,1,3.6666666666666665,6,0,2,0,0,0,0,0
2-10-2-4-la,1,2,5,3,3,5,5,2,3,2,5.75,5.333333333333333,24,1,NA,NA,NA,3.6666666666666665,4,2.8,4,2,2,2,4,4
2-10-2-4-la,3,2,5,3,3,5,5,2,3,2,5.75,5.333333333333333,24,1,NA,NA,NA,4,5.5,0,1,0,0,0,0,0
1-16-8-7-pu,1,2,5,1,5,4,3,3,3,1,2.5,2.3333333333333335,26,NA,NA,NA,NA,2,4,3.2,1.2,0,4,4,4,4
1-16-8-7-pu,3,2,5,1,5,4,3,3,3,1,2.5,2.3333333333333335,26,NA,NA,NA,NA,4,3,0.2,1,0,1,0,0,0
