id,cohort,knowledge.t1,theories.t1,biasworry.t1,strategy_use,knowledge.t2,theories.t2,biasworry.t2,strategy_intend,strat.t2,centrality,respect,rank,gender_d,race,race_white,race_black,education,education_ba,yearsworked,yearsworked_5y,yearsworked_10y,frequency_white,frequency_black,frequency_asian,frequency_hispanic,frequency_gay,frequency_trans,facilduo_gender,facilduo_race,facilduo_le,facilduo_relatedle,facilduo_relatedle_nole,attendance,session_year,session_month,session_day,substitution_use,perspective_use,exposure_use,individuation_use,mindful_use,substitution_intend,perspective_intend,exposure_intend,individuation_intend,mindful_intend,knowledge_bias.t1,knowledge_race.t1,knowledge_culture.t1,theories1.t1,theories2.t1,knowledge_bias.t2,knowledge_race.t2,knowledge_culture.t2,theories1.t2,theories2.t2,biasworry_white.t1,biasworry_black.t1,biasworry_asian.t1,biasworry_hispanic.t1,biasworry_lgb.t1,biasworry_trans.t1,biasworry_white.t2,biasworry_black.t2,biasworry_asian.t2,biasworry_hispanic.t2,biasworry_lgb.t2,biasworry_trans.t2,strat_know.t2,strat_efficacy.t2,strat_mot.t2,centrality1,centrality2,centrality3,respect1,respect2,respect3,respect4
s4086,2,7,5,2,5.4,7,4.5,5,4.8,5,1,2.5,0,1,white,1,0,Bachelors degree,1,3,0,0,1,5,1,5,3,1,mm,bw,0,1,1,43,2020,10,23,3,6,6,6,6,2,6,4,6,6,7,7,7,3,7,7,7,7,2,7,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,1,1,1,1,3,5,1
s4093,2,2.6666666666666665,4.5,5,3,3,4.5,3.2,5.4,4.333333333333333,7,6,0,1,white,1,0,Bachelors degree,1,3,0,0,1,5,0,4,3,2,mm,bw,0,1,1,49,2020,10,27,1,6,3,3,2,6,6,6,5,4,4,2,2,3,6,5,2,2,4,5,5,5,5,5,5,5,4,4,4,4,2,2,5,4,4,7,7,7,6,6,6,6
s4152,2,2,6.5,1,0,2,5.5,1,6,5,1.3333333333333333,2.5,0,1,hispanic,0,0,Bachelors degree,1,28,1,1,4,4,1,4,1,1,mf,bw,0,1,1,50,2020,11,6,0,0,0,0,0,6,6,6,6,6,4,1,1,7,6,4,1,1,5,6,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,2,1,2,3,2,3
s4154,2,3,5,1,3.8,4,4,1,4.8,4,4,6,0,1,white,1,0,Associates degree,0,14,1,1,4,4,2,3,2,2,mm,bw,0,1,1,43,2020,10,23,0,6,4,3,6,0,6,6,6,6,4,2,3,4,6,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,6,6,6,6
s4177,2,6.333333333333333,1,1,2.2,1,7,1,3.4,5,5,7,0,1,hispanic,0,0,Some college,0,25,1,1,4,5,1,5,1,0,mf,bw,0,0,0,53,2020,11,11,6,2,0,0,3,5,5,3,3,1,7,6,6,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,7,4,4,7,7,7,7
s4184,2,1,7,1,3.6,5.333333333333333,6,1.6,2.8,4.333333333333333,3,1,0,0,hispanic,0,0,Bachelors degree,1,8,1,0,5,5,4,5,5,2,mf,ww,1,1,0,34,2020,12,15,3,4,3,2,6,1,5,1,3,4,1,1,1,7,7,6,5,5,5,7,1,1,1,1,1,1,3,2,1,2,2,1,4,4,5,1,4,4,1,1,1,1
s4185,2,2,6,1,2.2,3,7,4,6,5,4.333333333333333,6.5,1,0,hispanic,0,0,Graduate degree,1,28,1,1,3,4,3,4,3,3,ff,bw,1,1,0,11,2021,1,19,2,3,0,3,3,6,6,6,6,6,4,1,1,6,6,3,5,1,7,7,1,1,1,1,1,1,7,4,4,4,4,4,5,5,5,3,5,5,7,7,6,6
s4187,2,3,7,1,4.4,1,7,1,1.6,4.666666666666667,1,7,0,1,black,0,1,Graduate degree,1,21,1,1,5,5,5,5,5,1,ff,bw,0,0,0,55,2020,11,18,6,6,4,0,6,0,2,2,2,2,4,1,4,7,7,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,1,1,1,7,7,7,7
s4188,2,5.333333333333333,3,5,0.6,5,5,4,3,3.3333333333333335,7,7,1,0,white,1,0,Bachelors degree,1,21,1,1,4,4,1,4,3,1,mf,bw,0,0,0,38,2020,12,2,0,2,0,0,1,3,3,3,3,3,5,5,6,3,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,7,7,7,7,7,7,7
s4194,2,1,7,1,2.4,1,7,1,1.8,3,3.3333333333333335,4,NA,0,black,0,1,Graduate degree,1,13,1,1,3,4,2,4,4,2,mf,bw,0,1,1,34,2020,12,9,0,6,0,0,6,2,1,2,2,2,1,1,1,7,7,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,2,4,4,4,4
s4207,2,4,2.5,2.4,1.6,5,2.5,4.6,2.8,3,4.333333333333333,1.75,0,1,hispanic,0,0,Some college,0,21,1,1,2,4,1,4,1,0,mf,bw,0,1,1,34,2020,12,9,3,3,0,0,2,2,3,3,3,3,5,5,2,2,3,6,5,4,3,2,3,4,2,4,1,1,4,5,4,5,5,4,3,3,3,2,5,6,1,4,1,1
s4217,2,3.6666666666666665,2.5,1.6,3.2,1.6666666666666667,5,4.2,2.2,3.6666666666666665,6,5.5,0,1,hispanic,0,0,Bachelors degree,1,3,0,0,1,5,0,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,3,4,2,3,2,2,2,5,1,5,2,3,2,2,1,5,5,3,2,3,1,1,1,5,6,6,3,3,3,4,3,4,7,6,5,5,4,7,6
s4221,2,2.6666666666666665,5,3,2.8,3.6666666666666665,5,3,0,2,1,6,0,1,white,1,0,Graduate degree,1,26,1,1,2,4,1,4,1,1,mf,bw,0,0,0,52,2020,10,29,0,3,3,5,3,0,0,0,0,0,3,3,2,5,5,3,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,6,7,5,6
s4225,2,4.333333333333333,3,1,2.6,3.3333333333333335,4.5,1,1,3.6666666666666665,3,1.5,0,1,NA,NA,NA,Bachelors degree,1,21,1,1,5,5,4,5,4,3,ff,bw,0,1,1,23,2020,12,7,0,4,3,4,2,1,1,1,1,1,7,3,3,3,3,4,2,4,3,6,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,1,2,1,2
s4237,2,2.6666666666666665,6,1,0,1,4,1,0,2.6666666666666665,5,7,1,1,hispanic,0,0,Graduate degree,1,22,1,1,4,5,1,4,3,1,mf,bw,1,1,0,52,2020,11,4,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,4,5,6,7,7,7,7
s4259,2,4.666666666666667,7,4,1.8,3.3333333333333335,4.5,4.4,3,5,3.3333333333333335,6.25,0,0,black,0,1,Graduate degree,1,21,1,1,3,5,2,3,3,2,mm,bw,0,1,1,53,2020,11,25,3,3,0,0,3,3,3,3,3,3,5,4,5,7,7,1,4,5,2,7,4,4,4,4,4,4,5,5,4,5,4,4,5,5,5,5,3,2,7,7,7,4
s4274,2,1,7,1,0,1.3333333333333333,3,1,6,5,1,7,0,1,NA,NA,NA,Bachelors degree,1,22,1,1,4,3,3,4,2,1,mf,bw,0,1,1,50,2020,11,10,0,0,0,0,0,6,6,6,6,6,1,1,1,7,7,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,7,7,7,7
s4309,2,4.333333333333333,5,1,5,6,5,5,5,5,1,1,1,1,black,0,1,Graduate degree,1,25,1,1,4,4,4,4,4,4,mf,bw,0,0,0,9,2020,12,30,5,5,5,5,5,5,5,5,5,5,1,7,5,3,7,6,6,6,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1
s4317,2,5,7,2,0,4,4,4,1.6,3.6666666666666665,2.6666666666666665,5,0,1,black,0,1,Some college,0,24,1,1,3,3,3,3,3,3,mf,bw,1,1,0,52,2020,11,4,0,0,0,0,0,2,2,2,1,1,7,2,6,7,7,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,1,5,2,2,6,6,6
s4323,2,1,7,1,2.8,3,4,1,2.4,3,4,6.25,0,1,hispanic,0,0,Bachelors degree,1,14,1,1,4,4,4,4,2,2,mf,bw,0,0,0,53,2020,11,11,3,3,2,3,3,0,3,3,3,3,1,1,1,7,7,4,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,4,4,4,4,7,7,7
s4332,2,4,5,4,0.8,2.3333333333333335,5.5,1.8,1.6,4,4.666666666666667,7,NA,1,white,1,0,Some college,0,24,1,1,4,4,3,3,2,1,mf,bw,0,1,1,50,2020,11,6,2,2,0,0,0,1,2,2,2,1,4,4,4,5,5,2,3,2,6,5,4,4,4,4,4,4,1,3,1,1,2,2,4,4,4,4,5,5,7,7,7,7
s4367,2,2.6666666666666665,1,3,4.8,4,2.5,2,0,1.3333333333333333,4,6.25,0,1,hispanic,0,0,Bachelors degree,1,17,1,1,5,5,5,5,5,2,mf,bw,0,1,1,34,2020,12,9,3,6,3,6,6,0,0,0,0,0,3,3,2,1,1,6,2,4,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,3,4,5,7,7,7,4
s4386,2,3.3333333333333335,4,4,4.8,5,7,5,0,3.3333333333333335,1,1,0,0,NA,NA,NA,Bachelors degree,1,19,1,1,4,4,2,4,4,4,mf,bw,0,1,1,35,2020,12,4,0,6,6,6,6,0,0,0,0,0,4,1,5,4,4,5,5,5,7,7,4,4,4,4,4,4,5,5,5,5,5,5,4,3,3,1,1,1,1,1,1,1
s4421,2,2,5,1,0,3,3,2,0.2,3.3333333333333335,4.333333333333333,7,1,1,white,1,0,Bachelors degree,1,29,1,1,4,5,2,5,3,1,ff,bw,0,0,0,55,2020,11,18,0,0,0,0,0,0,0,0,0,1,2,1,3,5,5,4,3,2,3,3,1,1,1,1,1,1,1,2,2,2,2,2,5,3,2,5,5,3,7,7,7,7
s4422,2,5,3,1,2.4,1.6666666666666667,3.5,1,0.4,3.3333333333333335,5.333333333333333,7,1,1,white,1,0,Graduate degree,1,27,1,1,2,4,1,3,1,1,mf,bw,0,0,0,29,2020,12,16,2,4,2,2,2,0,0,0,0,2,4,7,4,3,3,3,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,7,5,7,7,7,7
s4436,2,2,7,1,0.6,1,7,1,5.2,5,4,5.5,1,1,hispanic,0,0,Bachelors degree,1,20,1,1,4,4,4,4,4,1,mf,bw,0,1,1,10,2021,1,8,0,1,1,0,1,6,5,5,5,5,4,1,1,7,7,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,7,1,7,5,5,5
s4448,2,5,4,4,2,5,5,4,2,3,4,6,0,1,white,1,0,Graduate degree,1,29,1,1,4,4,2,3,4,3,mf,bw,0,0,0,54,2020,10,28,2,2,2,2,2,2,2,2,2,2,5,5,5,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,6,6,6,6
s4451,2,2,5,1,1.6,4,6,1,4.4,4.666666666666667,6.333333333333333,2.75,0,1,hispanic,0,0,Some college,0,26,1,1,4,4,2,4,3,2,mf,bw,1,1,0,39,2020,12,18,2,0,0,0,6,4,6,2,4,6,1,1,4,5,5,5,2,5,6,6,1,1,1,1,1,1,2,1,1,1,1,1,5,4,5,6,7,6,1,4,4,2
s4457,2,4.333333333333333,7,1,0,4.333333333333333,6,2,6,4.333333333333333,6,6.5,1,1,white,1,0,Graduate degree,1,21,1,1,5,5,5,5,4,2,mm,bw,0,1,1,49,2020,10,27,0,0,0,0,0,6,6,6,6,6,6,2,5,7,7,2,5,6,6,6,1,1,1,1,1,1,2,2,2,2,2,2,4,5,4,6,6,6,7,7,7,5
s4458,2,3,1.5,4,1.4,1.6666666666666667,7,1,4.4,4.333333333333333,2.6666666666666665,4.75,NA,NA,hispanic,0,0,NA,NA,26,1,1,5,5,4,5,4,4,mm,bw,0,1,1,53,2020,11,25,1,2,0,0,4,0,6,6,4,6,4,1,4,2,1,1,3,1,7,7,4,4,4,4,4,4,1,1,1,1,1,1,5,4,4,1,4,3,4,5,7,3
s4460,2,1,6,1,2,4.666666666666667,2.5,4,2.4,4.333333333333333,7,4,0,0,white,1,0,Some college,0,27,1,1,4,3,3,3,4,0,ff,bw,0,1,1,26,2020,12,14,0,5,0,0,5,3,3,0,3,3,1,1,1,6,6,5,5,4,2,3,1,1,1,1,1,1,4,4,4,4,4,4,5,4,4,7,7,7,4,4,4,4
s4465,2,2.6666666666666665,5.5,1,4,4,5,4,2,4,6.666666666666667,7,1,1,hispanic,0,0,Some college,0,24,1,1,5,5,3,5,4,3,mf,bw,0,1,1,50,2020,11,6,3,4,4,4,5,2,2,2,2,2,6,1,1,4,7,4,4,4,4,6,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,7,6,7,7,7,7,7
s4467,2,4,7,4,2,4.333333333333333,7,1,4.8,5,5,4.75,0,0,black,0,1,Some college,0,28,1,1,4,4,3,4,3,3,mf,bw,0,0,0,51,2020,11,20,0,0,4,3,3,3,6,6,3,6,4,4,4,7,7,6,1,6,7,7,4,4,4,4,4,4,1,1,1,1,1,1,5,5,5,6,4,5,6,5,3,5
s4483,2,1,2,1,0.6,2.3333333333333335,3,1,1.2,5,6,7,0,1,white,1,0,Graduate degree,1,26,1,1,5,5,4,5,5,2,mf,bw,1,1,0,52,2020,11,4,0,1,1,0,1,2,1,1,1,1,1,1,1,2,2,2,4,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,7,6,5,7,7,7,7
s4484,2,1,6,1,0,2,5,1,0,3.3333333333333335,3,5,1,1,white,1,0,Bachelors degree,1,26,1,1,3,5,1,4,1,1,mf,bw,0,1,1,32,2020,12,17,0,0,0,0,0,0,0,0,0,0,1,1,1,6,6,2,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,3,2,2,5,2,2,7,7,4
s4491,2,1,4,1,2.4,3,6,1,6,4,4,7,0,0,black,0,1,Graduate degree,1,19,1,1,3,5,2,4,1,1,NA,NA,0,0,0,30,2020,12,1,0,6,0,0,6,6,6,6,6,6,1,1,1,4,4,4,1,4,6,6,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,7,7,7,7
s4516,2,5,7,1,1.8,6,7,1,1.4,2.6666666666666665,1,5,0,0,black,0,1,Graduate degree,1,15,1,1,4,4,3,4,2,1,mf,bw,0,1,1,56,2020,11,9,0,0,5,0,4,0,1,0,0,6,5,5,5,7,7,6,6,6,7,7,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,5,5,7,3
s4519,2,4,3,3,0,6.333333333333333,3.5,5.6,2.2,3.3333333333333335,5,5.5,0,1,hispanic,0,0,Associates degree,0,3,0,0,3,3,3,4,4,2,mf,bw,0,1,1,49,2020,10,26,0,0,0,0,0,2,2,3,2,2,4,4,4,3,3,6,6,7,3,4,3,3,3,3,3,3,6,6,6,4,6,6,2,4,4,5,5,5,7,4,5,6
s4524,2,1,7,1,0.4,3,2.5,1,0,4,6,5.25,1,1,white,1,0,Bachelors degree,1,25,1,1,3,3,3,3,3,3,mf,bw,0,0,0,52,2020,11,5,0,2,0,0,0,0,0,0,0,0,1,1,1,7,7,1,1,7,2,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,6,6,6,5,5,6,5
s4546,2,3,5.5,2,2.4,3,6,1,2.6,4,5.666666666666667,4,1,1,white,1,0,Associates degree,0,23,1,1,5,5,5,5,4,3,mf,bw,0,1,1,13,2020,12,22,3,5,0,2,2,1,6,0,3,3,4,2,3,5,6,5,2,2,6,6,2,2,2,2,2,2,1,1,1,1,1,1,4,5,3,5,6,6,4,4,4,4
s4554,2,3,7,1,0,5,5.5,2.6,1.2,3.3333333333333335,4.666666666666667,4.75,0,1,black,0,1,Some college,0,26,1,1,4,4,2,4,4,1,ff,bw,0,1,1,56,2020,11,23,0,0,0,0,0,2,2,0,0,2,4,1,4,7,7,6,5,4,4,7,1,1,1,1,1,1,1,1,4,2,1,5,4,3,3,4,6,4,5,5,5,4
s4564,2,4,4,4,6,4,4,4,6,3,4,4,NA,NA,NA,NA,NA,NA,NA,26,1,1,3,3,3,3,3,3,mm,bw,0,1,1,43,2020,10,23,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4
s4567,2,1,4,1,0,2,4.5,1,4.2,3.3333333333333335,5.333333333333333,6.25,0,0,white,1,0,Some college,0,19,1,1,2,5,1,3,1,1,mf,bw,0,1,1,50,2020,11,10,0,0,0,0,0,6,6,2,3,4,1,1,1,2,6,4,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,7,7,2,7,6,6,6
s4568,2,2.6666666666666665,3,2,1.2,3.6666666666666665,3,4,1.6,3.6666666666666665,3.6666666666666665,4.75,0,1,hispanic,0,0,Bachelors degree,1,14,1,1,2,2,2,4,0,0,mf,bw,1,1,0,39,2020,12,18,0,1,1,1,3,1,1,1,1,4,1,1,6,3,3,4,2,5,3,3,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,3,4,4,5,5,5
s4578,2,2.6666666666666665,6,2,0,4.666666666666667,5,2,6,5,4,5.5,0,0,black,0,1,Associates degree,0,24,1,1,5,5,4,5,5,0,mf,bw,0,1,1,56,2020,11,9,0,0,0,0,0,6,6,6,6,6,4,2,2,6,6,6,3,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,4,4,4,6,6,5,5
s4594,2,1,6.5,2,4.8,1.3333333333333333,4.5,1,5.2,4.666666666666667,2.3333333333333335,6,0,0,black,0,1,Some college,0,3,0,0,1,5,1,3,2,2,mm,bw,0,1,1,43,2020,10,23,4,6,3,5,6,6,6,4,4,6,1,1,1,7,6,2,1,1,5,4,2,2,2,2,2,2,1,1,1,1,1,1,5,4,5,2,2,3,6,6,6,6
s4644,2,4,4,4,1,1.6666666666666667,3,1,0,2,4,4,0,NA,NA,NA,NA,Associates degree,0,21,1,1,4,4,1,4,2,1,mm,bw,0,1,1,43,2020,10,23,1,1,1,1,1,0,0,0,0,0,4,4,4,4,4,2,1,2,3,3,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4
s4653,2,4,4,4,2,3.6666666666666665,5,5,3,4,4,4,0,NA,NA,NA,NA,NA,NA,18,1,1,4,4,1,5,5,0,mf,bw,0,0,0,9,2020,12,30,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,3,3,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
s4658,2,2.6666666666666665,5.5,1,0,3.6666666666666665,6,2,2,4,5,7,1,1,white,1,0,Graduate degree,1,22,1,1,4,4,3,4,4,3,mm,bw,0,1,1,49,2020,10,27,0,0,0,0,0,2,2,2,2,2,3,1,4,5,6,4,2,5,6,6,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,5,5,5,7,7,7,7
s4668,2,4,4,4,6,5.333333333333333,5.5,5,3,3,5.333333333333333,1,0,1,asian,0,0,Bachelors degree,1,16,1,1,5,5,1,5,4,3,mf,bw,0,1,1,56,2020,11,9,6,6,6,6,6,3,3,3,3,3,4,4,4,4,4,6,5,5,6,5,4,4,4,4,4,4,5,5,5,5,5,5,3,3,3,5,6,5,1,1,1,1
s4671,2,1,1,1,3.6,5.333333333333333,4,4,3.2,3.3333333333333335,5.333333333333333,2.5,NA,NA,NA,NA,NA,Bachelors degree,1,25,1,1,5,5,5,5,5,5,mm,bw,0,1,1,49,2020,10,27,0,0,6,6,6,4,2,3,4,3,1,1,1,1,1,6,5,5,5,3,1,1,1,1,1,1,4,4,4,4,4,4,3,4,3,5,4,7,3,3,1,3
s4689,2,1,7,1,0.4,2.6666666666666665,5,1,3.6,4.333333333333333,1,5,0,1,hispanic,0,0,Associates degree,0,25,1,1,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,4,6,0,6,2,1,1,1,7,7,2,1,5,3,7,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,1,1,1,1,7,7,5
s4692,2,3,4,1,2.4,3,4.5,1,1,3,3.3333333333333335,6.25,0,1,black,0,1,Some college,0,7,1,0,3,3,2,3,3,3,mf,bw,1,1,0,34,2020,11,30,0,5,1,1,5,1,1,1,1,1,4,1,4,4,4,4,1,4,4,5,1,1,1,1,1,1,2,1,1,1,1,1,3,3,3,2,4,4,4,7,7,7
s4707,2,4,4,4,3.2,4,4,4,3,4.333333333333333,7,7,0,0,white,1,0,Bachelors degree,1,3,0,0,5,5,3,5,3,3,ff,bw,0,1,1,37,2020,10,21,1,3,3,3,6,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,7,7,7,7,7,7,7
s4711,2,2.6666666666666665,5,1,2,5,6,2.6,3.6,4.666666666666667,4.333333333333333,6.25,0,0,black,0,1,Associates degree,0,21,1,1,3,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,3,3,6,6,0,0,6,5,1,2,5,5,4,5,6,6,6,1,1,1,1,1,1,3,3,3,3,2,2,5,5,4,4,4,5,7,7,7,4
